,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X601898.SH,X600011.SH,X600585.SH,X600547.SH,X600886.SH,X600660.SH,X601600.SH,X002466.SZ,X000792.SZ,X002460.SZ,X600795.SH,X601699.SH,X600111.SH,X000708.SZ,X600010.SH,X600362.SH,X000301.SZ,X000983.SZ,X600426.SH,X000877.SZ,X600027.SH,X600803.SH,X002271.SZ,X600489.SH,X601991.SH,X600160.SH,X600985.SH,X000807.SZ,X000408.SZ,X600176.SH,X000786.SZ,X000630.SZ,X000933.SZ,X300037.SZ,X600612.SH,X600348.SH,X000932.SZ,X600219.SH,X002128.SZ,X601168.SH,X600995.SH,X600688.SH,X600157.SH,X000629.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.6063364568937,0.153302094463224,0,0,0,0,0,0,0,0.0278685140195048,0,0,-0.017049860724362,0,0,0,0,0,0.0912070226872105,0,0,0,0,0,0,0,0,-0.143671987341504,0,0,0,0,0,0,0.0212423469911748,0,0,0,0,0.13860278816874,0,0,0,0,0,0,0,0,0,0,0,0.0210411932447503,0,0,0,0.0240254318206701,0,0
X600028.SH,0.581224015966727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014025903676407,0,0,0,0,0,0,0,0,0,0,0,0,-0.0432062925531691,0,0,0,0,0.0696528521809618,0,0,0,0,-0.0166116329434052,0.0123109801746463,0,0,0,0,0,0
X601088.SH,0.0607961351708581,0.145224775835261,0,0,0.207722977808634,0,0.169594631052451,0,0,0,0.0440301971761776,0,0,0,0,0,0,0,-0.0606082488775614,0,0,0,0,0,0,0,0,-0.0235665498987549,0,0,0,0,0,0,0,0,0,0,0,-0.0951266175139212,0,0,0,0,0,0,0,0,0,0,0,0.00459782943962156,0.00645699652948502,0,0,0,0,0,0
X600309.SH,0,0,0,0,0.177410199229358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.655077208873849,0,0,0.245424517799612,0,0,0,0.0361522881761121,0,0,0,0,0,0,0,0,0,0,0.114673896545221,0,0,0.068343077854983,0,0,0,0,0,0.183108522089289,0,0,-0.0231402538447032,0.0262490910633819,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0.0466501067461398,0.177873236164546,0,0,0,0,0,0,0,0,0,0,0.23705626115475,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0673382042224257,0.076253180930107,0,0,0,0,0,0.21551094908834,0,0,0,0,0,0,0,0,0,0,0,0,-0.00581008484646783,-2.16840434497101e-19,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0427856226583587,0,0,0,0,0,0.0981696410316562,0,0,0,0,0,0,0,0,-0.0950119277969852,0,0,0,0,0,0.285416906793208,0,0,0,0,0,0,0,0.210313078256546,0,0,0.110788324918551,0,0,0,0,0,0,0.00754251349108489,0,0,0,0,0,0
X601898.SH,0.1068240404169,0,0,0,0.255389085527619,0.0341935590773162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0610323155339112,0,0.0240633258118255,0,0,0,0,0,0,0,0,0,0,0,0,-0.0076883525028479,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0.0974977731668653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428159833844844,0,0,0,0,0,-0.00776359301740179,0,0,0.0725754956842959,0,0,0,0,0,0,-0.0631661653407957,0,0,0,0.128255892313117,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0.0826724855434261,0,0,0,0,0,0,0,0,0,0.043510007881316,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.0467396670040856,0,0.233049253665197,0,0,0.129959634171532,0,0,0,0,0,0,0.0195365857221169,0.159556073127371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00613161356165742,0.00867284764269304,0,0,0,0,0,0
X600547.SH,0,0.0616597570695005,0,0,0.0900765505611745,0,0,-0.0169318130407264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0079510668778512,0,0,0,0,0.0210291219838924,0.558442248755559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107949635571972,0,0,0,0,0,0
X600886.SH,0.044737749149428,0,0.30086732477728,0,0,0,0,0.0135147458598477,0,0,0,0.128432831979451,0,0,0,0,0.220057037322268,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,-0.0199680526246936,0,0,0,0,0,0,0,-0.0108871559072094,0,0,0,0,0,0,0,0,0,0,0,0,-0.0935689373814806,0,-0.0104767679943157,0.0302087842157415,0,0,0,0,0,0
X600660.SH,0,0.0327543568159941,0,0,0,0.0979154067339396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0775695039996875,0,0,0,0,0,0,0,0,0,0.0629524753476551,0,0,0,0,0.0177275401604274,-0.0205519648050037,0,0,0,0.0911794307115633,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0168982383728078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075659546877585,0,0,0,0,0.283209512115847,0,0,0,0,0.2386982300632,0,0,0,0,0,0,0.0719212137599942,0,0,0,0.0387692319563677,0,-0.00707045495329167,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0,0.0373488487612691,0,0,0,0,0,0.758327794168475,0,-0.0179879124137823,0,0,0,0,0.0752685565949839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229449927203461,0,0,0,0,0,0,0,0,0,0,0,0.00380310171116956,0.000432272782354954,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.12528746689086,0,0,0,0,0,0,0.109835134680852,0.204457002497779,0,0,0,0,0.264520013275982,0,0,0,0,0,0,0,0,0,0.0555360213061894,0,0,0,0,0,0.0591291049139365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000175406427109901,0,-0.00749370640659114,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.782111668440388,0,0,0,-0.0376694949039139,0.077650570891312,0,0.0174604925512077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00912633262596865,0,0,0,0,0,0
X600795.SH,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.465940467392281,0,0,0,0,0,0,0,0,0.0265474170320099,0,0,0,0,0,0,0.0741456955126233,0,0,0,0.168802763140005,0,0,0,0,0,0,0,0,-0.0745122525679243,0.139118239520897,0,0,0,0,0,0,0,0,0,-0.00374852288384984,-0.000805828105355055,-8.67361737988404e-19,0,0,0,0.0694182594030091,0,0
X601699.SH,0.00837311292068362,0,0,0,0.249351507758383,0,0.263526262979961,0,0,0,0,0,0,0,0,-0.00508134407110764,0.00989701692929875,0,0,0,0,0,0,0.0943546469261952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0652174782350956,-0.120350208670036,0.0324858723385097,0,0,0,0,0,0,0,0,0,0,0.00383454211989393,0.00610756314286032,0,0,0,0.0201611849047742,0,0
X600111.SH,0.195096934016739,0,0,0,0,-0.0372359806834511,0,0,0,0,0,0,0,0.188917408600429,0,0,0,0,0,0,0.163010912888617,0,0,0,0,0,0,0,0,0,0.134512232589522,0,0,0,0,0,0,0.0702293285032318,0,0,0,0,0,0,0,0,0,0,0,0.13585433104416,0,0.0177767807261683,-0.0129410043044379,0,0,0,0,0,0
X000708.SZ,0.0637922821502827,0,0,0,0,0.150979421841772,0,0.176631306856579,6.93889390390723e-18,0,0,0,0.0164168732436518,-0.0644416109761766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159880999127767,0,0,0.0027106620578628,0.0374939960616009,0.061993836809821,0,0.205533290822357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0236157642621727,-0.0687853783103474,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,-0.0483978134568443,0,0,0,0,0,0.0257417807414087,0,0,0,-0.105572073321951,0.52891953004895,0.110687541551617,0,0,0.106170846130442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0762173029220888,0,0,0,0,0,0,0,0,0,0,-0.00587871410553456,0.0111799259840675,-0.0198368148406492,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103226815164831,0.0367513287299021,0,0,0,0,0,0,0,0,0.132961081444846,0,0.0236614215556629,0,0,0,0,0,0,0,0,0,0.0946773635785033,0.0997193839388115,0,0.119899366045571,0,0,0,0.0596678593367875,0,0.236129428125608,0.0123777472931468,0,0.0214909004820865,0,0,0,0.0338901679831633,0,0
X000301.SZ,0,0,0,0.0821459580312636,0,0,0,0,0,0,0,-0.0436684633020461,0,0.163515990494731,0,0.00226850965586181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164847550656144,0,0,0,0,0,0,0.219034671438596,0,0.0308848112277777,0,0.0761831060135933,0,0,0,0,0,0.144585122970134,0.00641212643733042,0,0,0,0,0,0,0
X000983.SZ,0,0,0,0,0.142842904976337,0,0,0,0.119565842834821,0.0725903715315721,0,0,0,0,0,0,0,0.257820636799594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0518989942177705,0,0,0,0,0,0,0,0,0.149474809841623,0,0,0,0,0,0,0,0,0,0,-0.00516973568711788,0,0,0,0.0375024598949066,0,0
X600426.SH,0,0,0,0.0959281902423142,0.10205575764784,0,0,0,0,0,0,0.153881308763718,0,0,0,0.0323010350194911,0,0,0,0,0,0,0,0,0,0,0,0,0.0971418224280547,0.0955888500866927,0,0.0181214956707536,0.0310679523259807,0,0,0,0,0,0.277027770309084,0,0,0,0,0,0,0,0,0,0,0,0.305900547120823,-0.00706100668699578,0,0,0,0,0,0,0
X000877.SZ,-0.0615269596699892,0,0,0,0,0,0,-0.0304894227996677,0.376841213137679,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.139544340604694,0,0,0,0,0,-0.0940745983808906,0,0.0599672649374448,0,0,0,0,0.182590216315303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00438493309723361,-0.0405051101638165,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0,0,0.505409617052667,0,0,0,0.0465758071334356,0,0,0,0,0,-0.0893368487886395,0,0.0129048445364182,0,0,0,-0.0559180592015007,0,0,0,-0.0109121813184525,-0.0346746377617609,0,0.281173402357032,0,0,0,0,0,-0.152583451817943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00523343883129554,0,0,0,0,0,0,0
X600803.SH,0,0,0,0.132740086436159,0,0,0,0,0,0,0,0.190942681133412,0,0,0,0,0,0,0,0,0,0,0,0.0603746036131655,0,0,0,0,0,0,0.153958536434487,0,0,0.0208145929862319,0,0.154930764815366,0.041602175598033,0,0,0,-0.14986407250787,0,0,0,0,0,0.265163388333203,0,0,0,0.129993372406458,-0.0112655583849837,0,0,0,0,0,0,0
X002271.SZ,0,0,0,0.191737745885959,0,0,0,0,0.0479585204466725,0,0,0,0,0.125563868350241,0.139928127824126,0,0,0,0,0,0,0.0496110643376645,0,0,0,0,0,0,0,0,0.367439558458116,0,0,0.200369552150715,0,0,0.122044922734401,0,0,0.0771341975103115,0,0,0,0,0,0,0.0172299623592755,0,0,0,0.182301456849607,0,0.0153017854492905,0.0600626177817026,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,0,0,0.580689446377499,0,0,0,0.0529189868630487,0.00485062647134024,0,0,0,0,0,0,0,0.0669686748503283,0,0,0,0,-0.0476995730250155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0252998761733442,0,0,0,0,0,0,0,0,0,-0.000218782721110809,0,0,0,-0.00915793806569055,0,0
X601991.SH,0,0,0,0,0,0,0,0.249679570050109,0,0,0,0,0.0718425984582416,0,0,0.0174843337311786,0.0424005844195861,0,0.0676430340805547,0,0,0,0,0,0,0,0,0.0662714992991222,0.00478936265457434,0,0,0.0616971196243297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0750004651365931,0,0,0,-0.0127917071268794,0,0,0,0,0,0,0
X600160.SH,0,0,0,0,0,0,0,-0.0622756312761507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0374029303244109,0,0,0,0,0,0,0,0,0.0122698016564836,0,0,0,0,0.516558206236972,0,0,0,0,0,0,0,0.0484925486203152,0,0,0,0,0,-0.0252329906640916,-0.025549596364796,0,0,0,0,0,0
X600985.SH,0,0,0,0,0.327804557775721,0,0,-0.0322438680567741,0,0,0,0,0,0,0,0,0,0.31102857533367,0,0,0,0,0,0.00988283029080261,0.095090253889485,0,0,0,0,0.0334722371063435,0,0,0,0,0,-0.112538695757049,0,0,0,-0.119445004959048,0,0,0,0,0,0,0,0,0,0,0,-0.00279779515788357,0,0,0,0,-0.0121243280638198,0,0
X000807.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.616579301127293,0,0,0,0,0,-0.0428956823084966,0,0,0,0.0185228975294114,0,0,0,0,-0.0417490192593994,0.047589943221845,0,0,0,0,0,0,0.0794872595802053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000897917744817177,0,0,0,0,0,0
X000408.SZ,0.0884048365779508,0,0.0268470178272404,0,0,0.0297235563661618,0,0,0,0,0,0,0,0,0.55833951014012,0.0448421300041067,0,0,0,0.233253073876954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0244541812619643,0,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0,0,0,0.268524696229954,0,0,0,0,-0.0199697143621836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186816482961269,-0.196255626127006,0,0,-0.0338675852984767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0244547123015196,0,0,0,0.0284547098943246,0,0
X000786.SZ,0.260720988403937,0,0,0,0,0,0.0174024547227685,0,0.46694312721529,0,0,0.219328022172792,-0.156789981099155,0,0,0,0,0,0,0,0,0,0,0.120178881929556,0,0,0,0,0.0725213757305496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.111865103799559,0.0265208577490866,-0.0178711784846379,-0.0819488954978053,0,0,0.0358422539421237,0,0
X000630.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0688050208934235,0,0,0,0,0,0.309688938047203,0,0,0,0,0,0,0,0,0,0,0,0.0143113759537566,0.0186491629220726,0.0216727138133382,0.109634762686349,0,0,0,0,0.082588469678307,0,0,0.0352629893415317,0.0611732905127498,0,0,0,0,0,0,0,0,0,-0.0181824048592717,0,0,0,0,0,0
X000933.SZ,0,0,0,0,0.182040486792705,0,0,0,0,0,0,0,0,0,0,0,0,0.107852563372146,0,0,0,0,0,0.0883662805862553,0.0796925301031788,0,0,0,0,0,0,0,0,0.563816232109032,0,-0.0908177324128104,0,0,0,0,0,0,0,0,0,0.271842051379075,0,0,0,-0.0825090376112953,0,0,0.00415237059119205,0,0,0,0,0,0
X300037.SZ,-0.0540855126325748,0,0,0,-0.118351484548912,0,0,0,0,0,0,0,0,0.0960564463125083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221736506138005,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00334544973893151,0,0,0,0,0.0228595709999392,0,0,0,0.0351131805176065,0,0
X600612.SH,0,0,0,0,0,-0.105075479614205,0,0,0,0,0,0,0,0,0,0,0.0733800815158197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0816507440312944,0,0,0,0,0,0,0,0,0.0464725910216794,0,0,0,0,0,0,0.25984125964049,0.183285501311773,0,0.00894912551309311,0,0,0,0.144767120849951,0,0
X600348.SH,0,0,0,0,0.193378220884394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0700878996585808,0,0,0,0.100683019819224,0,0,0,0.165258613368082,0.0799203236180555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0664529176978492,0,-0.000450958723965517,0,0,0,0,0,0,0
X000932.SZ,0,0,0,0,0,0.0581442835431849,0,0,0,0,0.0672408426019103,0,0.0086630987618122,0,0,0,0,0.0519514577496348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184506575051009,0,0,0,0,0.233113839478702,0,0,0,0,0,0,0.00762290855859316,0,0,0,0,0,0
X600219.SH,0,0,0,0.0314529360033273,0,0,0,0,0,0,0,0,0.146286335572698,0,0.0844016877471225,0,0,0,0.103050076291355,0,0,1.73472347597681e-18,0,0,0,0,0,0,0.105570010606258,0,0,0,0,0,0.0335480173200108,0,0,0.0853946810632968,0,0,0,0.0310148148360241,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0
X002128.SZ,0,0,0,0,0,0,0.199071332246326,0,0,0,0,0,0,0,0,0,0,0.0511714078584516,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0447389655407089,0,0,0,0,0,0,0,0.0385979584472144,0,0.0473172793513418,0,0,0,0,0,0,0,0.0651247979488027,0,-0.00665622944437608,-0.00184515077328423,0,0,0,0,0,0
X601168.SH,0,0,0,0,0,0.0442103629916909,0.0909948063430516,0,0,0,0,0,0.067147286395688,0,0,-0.0528031592345565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0299319844439869,0,0,0,0,0,0,0.252421974615204,0,0,0.0973074570541562,0,0,0,0,0,0,0,0,-0.0304416467418093,-0.0151711583319979,0.0244593834735309,0,0,0,0,0,0
X600995.SH,0.19075353906344,0,0,0,0,0,0,0,0,0,0,0.0891321549392681,0,0.0827205976868419,0,0,0.0592245445656415,0,0,0,0,0,0,0,0,0,0,0.0881212195826726,0,0,0,0.0991751517418868,-0.085717268482682,0,0,0,0,0,0,0,0.129411683122148,0,0,0,0,0,0,0,0,0,0,-0.00215687216929698,-0.00831107043627111,0,0,0,0.0333871385975286,0,0
X600688.SH,0,0.0977517100415292,0,0,0,0.12225754655492,0,0,0,0,0,0,0,0.0621475448991223,0,-4.33680868994202e-19,0.0047743139085531,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.0758877096727812,0,0.349238805252988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0296271077828292,0,0,0,0,0,0
X600157.SH,0,0,0,0.0328898997267603,0.049124847746419,0,0,0,0,0,0,0,0,0,0,0,0,0.110809210750831,0.101380445664381,0,0,0,0,0,0,0.109701418393779,0,0,0,0,0,0,0,0.0220815312265083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0106007706615367,0.0144647480170598,0,0,0,0,0,0
X000629.SZ,0,0,0,0,0,0.0386662739695842,0,0,0,0,0,0,0.0708028640050988,0.0662304561285927,0,0,0,0,0.366266475162819,0,0,0,0,0,0,0,0,0,0.0116720396663912,0,0,0.00158215025705492,0,0,0,0.0191299886563609,0,0,0,0,0.162002864397675,0,0,0,0,0,0,0,0,0,0.0108362592591825,-0.00727426479824518,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0.166177348975286,0,0,-0.124726192678968,0,0,0,-0.0340164789965781,0,0,0,0,0,0,0,0,-0.342986971022648,0,0,0,0,0,0.0721637516001505,0,-0.0765440003573815,-0.00366082443888484,-0.0681969781763389,0,0,0,0,0,-0.0362597967501253,0,0,0,0,0,0,0,0,0,0,0,0.0686984853634643,-0.0901147037451718,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,-0.181821347028274,0,0,0,0,0,0,0,0,0,0,0.379333500671234,0,0,0,0,0,0,0,0,-0.442105276724444,0,0,0,6.93889390390723e-18,0,0,-0.0602666449396709,-0.530347869169863,0,0,0,0,0,0.130919269295027,0,0,0,0,0,0.772320996464048,0,0,0,-2.76964321227887,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.667150139212903,0,0,0,0,0.577078893367644,0,0
