,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601992.SH,X300072.SZ,X601898.SH,X600688.SH,X601991.SH,X600795.SH,X600547.SH,X600309.SH,X601600.SH,X600660.SH,X600362.SH,X600886.SH,X600188.SH,X600027.SH,X000709.SZ,X002466.SZ,X600157.SH,X600339.SH,X600111.SH,X600008.SH,X000898.SZ,X601158.SH,X000959.SZ,X600489.SH,X600299.SH,X002460.SZ,X600352.SH,X000883.SZ,X600219.SH,X000408.SZ,X600160.SH,X000630.SZ,X000539.SZ,X600578.SH,X000723.SZ,X002271.SZ,X600583.SH,X600176.SH,X600021.SH,X000792.SZ,X000786.SZ,X000027.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.189241726180083,0,0.0706472514403904,0,0,0,0.0294432163380296,0,0,0,0,0,0,-0.0435392411991246,0.114759835412295,0,0,0,0,0,-0.00421653048430506,0,0,0,0,0.0122207235120988,0,0,0,0,0,-0.0369247240961968,0,0,0,0,0,0,0,0,0,0,0.105949664004352,0,0.00144859318329166,0,-0.00116699783987518,0,0,-0.0110449071199511,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.0355585880392851,0,0.0255119205978578,0.0784340482584695,0,0,0,0,0,0.0142438767513725,0,0,0,0,0,0,0,0,0,0,0,0,0.0530554887761956,0,0,0,0,-0.0491392655138187,0,0,0,0,0,0,0,0,0,0,0.0181776470184458,0,0,0,0,0,0,-0.00254489202176,-0.00243974761510248,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,-0.0365912655680018,0,0.0119679403866489,0,0,0,0,0.0546900399462683,0,0,0,0,0,0,0,0,0,0.038625653699108,0,0,0.152912578696984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00430341427848813,0,0,0.0361780093234907,0,0,0,0,0,-0.012559463750391,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0.0138509425609959,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.0478258123201286,0,0.44373154322666,0,-0.0536768190946523,0.00888998393269503,0,0,0,0,0,0.0937685896747997,0,0,-0.0368790529734596,0.0693072309207343,0,0,0,0,0,0,0,0,0,0,-0.0241567526459446,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0.0681380067025922,0,0,0,0,0,0,0,0,0.3418107395965,0.058937829796702,0,0,0,0,0.0344690625199389,0,0,0.00460735584645917,0,0,0,0,0,0,0,0,0,0,0,0,-0.0814059499981967,0,0,0,0,0.0570184696992729,0,0,0.0269085404161531,-0.0142877483608144,0,0,0,0,0,0
X600585.SH,0,0,0,0,-0.0492266768302994,0,0,0.0539179845402935,0,0,0,0,0,0,0,0,0,0.215320595466697,0,0,-0.0788230811566845,0.0238767553138249,0.141389060173921,0,0,0,-0.0323268380638254,0.0345101638849829,0,0,-0.12976907762871,0,0,0,0,0,0,-0.0502240702000196,0,0,0,0,0,-0.0270818945845544,0,0,0,0,0,0,0.00415466686351948,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0712523054230569,0,0,0,0,0,0,0,0,0,0,0.0950949391285245,0.20386312668513,0,0,0,0,0,0,0,0,0,0,0,0,-0.0230182965056446,0,0,0,0,0,0,0,0.190793169914765,0,0.000781155032242337,0.0176178151708651,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.555248905545262,-0.120261315798704,0,0,0,0.293619244158209,0,0,0.321074783100952,0,0,0,0,0,0,0,0.180430541384043,0,0,0,0,0,0,0,0,0,0.166254825998105,0,0,0.0432827564597921,-0.0148174517379698,0,0,0,0,0,0
X300072.SZ,0,0,0,0,-0.533082072164679,0,0,0,0,0,0,0,0,0,0.139568868257259,0,0,0,0,0,0,0,0,0,0,0,0.11143260828066,0,0,0,0,0,-0.164911225633892,0,0,0,0,0,0,0.0511542013086379,-0.0721452040295828,0,0.223315629773942,0,0,0,0,0,0,0,0.110981358913251,0.00884544822135306,0,0,0,0,0,0
X601898.SH,0,0,0.0610131044038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104914439049044,0,0.079542165877044,0,0,0.107632321954785,0,0.0842388061957578,0,0.00378903610701566,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0144935761929229,0,0,0.192949406327979,0,0,0,0,0,0,-0.00557233793584918,0.00970261737683365,0,0,0,0,0,0
X600688.SH,0,0.203721701211632,0,0,0,0,0,0.0364296807381722,0,0,0,-0.0573488507053887,0,0,0,0.0156645465748164,0,0.0688104688286915,0.0276646037988112,0,0,0,0,0,0,0,0,0,0,0,0.0616269851397538,0,-0.0758671198825622,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0200366298275308,0,0,0,0.0034601849697813,0.00304343974039121,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,-0.0659254501212545,0,0,-0.0909985139740791,0,0,0,0,0,0,0,0,0,0,0.163935592190621,0,0,0,0,0.0905820336815983,0,0.0159804363850218,0,0,0,0.0350426658381235,0,0,0,0,0,0,0.211499525991318,0,0.0591083917797291,0,0,0,0,0,0,0,0.114349586709936,0,0,0.0497919737727105,-0.0167284654627902,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0.0154381551940898,0,0.0284137987504638,0,0,0.0405676056958707,0,0,0.0189300821507245,0,0,0,0,0,0.0183971026757922,0.061599067973954,-0.0293725092383853,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00872624884351185,0,0,0.10104554137208,0.0179146921327662,0,0,0,0,0.00235085286320255,0,0,0,0,0,0.0046996827378717,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,-0.0911873449810162,0,0,0,0,-0.00951735707299048,0.0344055409806923,0,0,0,0.0216268821382661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0286894314375724,0,0,0,0,0,0,0,0.023889734807033,-0.0422571857084495,0,0,0,0,0,0
X600309.SH,0,0,0,-0.280957154291895,0,0,0,0,0.0429183422210749,0,0,0,0,0,0,-0.0378732946504796,0,0,0.109780504083747,0.205780910164576,0,0.000228555323152094,0,0,0,0,0,0,0.548373687491359,0,0,0,-0.135480164880465,0,0,0,0,0,0,0,0,0,0.0329756170404107,0,0,0,0.126408011160358,0.158265002285213,0,0,0.00981348624311876,0.0336751468938908,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0.0460159995879735,0,0.0840076759622496,0,0,0,0.0212673639792534,0,0,0,0,0,0.47705655729564,0,0,0.199188751356695,0,0,0,0.126659136099293,0,0,0,0,0,0,0,-0.0686962968202294,0,0,0.0355079904542791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000655504888878199,0.0233944563404819,0,0,0,0,0,0
