,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002466.SZ,X002460.SZ,X600585.SH,X601898.SH,X000792.SZ,X600011.SH,X600019.SH,X000301.SZ,X600111.SH,X600660.SH,X000708.SZ,X600010.SH,X600886.SH,X000877.SZ,X600547.SH,X600795.SH,X002271.SZ,X601600.SH,X601991.SH,X600027.SH,X600426.SH,X600803.SH,X000983.SZ,X600176.SH,X600362.SH,X601699.SH,X600348.SH,X000408.SZ,X600096.SH,X000629.SZ,X600995.SH,X000723.SZ,X000786.SZ,X600160.SH,X600141.SH,X000933.SZ,X600219.SH,X600985.SH,X600378.SH,X300073.SZ,X600157.SH,X002080.SZ,X600489.SH,X600801.SH,X002353.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.119799213539671,0,0,0,0,0,0.138546795201434,0,0,0,-0.0374130119639604,0,0,0,0,0,0,0,0,0,0.0755686719711841,0,0,0,0,0,0,0,0.0785075944283948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164613071308505,0,-0.0425090596657814,0.0108519052462639,0,0,0,0,0,0
X601088.SH,0,0,0,0.149924243673181,0.37236856428609,0.134468354569126,0,0,0.0968116754450742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0852288268929742,0,0,0,0,0,0,-0.148811668991149,-0.0389847453551192,0,0,0.0132958289651158,0,0.0607046323663961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0.206397815196553,0,0,0,0,0.0132711295683526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0933429134603173,0,0,0,0,0,0,0,0,0,0.00588517062390299,0,0.0131932050137384,0,0,0,0,0,0,0,0,0,0,0,0,0.0760876381721902,0,0,0,0.0203292886396686,0.0047583714389141,0,0,0,0,0,0
X600309.SH,0,0.0752716863160862,0,0,0,0,-0.0649859373922279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0394524967599414,0,0,0,0.0155515333306734,0,0,-0.0362153771772851,0,0,-0.0348072535830512,0.0163099374455228,0,0.137071858150753,0.12337289168995,0,0,0,0.0941949656460596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600188.SH,0,0.465917305842715,0,0,0,0,0,0,0.125182350779461,0,0,0,0,0,0,0,0,0,0,0,0,-0.0210406297697955,0,0,0,0,0,0.0398590454045704,0,0,0.0634211389649655,0.086154260823251,0,0,0,0,0,0,0,0,0.168089565733449,0,0,0,0,0,0,0,0,0,0.0184929023907034,0,-0.00866541844694412,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0.709938287415587,0,0,0,0,0,0.0868260339657489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325025834169627,0.00752801073633641,-0.144625685226801,0,0,0,0,0.0775898922537359,-1.0842021724855e-19,0,0,0,0,0,0.0178870231238276,0,0,0.0599840858391744,0,0,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0.315592279408632,0,0,0,0,0,0,0.0428926104923475,0,0,0,0,0,0.123299248614818,0,0,0,0,0,0,0,-0.147156707992308,0,0,0,0,0.0210397327583482,0,0,0.0304356961452095,0,0,0,0,0.167789324653165,0.0386908429341397,0,0,0,0.0435920074932632,0,6.93889390390723e-18,0,0,0,0,0.0591944235878226,-0.0438787718603415,0,0,0,-0.138921469966332,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0.0544437506071938,0,-0.0122389114141008,0,0,0,0,0,0,0,0.0791661101290007,0.0209794889326283,0,0,0,0,0,0,0,0,0,0,0,0.0630072461725593,0,0,0,0.0403566898028316,0,0,0,0,0,0,0,0,0,0,0.451269523191112,0.0533467650322569,0,0.0410389215604729,0.0276325442470238,0,0,0,0,0,0
X601898.SH,0.128547697465757,0,0,0,0.0157495960489264,0,0,0,0,0,0.0204346465253718,0,0,0,0,0,0,0,0,0,0,-0.0175333610474608,0.013386407306337,0,0,0,0,0.252774070664579,0,0,0.0802529237825316,0,0,0.095891459474945,0,0,0,0,0,0,1.73472347597681e-18,0.165294492260471,0,0,0,0,0,0,0,0.126050771881789,0,0,-0.010721577880469,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.269146653093579,0.0359798604799107,0,0,0,0.0698702639336269,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0680777616499153,0,0,0,0,0,0,0,0.0337530036266656,0,0.0229322089872821,0,0,0.126608981577432,0,0.0727519501512751,0,0.164535097752263,0,0,0,0,0,0,0,0,0,0.0108445350420076,0.0218895168469987,0,0,0,0,0,0
