,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002460.SZ,X002466.SZ,X600585.SH,X000792.SZ,X600019.SH,X601898.SH,X600011.SH,X600660.SH,X600111.SH,X600010.SH,X600547.SH,X000708.SZ,X000301.SZ,X002271.SZ,X600886.SH,X000877.SZ,X600795.SH,X601600.SH,X600426.SH,X600362.SH,X600027.SH,X600176.SH,X600803.SH,X601699.SH,X601991.SH,X000983.SZ,X000408.SZ,X600160.SH,X000629.SZ,X000786.SZ,X000723.SZ,X600219.SH,X600378.SH,X600995.SH,X600489.SH,X600348.SH,X600096.SH,X600157.SH,X000933.SZ,X002080.SZ,X000807.SZ,X600985.SH,X600688.SH,X002353.SZ,X000831.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.228677511338328,0,0.00732387103271039,0,0,0,0,0,0.0904206492818586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0551286737725673,0,0,0.0582224452774371,0,0,0,0,0,0,0,-0.00264539245732123,0,0,0,0,0,0,0,0,0,0.207706062494164,0,0,0.0141503754882499,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.437956023804098,0,0,0,0,0,0.0777857400923321,0,0,-0.0612485345922741,0,0,0,0,-0.00393378098195559,0,0,0,0,0,0,0,0.140903870616163,0,0,0,0.0833126799136749,0,0,0.0378133054063307,0,0,0,0.0439180059901212,-0.0346426689971734,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0.0714382942404402,-0.00184004132321502,0,0,0,0,0,0,0,0,0
X600028.SH,0.562197196895976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00429459673444496,0,0,0,0,0,0,0,0,0.0668658589012798,0,0,0,0,0,0.00411175996741613,0,0,0.0217975172040786,0,0,0,0,0,0,0.00429161398579325,0,0,0.00467197340700312,0,0,0,0,0.000860634126138234,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,-0.116293596385531,0,-0.0463985190951495,0,0,0,0,-0.0322605544876146,0,0,0,0,0,0.15785070864417,0,0,0,-0.0490957631871761,0,0.0944396620814165,0,0.0786693221728157,0,0.121616968145273,0.0468361559650615,0,0,0,-0.0299696680051909,0,0.285844277434954,0,0,0,0,0,-0.0449021670840548,0,0,-0.0419471502432965,0,0,0,0,0,0,0,-0.0140718059754728,0,0,0,0,0,0,0
X600188.SH,0,0.777610503671521,0,0,0,0,0,0,0,0,0.110891910325608,0,0,0,0,0,0,0,-0.0371803808644899,0,0,0,0,0,0,0,0,0,0,0.00749734482071502,0.0457737987670405,0,0,0,0,0,0,0,0,0,0,0,0,0.15067872422916,0,0,0,0,0,0,0,0.0332632806798686,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0.520130187328803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.112334326041558,0,0,0,0,0,0.0608017616563097,0,0,0,0.0781743103144986,0,0,0,0,0,0,0.0812405510675201,0.144568521290276,0,0,0,0,0,0,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,-0.0440024334395269,0.559449146255725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01014038302051,0,0,0,0,0,0,0,0.162912362660353,0.0634455450651878,0,0.483964180550735,-0.0189959904336009,0,0,0,0,0,-0.0276010956323257,0,0,0,0,-0.0565929789907749,0,0,0,0,0,0.0357725299905986,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0.0211903162525444,0,0,0,0,0,0,0,0.133304158547366,0,0,0,0,0.084549630631272,0,0,0,0,0,0,-0.0390709331235181,0.0169917207228737,0,0,0,0,0.345416499496226,0.0111822345060857,0,0,0,0,0,0,0,0,0.110322969164952,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.179510110028243,0.0681974206910731,0,0,0,0,0,0,0.160827234893478,0,0,0,0,0,0,0,0,0.14370377289715,0,0,0,0,0,0,0,0,0.25617859323748,0,0.0478857956386878,0.156854134477153,-1.73472347597681e-18,0,0,0,0,0,0,0,0.000136074410557303,0,0,0,0,0,0,0,0.00210889101181973,0,0,0,0,0,0,0
X600019.SH,0.0605556041407128,0,0,0,0,0,0,0,0,0,0,0.0343594334667098,0,0,0,0,0,0,0,0,0.0648299658938028,0,0.213981522452333,0.00910513565052292,0,0,0,0.0597044927961786,0,0,0,0,0,0,0.156258016635355,0,0,0,-0.0465787251010626,0,0,0,0,0,0,0,0,0,0,0,0,-0.0155560863824777,0.0310811499078315,0,0,0,0,0,0
