,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X002271.SZ,X000708.SZ,X600660.SH,X002460.SZ,X600886.SH,X600801.SH,X600010.SH,X000786.SZ,X601898.SH,X600176.SH,X601600.SH,X600362.SH,X600489.SH,X600188.SH,X600352.SH,X601991.SH,X600426.SH,X600795.SH,X600111.SH,X600688.SH,X600027.SH,X600299.SH,X002080.SZ,X601992.SH,X000932.SZ,X000301.SZ,X002466.SZ,X600803.SH,X002353.SZ,X600219.SH,X600486.SH,X600529.SH,X002075.SZ,X000027.SZ,X600315.SH,X002409.SZ,X601158.SH,X600612.SH,X000723.SZ,X000898.SZ,X000883.SZ,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0.0312490700193869,0,0,0,0,0,0.0592259157070067,0.152701931394947,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0335468551680161,0,-0.0328714581466667,0,0,0,0,0,0,0,0,0,0,0,-0.0158150841579618,0.00853032060355841,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.0234357160866372,0,0,0.000608920896255377,0.0529162881285038,0,0,0,0,0,0.0316093603073418,0,0.0336331295624503,0,0.0173356617781115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152525093301998,0,0,0,0,-0.0249898618618817,0.0167217093194419,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0.0243640042081146,0,0.0192657252547965,0,0,0,0,0,0,0,0,0,0.33149481419722,0.111013498439592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.026411533567803,0,0,0,0,0,0,0,0,0,0,0,-0.00541171117823242,0.00882281832127954,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0.0753639223797427,0,0,0,0,0,0,0,0.00923392304317379,0,0,0,0.131171850259766,0,0.0726630815861125,0,0,0,0,0,0,0,0,0,0,0.0268004072936143,0,0.0906634204833121,0,0,0,0,0,-0.0183907385538324,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0.0967866464457457,0,0.196667835528695,0,0,0,-0.126040638415449,0,0,0,0,0,0.142137516247996,0,0,0,0.153891574204076,0,0.0756409780933141,0,0,0,0,0,0,0,0.106576884104507,0,0.0283491720754506,0,0.0401111075952678,-0.128935128846929,0,0,0.0833741277250279,0,0,0,0,0,0,0,0,0,-0.036560857153817,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.042919914606628,0,0,0,0.0803516632418883,0,0,0,0,0,0,0.0733950668972017,0,0,0.0915597872045517,0,0,0,0,0,0,0,0,0,0,0.0529607085765594,0,0,0,0,0,0,0,0,0,0,0.0110002430805303,0,0,0.0461793620696103,0.0922860991977675,0,0,0,-0.0220209562649228,0.0101905054437894,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0.08365667046198,0,0,0.00391618937506687,0,0,0,0,0,0,0,0,0.492720256859365,0,0,0,0.000228709685488765,0,0.0261918658608378,0,0,0.0199602457863617,0.027539122593474,0,0,0,0,0,0,0.0818147183219164,0,0,0,0,0,0,0,0.227477772067782,0,0,0,0,0,0,-0.0203287602752834,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,-0.147779295210205,0,0,0,0.186348053099402,0,0,0,0,-0.0531337723904577,0,0,0,0,0,0.0895675147406076,0,0.45933301620183,0,0.0343631818125485,0,0,-0.0541691820915732,0.00197798163912584,0,0,0,0,0,0,0,0,-0.0115652040667266,0,0,0.033702621821664,0,0,0,0,0.0447397169101642,0.0269849515180431,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0.0979680717664236,0,0,0,0,0,0.0968099384474766,0,0,0.0922761359058058,0,0,0,0.0683294189795097,0,0,0,0,0,0,0.14215342902616,0,0.228329722716261,0,0,0,0,0,0,0,0,0.113450348445906,0,-0.0239425936209952,0,0,0,0,0.0146472010479,0.0434266341613539,0,0,-0.041316927065207,0,0,0,0,0.0241886966336791,-0.0292401392652733,0,0,0,0,0,0
X000708.SZ,0,0,0,0,-0.103647657199229,0,0.00193305239600227,0.176349554845202,0,0,0,0,0,0,0,0,0,0,0,0,0.164667309277959,0,0,0,-0.0269137267266726,0,0.216122871892972,0,0,0,0,0,0.0940004550922196,0,0,0,0.0295174146476725,0,0,0.00403801600547074,0,0,0.153223150732204,0,0,0,0.086872814765783,0,0,0,0,-0.0218725818614057,0.0330560622283384,0,0,0,0,0,0
