,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X600585.SH,X002460.SZ,X002466.SZ,X600019.SH,X000792.SZ,X600011.SH,X601898.SH,X600111.SH,X600660.SH,X002271.SZ,X600010.SH,X000708.SZ,X600547.SH,X000301.SZ,X600886.SH,X600795.SH,X601600.SH,X000877.SZ,X600426.SH,X600027.SH,X600362.SH,X600176.SH,X601991.SH,X601699.SH,X600803.SH,X600995.SH,X000786.SZ,X000983.SZ,X600160.SH,X000629.SZ,X000408.SZ,X600489.SH,X000723.SZ,X600219.SH,X002080.SZ,X000807.SZ,X600096.SH,X600378.SH,X600348.SH,X600688.SH,X600157.SH,X300037.SZ,X000831.SZ,X000933.SZ,X600486.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0578254610742676,0.251381572074431,0,0,0,0,0,0,0,0,0,0,0,0.0428673249981407,0,0,0,0,0,0,0,0.0182436106223914,0,0,0,0,0.030486033010795,0,0,0,0.0628604144112023,0.0503424955023924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00590895714505334,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.456579707804937,0,0,0,0,0,0.0429603271552309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0916340293769282,0,0,0.0462706315247563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00557491334329116,0.0146447290280301,0,0,0,0,0,0
X600028.SH,0.493210404027829,0,0,0,0.0132386716692302,0,-0.0196612795148086,0,0,0,0,0,0,0,0.0499021303830694,0,0,0,0.0208438213911825,0,0,0,0,0,0,0,0,0.0347009594167811,0,0.0141802657356585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00443244677462512,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215307044181527,0.182347651852949,0,0,0,0,0.0350559301825809,0,0,0,-0.0747508264062682,0,0,0,0.174629472464247,0,-0.155348307418251,-0.039410667907424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00115930879299589,0,0,0,0,0,0,0
X600188.SH,0,0.396724184002096,0,0,0,0,0,0,0,0,0,0,0,0,-0.0762800003020012,0,0,0,0.0012986111906216,0,0,0,0,0,0,0,0,0.0674674869633102,0,0.0841156505247724,0,0,0.23382820362465,0,0,0,0,0,0,0,0,0,0,0.00623583317943824,0,0,0,0,0.252247160651999,0,0,0.0115372001448948,0.0319427727214699,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0183498328681403,0,0,0.0460444970582652,0.23637427524703,0,0,0,0,0,0.202485116534923,0,0.0239556004019181,0,0,0.0747170622690419,-0.0180198498818815,0,0,0.290800532650433,0,0,0,0,0,0,0,0.0580387581236086,0.00807348871691533,0,0,0,0,0,0,0,0.0809803974201086,-0.0500515591814231,0,0,-0.010415270769205,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.597054731151959,0,0.0769417300053374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0724469688312927,0,0,0,0,0.101636313970301,0,0,0,0,0.0037933389239255,-0.0196174655530091,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0.558127915543036,0,0,0.0652492335950925,0,0,0,0,0.0650398286741625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.42101086242752e-20,0,0.0156026696785689,0,0,0,0,0,0.136299011710195,0,0,0.0332153425709359,0,0,3.46944695195361e-18,0,0,0,0,-0.0209880244273233,-0.0100940393929266,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.0133455871282018,0.0911674278078349,0,-0.0858603797168841,0,0,0.0404300398312431,0.0898222679225999,0,0,0,0,0,0,0,0,0,0.175240563141772,0,0.012356585264529,0,0,0,0,0,0,0,0.13971504448914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136149422244784,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0.327704912635015,0.0893621205648913,0,0,0,0,0.0317003354227672,0,0.0172331738527717,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0.0844619608068462,0,0,0,0,0,0,0,0,0,0,0,0.0447062671190332,0,0,0.160410357379778,0.087960859605069,0.00923925713077416,0,0.017833426347406,-0.00594489748610233,0.000303141791170734,0,0,0,0,0,0
