,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601600.SH,X601898.SH,X600547.SH,X601991.SH,X600660.SH,X600688.SH,X600886.SH,X600362.SH,X600795.SH,X600188.SH,X601992.SH,X600027.SH,X002466.SZ,X000898.SZ,X600516.SH,X600111.SH,X002460.SZ,X600176.SH,X600352.SH,X000709.SZ,X600219.SH,X000786.SZ,X600299.SH,X002271.SZ,X600801.SH,X000629.SZ,X600808.SH,X000825.SZ,X601158.SH,X600489.SH,X000990.SZ,X000553.SZ,X002110.SZ,X600157.SH,X000630.SZ,X000723.SZ,X000883.SZ,X600339.SH,X300072.SZ,X600583.SH,X600985.SH,X000027.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00553260694655095,0,0,0,0,0,0,0,0,0.052816864111515,0.0352469974719012,0.0532419550431348,0.00817222943887658,0,0,0,0.0753158962650852,0.00864368730618923,0.0801205487782861,0.0809788427676164,0,0,0,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0188036324004196,0,0,0,0,0,0,0.176112040087508,0.0816490149412442,0,0,0,0,0,0,0.1350756113288,0,0,0,0.0288628727225496,0,0,0,0,0.0800239293599026,0,0,0.0286474528552475,0.000486196507068467,0,0.0389727123184119,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.0301134948261431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122250162038469,0,0,0,0,0,0.136553612124038,0,0,0,0,0,0,0.0244841716831795,0,0,0.00987197099074283,0,0.0542002713219437,0,0,0.0064782636768332,0,0,0,0,-0.000551761874979487,0.0204914675833562,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0586689955827373,0,0,0.476872966118299,0,0,0,0,0,0,0,0.0148583885385774,0,0,0,0,0,-0.027531699490314,0,0,0,0,-0.00987872698129729,0.0184533634960381,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.0260394059451029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112474798597895,0,0.173064972027292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152826616811613,0.0586363305869119,0,0.00644041974440393,0,0,0,0,0,0,0,0.00762582344826013,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0802042598746718,0,0,0,0,0,0.0694178671307923,0,0,0.186573506611993,0,0.0839456055926062,0.280212051528683,0,0,0,0,0,0.0662516782948886,0,0,0.0159436494506476,0,0.0437406551305932,0,0,0,0.00407837240733069,0,0,0,-0.0337280490621131,0.042570274060036,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.386207686557963,0,0,0.533792056757344,0,0,-0.0967212393914481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.0783771180323026,0,0,0,0,0,0,0,0,0.0141514088262542,0,0,0,-0.0470677856917618,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00788578587352619,0.332653718907148,0,0,0,0,0.327449572453617,0,0,0.0703884256157995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0790542205253754,0,0,0,0,-0.0103270419398239,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208704127739667,0,0,0.0787174927953209,0,0.0504511677341711,0,0,0.12476298725205,0,0,0,0,0,0,0,0,0,0.02088091822651,0,0,0,0,0,0.00185825530059248,0,0,0,0,0,0,0.13485943373824,0,0.0671650795200192,0,0,-0.0219689405866671,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0.195726804770993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0705833834005848,0,0,0.116684685964675,0.0120862614271851,0,0.0455198635919425,0,0,0,0.0230749077745697,0,0,0,0,0,0.00647457285080127,0,0,0,0,0.0417504438332015,0,0,0.164503818360643,0,-0.000816156660170631,0.0217061004543347,0,0,0,0,0,0
