,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600188.SH,X002460.SZ,X600019.SH,X000792.SZ,X002466.SZ,X600011.SH,X601898.SH,X600111.SH,X000301.SZ,X000708.SZ,X600660.SH,X601600.SH,X600010.SH,X002271.SZ,X000877.SZ,X600547.SH,X600426.SH,X600886.SH,X600795.SH,X600362.SH,X000983.SZ,X601699.SH,X600176.SH,X600803.SH,X600027.SH,X601991.SH,X000786.SZ,X000629.SZ,X000807.SZ,X600995.SH,X600160.SH,X000933.SZ,X000408.SZ,X600219.SH,X600096.SH,X600378.SH,X000723.SZ,X600489.SH,X000831.SZ,X002080.SZ,X000932.SZ,X600348.SH,X600801.SH,X000630.SZ,X600141.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0999353163610284,0,0,0,0,0,0.0180771182451222,0,0,0,0.00553209023070468,0,0,0,0,0.151534359430978,0.0265648764810433,-1.73472347597681e-18,0.0548901465913458,0,0,0,0,0,0.0357185210205769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0273618771880777,0,0,0,0,0,0,0,0,0,0,-0.000302978083246769,0.0131428936887008,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0.200637473983007,0,-0.00751950267600328,0,0,0.0497961849322682,0,0.0340211845326189,0,0,0,0,0,0,0,0.000129038935031752,0.0152060639707936,0,0,0.0212666384977086,0,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0.0713996289971363,0.0382682422474001,0,0,0,0,0,0.0106203108642176,-0.0357683235339322,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.0765821462176209,0,0,0,0,0.0657446044142409,0.0964431475260911,0,0,0,0,0,0,0.0153372344108507,0,0,0.0267934725393265,0,0,0,0,0.116262879693136,0,0.0675464683422406,0,0,0.0389608125109251,0,0,0,0,0,0,0,0,-0.0540141363590063,0,0,0,0,0,0,0,0,0,0,-0.00380470476086026,0.0118438392778937,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,-0.0220087799628265,-0.111750710315617,0,0,0.0737616403828809,0,0.179850723911598,0,0,0,0.171060285479626,0.0329405998165064,0,0,0,0,0,0,0,0,0,0,0.115495898336218,0,0,0,0,0.0436041931992067,0,0,0,0,0,0,0,-0.150635493861958,0.108456520700124,0,0,0,0,0,0.000254950369762351,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71050543121376e-20,0.35537542677263,0,0,0,0,0,0.0258318373380704,0,0,0,0,0,0.110605809441232,0,0,0,0,0.121601543654399,0,0,0,0,0,0,0,0,0,0,0.145431233359261,0,0,0,-0.00124979920511143,0.00779986692322851,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0225020535312176,0,0,0,0.0266289582506275,0.139346424268263,0,0.161884372839008,0,0,0,0,0,0,0,0,0,0,0.255869433907987,0,0,0,0,0,0,0,0,0,0.215140880497615,0,0,0,0,0,0.00546753231922285,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0.018842232479319,0,0,0,0.614901836613476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0259989229807872,0,0,0,0,0,-0.0232863361636243,0,0,0,0,0,0.152139960107383,0,0,0,0,0,0,0.00557122568335729,0,0,0,0,0,0,0.0117211863089234,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174039603181713,0,0.115573359006589,0.0881782996483989,0,0,0,0,0,0,0,0.0499363287875453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0946032078362618,0,0.0630973090096052,0.0923716208735712,0,0,0,-0.00604267066797925,0,0,0,0,0,0
X000792.SZ,0,0,0,0.0214668329839647,0,0,0.290041006331846,0,0,0.0975492215576551,0,0,0,0,0,0,0,0,0,0.00589828995419684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114402807098039,0,0,0,0,-8.67361737988404e-19,0.00122675048558138,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0.588205042082288,0,0,0,0,0,0.0870348076462363,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00585698378512276,0,0,-0.0524704895036998,0,0,0,0.100022557486821,0,0,0,0,0,0,0.0698840960060775,0,0,0.0318104583571524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
