,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600547.SH,X600010.SH,X601600.SH,X601898.SH,X600886.SH,X600660.SH,X601991.SH,X600688.SH,X600795.SH,X600188.SH,X600362.SH,X600352.SH,X000723.SZ,X600111.SH,X600801.SH,X600027.SH,X601992.SH,X002271.SZ,X000898.SZ,X600516.SH,X600176.SH,X600489.SH,X000786.SZ,X002460.SZ,X600299.SH,X000709.SZ,X002466.SZ,X000629.SZ,X000883.SZ,X601158.SH,X600219.SH,X002353.SZ,X600426.SH,X000553.SZ,X601699.SH,X000630.SZ,X600985.SH,X600583.SH,X000027.SZ,X600612.SH,X000401.SZ,X600021.SH,X000825.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178206959265178,0,0,0,0,0,0,0,0.0164394598130163,0,0.020175055882326,0.0113434161779067,0,0,0,0.0435096580106215,0.0310081032311029,0,0,0,0,0,0,0,0,0.0846944805874924,0,0,0,0,0,0,0,-0.00554405969569241,0.0125874047785634,0,0,0,-0.00277423173109206,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208934084973871,0.0367394574844022,0,0.0303341090559989,0,0,0,0,0,0,0,0,0,0,0.114999510123567,0,0,0,0,0,0,0.0643945595389647,0.0095785352556309,0.0338449831252965,0,0,0,0,0,0,0,0,0,0,-0.0199988194179037,0,0,0,0,0.000874110349309379,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0629480645220785,0.00904155808541151,0,0.137773109355401,0,0,0,0,0.0168906934136377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0171403272437311,0,0,0,0,0.0344771588681593,0,0
X600585.SH,0,0,0,0,0,0.0192072848136715,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0792377084464882,0,0.337859397464504,0,0,0.066950022666497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107300125636581,0,0,0.0199212437239874,0,0,0,0,-0.0117799111023481,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0.00322541141403123,0.0909509125290733,0,0,0,0,0,0,0,0,0.116426213075491,0.0256759560407005,0,0,0,0,0.13864619325072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0134969927760807,0.0230260479561037,0,0,0,0,0,0,0,0,0,0,-0.0119142971154163,0,0,0,0,0.0221032565011343,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178959018552066,0,0.0824197029972699,0,0,0,0,0,0.0848489223179696,0,0.0532423927362715,0,0,0,0,0,0,0,0,0,-0.00837421259730915,0,0.0831388520107501,0,0,0,0,0,0,0,0,0,0,-0.0288834942716865,0,0,0,0,0.185268946004051,0,0
X600011.SH,0,0,0,0,0,0,0,0,0.0979805087408747,0,0,0.429959473374759,0,0,0,0,0,0,0,0,0,0,0.239932708567158,0,-0.151213635165279,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110775303794539,0,-0.0993055123706306,0,0,0,0,0,0,0,0,0,0,0,-0.00518881609359015,0,0,0,0.053108725205964,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139185675826783,0,-0.175745671826891,0,0,0,0,0,0,0.761492213025942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190139618687861,0,0,0,0,-0.0555909471953839,0,0,0,0,-0.0620135447527899,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0.127161028351994,0,0,0,0,0,0,0,0.141616546508642,0,0.0103927299242706,0.0970953976720878,0.152279962428741,0,0,0,0,0,0,0,0,0,0.0296466745240737,0,0,0,0,0,0,0.0529636677208359,0,0,0,0,0.0144887578422467,0,0,0,0,0,0,0,0.000570622293607866,-0.0174639109661524,0,0,0,4.33680868994202e-19,0,0
X601600.SH,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0.140108402084509,0,0.0295667178446473,0.0841937352561418,0,0,0,0,0,0,0,0,0,0,0.188402633223084,0,0,0,0,0,0,0.0258432851292549,0.195986944375554,0,0,0,0,0,0,0,0,0,0,0,-0.0040512685740216,-2.40824303162993e-05,0,0,0,0.0165095535662491,0,0
