,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X601898.SH,X600011.SH,X600547.SH,X601600.SH,X600660.SH,X600585.SH,X600886.SH,X600362.SH,X000792.SZ,X600795.SH,X000708.SZ,X600010.SH,X600111.SH,X600027.SH,X002460.SZ,X000301.SZ,X600489.SH,X600160.SH,X002466.SZ,X601699.SH,X600426.SH,X000983.SZ,X000877.SZ,X601991.SH,X600803.SH,X000630.SZ,X000807.SZ,X000786.SZ,X000933.SZ,X601168.SH,X600985.SH,X600176.SH,X000408.SZ,X002128.SZ,X600219.SH,X600612.SH,X000932.SZ,X600096.SH,X000883.SZ,X600295.SH,X002271.SZ,X000027.SZ,X600348.SH,X600282.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.133939982810939,8.67361737988404e-19,0,0,0.0378777310979691,0,0,0.277876147732975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0707763585012022,0,0,-0.22529904799109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0190225779975341,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0.13485535637303,0,0,0.0566717357400321,0,0,0,0,0,0,0,0,0,0,-0.0240851670786356,0,0.0353249339612225,0,0,0,0,0,0,0,0.0187321479408491,0,0,0,0,0.0347259707849904,0,-0.046811694197901,0,0.154855978326213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0.0458452639703195,0,0,0,0.224063709115454,0,0.0141164489404033,0.071146384879632,0,0,0,0,0,0,0,0,0,0,0,0.0206846097853388,0,0,0,0,0,0,0,0.256336948065892,0,0,0,0,0,0,0,0.0121066542598989,0,-0.020895692878757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0270593548227717,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0627948038097263,0,0,0,0,0.11107342122307,0,-1.38777878078145e-17,0,0,0,0.0588037295457714,-0.0491150652105196,0,0,0,0,2.16840434497101e-19,0,0.0145059021713338,0,0,0,0,0.215226513177724,0.00230094802194719,0,0,0,0,0,0,0,0,0,0,0,0,-0.0145974279409893,-0.066302444054474,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0.205564392662384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298605349279273,0,0.121438589123867,0,0,0,0,0,0,0,0.00363453923098679,-1.73472347597681e-18,0,0,0.16866643096899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0.0652780625570535,0.0814512461067197,0,0,0,0,0,0,0.11220951565165,0,0,0,0,0,0,0,0,0.0363266085696253,0,0,0,0,0.100943459596205,0,0,0,0,0.0513518860578117,0,0,0,0,0,-0.109410598757121,0.00598762357864855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.223309595850521,0,0,0.145427338642889,0,0,0,0.136277640093339,0,0,0,0,0,0,0,0.135853251157059,0,0,0,0,0,0.171777172866334,0,0,0,0,0,0,0,0,0,0,0.312976867944556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0290599384245408,-0.0668021161635965,0.150278041739771,0,0,0,0,0
X600011.SH,0.0667861564004057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.452395268383258,0.047468072801553,0,0,0.139813402060833,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.191209590361592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,-0.0548943367317715,0,0,0,0,0,0,0,0,0,0.058802651987941,0,0,0,0,0,0.669653470781226,0,0.0143386086698001,0,0,0,0,0,0,0,0,0,0.101049357758956,0,0,-0.0196900601901849,0.0201384456081364,-0.0581050727341223,0,0,0,0,0,0,0,0,0,0,0,0,0.0209273670154744,-0.0285832387950678,0,0,0,0,0
X601600.SH,0.125400163464966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0602890919225528,0,0,0.135812557751181,0,0,0,0,0,0,0,0,0.132843517924013,0,0,0,0.305483590806322,0,0.0227839891848114,0.206071585768478,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085625150029226,0,0,0.0246528480939012,0.214193956643644,0,0,0,0,0
