,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600795.SH,X601600.SH,X600688.SH,X601991.SH,X600027.SH,X600886.SH,X600362.SH,X600157.SH,X600299.SH,X600111.SH,X601992.SH,X000792.SZ,X600188.SH,X601158.SH,X600160.SH,X600623.SH,X600583.SH,X000027.SZ,X000539.SZ,X600352.SH,X600309.SH,X600660.SH,X002466.SZ,X600098.SH,X000709.SZ,X000630.SZ,X000898.SZ,X000883.SZ,X000629.SZ,X600021.SH,X000060.SZ,X002470.SZ,X600547.SH,X002004.SZ,X600489.SH,X000012.SZ,X600578.SH,X300072.SZ,X600315.SH,X600863.SH,X600022.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.448101052909195,0,0,0,0,0,0,0,0,0.0642775404404054,0,0,0,0,0,0,0,0.0237233708051934,0,0.0229843423885485,0,0,0,0.0608115091504237,0,0,0,0,0,0,0,0.0534154786779873,0,0,0,0,0,0.00629958832692157,0,0,0,0,0,0,0,0,0,0,0,-0.00174035314162659,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0.18777910206963,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114847568100919,0,0,0,0.151478141376076,0,0,0,0,0,0,0,0.0209513162809499,0,0,0,0.0364557437096492,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00155377123656419,0.00896941581849558,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.347142971014578,0,0,0,0,0,0,0,0,0,0,0,0.00732780131901263,0.097463428321261,0,0,0,0,0,0,0,0,0,0,0,0.034427077100725,0,0,0,0,0,0.0316861334465645,0,0,0,0,0.00344521584595606,0,0,0,0,0,0,0,-0.00135423750487025,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0.014018818199362,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0.101635858377053,0,0.0226359094174426,0,0,0.00790447814105196,0,0,0,0,0,0.083669430993132,0,0,0,0,0,0.0926719906051837,0.00115123496017417,0,0,0,0,0,0,0,0,0,0,0,0.0142437405956353,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0.00951202063784997,0,0,0,0,0,0.0126934633579867,0.259050023970046,0,0,0.124980122763794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0814539434636262,0,0.111435892302523,0,0,0,0,0,0,0,0,0,0,0,-0.00451638297796987,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0.0737944675464278,0,0,0,0,0,0,0,0.207361959676829,0,0.046773658718431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0366527359831035,0,0,0,0,0,0,0,0,0,0,0,0,0.0239593769083528,0,0,0,0,0,0
X600585.SH,0,0.249021510391945,0,0,0,0,0,0,0,0,0,0,0.0713112716122143,0,0,0,0,0,0,0,0.0637819744280067,0,0.0195448907187245,0,0.145423430095168,0,0,0.050744768665051,0.00851463529031984,0,0.067715632740805,0,0,0,0,0,0,0,0.0397285368955906,0,0,0,0,0,0,0,0,0.0764372796272858,0,0,-0.0256100547306089,0.00344269466477843,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0.123656466052024,0,0,0,0,0,0,0.0510501144111741,0,0.0107168746251613,0.173626118674666,0,0,0,0,0.102606979360365,0,0,0,0,0.0286306665702647,0.0714383694438318,0.173619295780468,0,0,0,0,0,0.00519177443062244,0,0,0.00196247889069341,0,0.0134618763702186,0,0,0,0,0,0,1.0842021724855e-19,0.00301239849282215,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0656317523316945,0,0.147707964828279,0,0.0320411144226561,0,0,0,0,0,0,0,0,0.0726527171949641,0,0,0,0,0,0,0,0,0,0.0213008917385166,0,0,0,0,0,0,0,0,-0.0032224370325984,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0.180890925291224,0,0,0,0.158925448970563,0.0202295653524599,0,0,0,0,0.1475035207072,0,0,0,0,0,0,0,0,0,0,0,0.0190915873937924,0,0,0,0,0,0.154758458697508,0,0,0,0,0,0,0,0,0,0,0,0.0110963698321299,0,0,0,0,0,0,0
