,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601898.SH,X601600.SH,X600688.SH,X600547.SH,X300072.SZ,X600362.SH,X600795.SH,X601991.SH,X600309.SH,X600660.SH,X600188.SH,X601992.SH,X600027.SH,X600157.SH,X600886.SH,X600111.SH,X000898.SZ,X600489.SH,X600339.SH,X000709.SZ,X002466.SZ,X601158.SH,X600299.SH,X000959.SZ,X000792.SZ,X000630.SZ,X600583.SH,X000408.SZ,X600219.SH,X600352.SH,X000883.SZ,X000539.SZ,X000983.SZ,X002460.SZ,X000825.SZ,X000723.SZ,X000027.SZ,X002092.SZ,X600021.SH,X600098.SH,X601699.SH,X600623.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.19100163860867,0,0,0,0.0365149426775466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110286882581176,0,0,0,0,0.0669693629040815,0,0,-0.00689698907733597,-0.00943526890178733,0.00215697644880121,0,0,0,0,0,0
X600028.SH,0.760944796304643,0,0,0,0,0.0114332819681844,0,0,0,0.123326408207954,0,0,0.0011262029391465,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0611333950552996,0,0,0,0,0,0.0385432827431569,0,0,0,0,0,0,0,-0.0293600212217015,-0.0267140976722674,0.0298958800580796,0,0,0.0620169861910608,0,0,0,-0.0905503643968747,0,0.00541997311442646,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122950191405355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0149482968842785,0,0.194931338840118,0,0,-0.0203577140100979,0.00806378046830681,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.364126457709255,0,0,0,0,-0.0328444261913916,-0.133946968079505,0,0,0,0,0,0,0,0,0,0,0.212813688020457,0,-0.149913413272931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.129165520019182,-0.0897876460509925,0,0,0,0.0772703319104201,0.0384204228301346,0,0,0.0187490029879113,-0.0253153520700474,0.0100107386454941,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.0203298024057156,0,0,0,0,-0.0657624193608982,0,0,0,0,0.0128116752859045,0,0,0,0.423223718443722,0,0,0,-0.085009574471666,0,0,0,0,0,0,0,0,-0.00481770002164132,0,0,0,0,0,0,0,-0.102795492980457,0,0,0,0.0162847581920926,0,0,0,0,0,-0.0042687368430966,0.00675311862451442,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0.239283409513198,0,0,0,0,0,0,0.012066813818102,0.128136137002751,0,0.0994104926353926,0,0,0,0,0.088032728056508,0,0,0,0,0,0,0,0,0,0,-0.214875067840804,0,0,0,0,0,0,0.0945939821488176,0,0,0,0,0,0,0,-0.119022333440907,-0.0119573812156112,0.00389148995142287,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,-0.00535718137962728,0,0.0662317184721168,0,0.114578876880183,0,0,0,0,0,0,0,0,0.227152840274487,0,0,0,-0.00663112158787294,0,0.0257298882069144,0,0,0,0,0,0.0588469957844903,0,0,0,0.00432242857159291,0,0,0,0,0.134224078611431,0,0.0673192391967552,0,0,0,-0.00652244717456808,-0.00225460756881459,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.0132168022174323,0,0,0,0.159541688097603,0,0,0,0,0,0,0,0,0,0,0.0698609449853708,0,0.0758234988449905,0,0,0,0,0,0,0,0.188518212995227,0,0,0,0,0,0.101434396498488,0,0,-0.0257793235882869,0,0,0.0247478735284112,0.0590955721468382,0,0,0,-0.00371308893619344,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.151007570776874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266595957828611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0717929120533397,-0.0164559745432305,0.00446249070088034,0,0,0,0,0,0
X600688.SH,0,0.458712034777697,0,0.0289603263736933,0,0,0,0,0.0388028316654223,0,0,0,0,0,0,0,0,0,0.0357342409776722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0843840777056291,0,0,0,0,0,0,-0.0303978771622763,0,0,0,0,0,0,0.0199808653767665,0,-0.0923323119874691,0,0.00110217222867186,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769332870399062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.052507977894604,0.0183655021352453,0.0353645132943854,0,0,0,0,0,0,-0.0912702716492429,-0.0181482128884301,0.00922983758750855,0,0,0,0,0,0
X300072.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.032812147966425,0,0,0,0,0,0.0487381317039514,0,0,0,0,0,0,0.0251250439188033,0,0,0,0,0,0,0.185297107276797,0,0,0,0,0,0,0,0,-0.0200064424352827,0.096528269229266,0,0,0,0,0,0.165740440192794,0.252471660492963,-0.00511217860798189,0.00817537516069405,0,0,0,0,0,0
