,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X600585.SH,X600011.SH,X601898.SH,X600547.SH,X601600.SH,X600660.SH,X600886.SH,X000792.SZ,X002466.SZ,X002460.SZ,X600111.SH,X600010.SH,X000708.SZ,X000301.SZ,X600426.SH,X600795.SH,X600362.SH,X000877.SZ,X002271.SZ,X601699.SH,X000983.SZ,X600489.SH,X600803.SH,X600176.SH,X600027.SH,X000807.SZ,X601991.SH,X000786.SZ,X000932.SZ,X000630.SZ,X600160.SH,X000933.SZ,X600219.SH,X600985.SH,X000408.SZ,X000629.SZ,X600688.SH,X002080.SZ,X300037.SZ,X002353.SZ,X002128.SZ,X601168.SH,X600801.SH,X600612.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.667990551384375,0,0,-1.73472347597681e-18,0,0,0,0.182049726492791,0,0,0,0,0,0,0,0,0,0,0.0891627899439991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0552193712711538,0,0,0,0,0,0,0,0,0,0,0.0799149080228088,0,0,0,-0.00125234233458774,0,0.0277266003122909,0,0,0,0,0
X600028.SH,0.518576005156514,0,0,0,0,0.0734165478868735,0,0,0,0,0,0,0,-0.0762842995428015,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0991233176824149,0.0480311657784127,0,0,0,0.150172450333979,0,0,0,0,0,0,0,0,0,0,0,0,-0.0743875933176782,0,0,0,0,0,0.0161567583662471,-0.0147632774998281,-0.0513424583599645,0,0,0,0,0
X601088.SH,0.0428830331999061,0,0,0,0.261145252345274,0.0384954443318071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0606824255940368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0931698837766231,0,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0.0457705660637625,0,0,0,0,0,0.229792867152332,0,0,0,0,0.0211662458766024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165458472509119,0.00805053786364145,0,0,0,0,0,-0.0251373404441884,0,0,0,0,0,0,0.0500660122322615,0,0,-0.0047682877839493,0.0225324656731365,0.0050260148519082,0,0,0,0,0,0
X600188.SH,0,0,0.152463854922319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.421961263420443,0,0,0,0,0,0.326165782319965,0,0,0,0,0,0,0,0,0,0,0.0164813641744162,0,0,0,0,0,0,0,0.0656709004760993,0,0,0,-0.108527284717446,0,0.0077761506646946,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105642986584147,0,0,0.130492705343439,0,0,0,0,0,0,0,0.110699606878195,0,0.066941401931097,0,0,0,0,0.14302114732375,0.135261697581921,0,0,0,0.00896340101493654,0,0.193833203829069,0,0,0,-0.210822247338177,0,0,0,0.170289287670261,0,0,4.33680868994202e-19,0.0374043160681857,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140463553090091,0,0,0,0,0,0.00992476287148537,0,0,0,0,0,0,0,0,0.162521641049538,0,0,-0.00530513128298845,0,0,-0.0282837904740876,0,0,0,0,0,0,0,0,0.44460995979836,0,0,-0.00277178296324906,-0.00919342765669572,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.196749366916769,0,0,0,0,0,0,0,0.324684436605836,0,0,0,0,0,0,0,0,0,0,0,-0.124471457419921,0,0,0,0,0,0.775270424557157,0,0,0,0,0,0.0604188739224662,0,0,0,0,0,0,-0.00374927302884919,0.0947312889338952,0,0,0,0,0,-0.0872612301481366,0,-0.0274222822371831,0,0,0,0,0,0
X601898.SH,0.124097846370825,0,0,0,0.149959531283337,0.0278527096163224,0,0,0,0,0,0,0,0,0.0292383130652096,0,0,0,0,0,0,0,0,0,0,0.0874992632408411,0.0886136676506692,0.0088789300025282,0.122963614010698,0,0,0,0,0,0,0,0,0,0,0.162939153894851,0.0255055528209222,0,0,0,-0.0522484073917211,0,0,0.077555037712384,0,0,0,0.00384207733386094,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,-0.121647524893741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.414414663804568,0.12531209440219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115877187699754,0,0,0,0,-0.00447329589515225,0.0709855928056962,0,0,-0.0168654727055174,0,0,0,0,0,0
