,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X601898.SH,X600688.SH,X601991.SH,X601600.SH,X600660.SH,X600188.SH,X600886.SH,X600795.SH,X600362.SH,X000898.SZ,X600547.SH,X600027.SH,X002466.SZ,X601992.SH,X600516.SH,X600111.SH,X600176.SH,X600299.SH,X300072.SZ,X000709.SZ,X002460.SZ,X600352.SH,X600339.SH,X000629.SZ,X600583.SH,X000825.SZ,X000553.SZ,X600808.SH,X002110.SZ,X600801.SH,X000786.SZ,X601158.SH,X000883.SZ,X000792.SZ,X000301.SZ,X600219.SH,X600426.SH,X000932.SZ,X000408.SZ,X600489.SH,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.159836673114064,0,0,0,0.058239635306056,-0.0238700500316421,0,0,0,0.122331989281885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12941669070232,-0.06111752692351,0.0845845365990488,0,0,0,0,0,0,0,0,0,0,0,0.0325090259462871,0,0,0,0,-0.0556438137392784,0.0114701641822886,0.00419186509461084,0,0,0,0,0,0
X600028.SH,0.0586211407711223,0,0,0,0,0,0,0,0,0,0,0.105244965825913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080704205778936,0,0,0,0.120804853661243,0,0,0,0,0,0,0,0.0790802651464052,0,0,0,0.0399033882398583,0,-0.00729504696620872,-0.0181480633195206,0,0,0,0,0,0
X601088.SH,0,0,0,0.0422342015749626,0,0,0,0,0,0,0,0.0013373203851568,0,0.00454074066943104,0,0,0.106931960774248,0,0.0413181195161511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0253652888386878,0,0,0,0.0664244213430652,0,0,0,0,0,0,0,0,0,0,0.350202247406124,0,-0.00406041067503488,-0.0276982829370093,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0315197777334877,0,0,0.0669724515151022,0,0.4150591278427,0.175198880566067,0,0,0.00139226982486656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157422232965527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0785476880329321,0,0,0,0,0,0,0,0,0.291315974434775,0,0,0,0,0.0128191703542508,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0604861548028739,0,0,0,0,1.73472347597681e-18,0.749228957822797,0.0866683686109518,0,0,0,0,0,0,0,0,0.0660360643989935,0,0,0,0,0,0,-0.0209588231341791,0,0,0,0,0,0,0,0,0,0.0421939818100361,-0.147882520398084,0,0,-0.00670363980947029,0.0122127909485845,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.521218964446663,0,0,0,0,0,0,0,0,0,0,0.0855568937038568,0,0,0,0,0.223360414884866,0,0,0,0,0,0.138676575808472,0,0,0,0,0,0.0205129564887832,0.00140828227332875,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136356528271854,0,0,0,0.0958311074785989,0.168966290560028,0,0,0.00671834598148955,0,0,0,0,0,0,0,0.0396702597504703,0,0,0.0928043829611974,0,0.0247854839422068,0,0,0.0725305663699851,0,0,0,0,0,0,0,0,0.00598308159174128,0.00646068144649797,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0.313421285262203,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0534534770407097,0,0,0,0,0,0,0,0,0,0,0,0.00589041671196549,0,0,0,0,0,0,0.00987975157742262,0,0,0,0,0,0,0.255184117184311,0,-0.00694374405778152,-0.00591179794868397,0,0,0,0,0,0
X600688.SH,0,0.259388346732176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146022726518875,0,0,0,0,0,0,0,0.00855110752618567,0.000232434210583315,0,0,0,0,0,0,0,0,0,0.0796150323965791,0,0,0,0,0,0,0,0,0.0299671417072711,0,0,0,0,0,0.0050727223657255,-0.000537724731588251,0,0,0,0,0,0
