,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X000708.SZ,X002460.SZ,X600660.SH,X002271.SZ,X600011.SH,X600362.SH,X601600.SH,X000786.SZ,X600886.SH,X600176.SH,X601898.SH,X600426.SH,X600010.SH,X600188.SH,X600801.SH,X600111.SH,X600352.SH,X000301.SZ,X600489.SH,X601991.SH,X600795.SH,X600688.SH,X002466.SZ,X600803.SH,X600486.SH,X600027.SH,X300037.SZ,X002353.SZ,X600299.SH,X601992.SH,X600219.SH,X000932.SZ,X002080.SZ,X601168.SH,X000898.SZ,X600529.SH,X000630.SZ,X000723.SZ,X002409.SZ,X000807.SZ,X000027.SZ,X002075.SZ,X000878.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,-0.0349957172528935,0,0.0281667116244804,0,0,0,0,0,0,0.032097258152041,0,0,0,0,0,0,0,0,0,0.0280940525404565,0,0,0,0,0,0,0,0,0,0.0432696719344107,0.00155920559537005,0,0,0,0,0,0.0206951795817943,0,0,0,0,-0.00725856242679761,-0.0107276274717113,0,0,0,-0.00203103051058124,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,-0.000448580756999229,0.0088156957756025,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.0918300819593904,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0500368405635631,0.00672074756830212,0,-0.0376903092382581,0,0,0,0,0,0.0150338915426089,0.0461910933120022,0,0,0,0,0,0,-0.0118902834852484,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.00143329800162678,0,0.0595332484453897,0,0,0,0,0,0.245940190669267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0572825215140691,0,0,0,0.0689627772793073,0,0,0.00633346651954639,0,0.0084094634415048,0,0,0,0,-0.00571964860924154,0,0
X600585.SH,0,0,0,0,0.0899353839459236,0,0,0,0.127953094721935,-0.0416187409998687,0,-0.0142815711151184,0,0,0,0,0,0,0.00930768056291721,0,0.0186988179349021,0,0,0,0.041286984196702,0,0,0,0,0,0,0,0,0,-0.050856945440514,0,0,0,0,0,0.0210010695027344,0,0,0,0,0,-0.0444099586161845,0,0,0,0,0.00994261291414337,0,0,0,0,0.00418043336554823,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289897215008911,-0.07176396589144,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125446805754535,0.0974540514597611,0,0,0,0,0.0358759230458478,0,0,0,0,0,0,0,0,0,-0.0231515231258263,0,0,0.0658646394356831,0,0,0,0.00809306567121858,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0332831422452412,0,0,0,0,0,0,0,0,0.154890183160736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0264577076479591,0,0,0,0,0,0.0441930065086638,0,0,0.0651960051297361,0,0.0280617299440201,0,0,0,0,-0.00863501539287881,0,0
X600547.SH,0,0,0,0,0.0938305428485565,0,0,0,0.0606574228034251,-0.0384660962920904,0.0344723713712088,0,0,0,0,0,-0.0605353361781331,0,0,0,0,0,0,0,-1.73472347597681e-18,0.599920831948975,0,0,0,0,0,0,0,0.0400818351703641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.71050543121376e-20,0,0,0,0,0,0,0,0.00122523327655481,0,0
X000708.SZ,0,0,0,0,0.0156900227748306,0,0,0,0.0190561261054379,0,0,0.00902787065410722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105273523450082,0,0,0,0,0.0569036800643786,0,0.315427927550848,0.014109168488687,0,0,0,0,0,0,0,0,0,0,0,0,-0.0136007236350411,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0.242164472444857,0,0,0,0,0.0547515035479437,0,0.035059640377369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203623732613109,0,0,0,0.322120876203125,0,0,0,0,0,0,0.183085248369119,0,0,0,0,-0.018480266856139,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,-0.0387211185387832,0,0
X600660.SH,0,0,0,0,0,-0.24115595303237,0,0,0,0,0,0,0.0226826805611624,0,0,0,0,0,0,-0.0395385493909433,0,0,0,0.105514491627142,0,0,0,0,0,0,0.100786385357638,0,0,0.214388005384683,0,0,0,0,0,0.0210358102293252,0,0,-0.0269246038627678,0,0,0,0,0,0,0,0,0,0.0249244545729497,0,0,0,0.0200356893145792,0,0
X002271.SZ,0,0,0,0,0,0,0,0,0,0.0709103192086931,0,0,0,0,0,0,0.140463636955655,0,0.00834046917627312,0,0,0,0,0,0,0,0,0,0,0,0.232020620933404,0.162075927763161,0,0.112122654937031,0,0,0,0,0,0,0,0,0,0,0,0.0149579919672878,0,0,-0.19369799712285,0,0,0,0.17405669110864,0,0,0,0.0483601547175112,0,0
