,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600660.SH,X601898.SH,X600019.SH,X600188.SH,X600585.SH,X601600.SH,X600886.SH,X600547.SH,X600011.SH,X000792.SZ,X600010.SH,X600795.SH,X600111.SH,X600362.SH,X002460.SZ,X600160.SH,X600803.SH,X600489.SH,X000708.SZ,X000301.SZ,X002466.SZ,X000807.SZ,X000786.SZ,X600027.SH,X601991.SH,X000408.SZ,X600219.SH,X000983.SZ,X600176.SH,X600426.SH,X002128.SZ,X000630.SZ,X601168.SH,X601699.SH,X600096.SH,X000933.SZ,X002353.SZ,X600378.SH,X000877.SZ,X600157.SH,X600985.SH,X600352.SH,X002271.SZ,X600299.SH,X600995.SH,X600549.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600795.SH,0,0,0,0,0,0,0,0,0,0,0.340089065981426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072624046589259,0,0.289630670133289,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0198831931641311,0,0.033085606686024,0,0,0,0.0343659918296075,0,0,0,0,0,0,0,0,-0.0400794560217605,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218509139645172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0669874919850596,0,0,0,0.102532312335535,0,1.73472347597681e-18,0,0,0,0.101884079116853,0,0,0.0330277028944338,0,0,0.0501642965806871,0,0,0.214836775622202,0,-0.069988277553904,0.00776553027823036,0,0,0,0.0445570546290719,0,0
X600362.SH,0,0,0,0.0525587803224219,0,0,0,0,0,0.228804547008073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139658919701421,0,0,0,0,0,0,0,0,0,0,0.00320081302705344,0.122390107630997,0,0,0,0,0.0972157614606565,0,0,0,0,0,0,0,0,-0.00918013263194669,-0.00441849513684912,0.0123682137388322,0,0,0,0,0,0
X002460.SZ,0,-0.0401597710197412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0228951882503843,0.934631293390549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0345684780421682,0,0,0,0,-0.00373576110584397,0.0122232977374261,0,0,0,0,0,0
X600160.SH,0,0,0,0,0.199963875010195,0,0,0,0,0,0,0,0,0.169006345537966,0,0,0,0,0.112995174677147,0,0,0,0,0.103919721599352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122641809294527,0,0,0.112802579569637,0,0,0,0.0117826842488917,0,0,0,-0.116566371546088,0,-0.0324841540666245,0,0,0,0,0,0
X600803.SH,0,0.0709292718340089,0,0.162507760197771,0,0,0.14164892035157,0,0,0.0826916951054198,0,0,0,0,0,0,0,0,-0.0314898456556277,0,0,-0.0236241098365922,0,0,0,0,0,0.132172236630962,0,0,0,0,0,0,0,0,0,0,0.144265210198442,0,0,0,0,-0.067257169771873,0,0,0,0,0,0,-0.0253204256254535,0.00715258128821725,-0.022760081293782,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0.0732304523449529,0,0,0,0.215901436908978,0.547633330001514,0,0,0,0,0.0220548325559747,0,0,0,0,0,0,0,0,-0.00815815733433715,0,0,0,0,0,0,0,0,0,0,0,0.00861180310315393,0,0,0,0,0,0,0,0,0,0.0839427421122988,0,0,0,-0.00354945521712402,0,-0.16151942019059,0,0,0.0259267737683063,0,0
X000708.SZ,0,0,0,0.0933769796475599,0,0,0.28996223513644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132680737020145,0,0,0,0.174134976494239,0,0,0,0,0,0,0.0604557295781714,0,0,0,0.149525751382905,0,0,0,0.0142925912021685,0,0,0,0,0,0,0,-0.0124596350031442,0,0,0,0,-0.00967766413679043,0,0
X000301.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0982445016881545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0976572576191221,0,0,0,0,0,0,0,0,0,0,0,0.0126554076895437,-0.00760903449482454,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138762387934965,0,0.609492935531066,0,0,0,0,0,0,0,0,0,0,0.114044260354362,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00237001860478366,0,0,0,0,0,0,-0.0195999108259615,-0.00188053819583844,0.0112922385038809,0,0,0,0.00602660611160211,0,0
