,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X600585.SH,X600019.SH,X600111.SH,X000792.SZ,X600010.SH,X002466.SZ,X000301.SZ,X601600.SH,X600188.SH,X600011.SH,X601898.SH,X600660.SH,X000708.SZ,X002271.SZ,X600547.SH,X600362.SH,X600886.SH,X600176.SH,X600426.SH,X002080.SZ,X601991.SH,X000825.SZ,X600795.SH,X300037.SZ,X600141.SH,X600295.SH,X000408.SZ,X600219.SH,X000807.SZ,X000786.SZ,X600803.SH,X002326.SZ,X000959.SZ,X600096.SH,X600027.SH,X000932.SZ,X000983.SZ,X000898.SZ,X600801.SH,X600688.SH,X000831.SZ,X000723.SZ,X600352.SH,X000630.SZ,X002353.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.197917401416392,0,0,0,0,0,0,0,0,0,0,0.0256128224553451,0.0388575392665557,-0.0079622002954443,0,0,0,0,0,0,0,0,0,0,0,0.0206630082304017,0,0,0,0,-0.00487687158908943,0,0,0,0,0,0,0.0288055926481547,0,0,0,0,0,0,0,0.0480531255764308,0,0,0,0,-0.0167951292955174,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,-0.0191083492403098,0,0,0,0,0,0,0.0267347655963646,0,0,0,0,0,0,0,0,0,0,0.0432741543161105,0,0,0,0.00452532131099425,0,0,0,0.0327213400441888,0,0,0,0,-0.0221642448284957,0,0,0,0,0,0.0929859408850757,0,0,0.0723432295535105,0,0,0,0,0,0,-0.00344331228100863,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.0124471034646245,0,0,0,0,0,0,0.0715386255963282,0,0.0516146683808304,0,0,0,0,0,0,0,0,0,0,0,0,-0.112341881919008,0,0.0702928007212467,-0.0425083647388965,0,0,0,0,0,0,0,0,0.151026968732115,0.12636755369122,0,0,0.115232577724482,0,0.0838383427874863,0,0,0,0,0.0175219299031264,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0.0136924421149309,0,0,0,0,0,-0.0573065108192482,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.31899021782231,0,0,0,0,0.0765514648833547,-0.0115044758919012,-0.00915681374868843,0,0,0,0,0,-0.0136954433397632,0,-0.00609928588203068,0,0,-0.0162219431197429,0,0,0.0166829317203606,0,0,0,-0.0641424109287547,0,0,0,-0.0133653823387445,0,0,0,-8.67361737988404e-19,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0.449492751957231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416948516682366,0.107078229003972,0,0,0,0,0,0,0.167447066335107,0,0,0,0,0,0,0,0,0.140701542943525,0,0,0,0,0,0.0725820045315889,-0.072245222076783,0,0,0,0,0,0
X600585.SH,0,0,0,0,-0.0603465067819261,0,0,0,0,0,0.0144801822515637,0,0.0722564232091158,-0.0358463285811096,0,0,0,-0.0483534081939004,0,0,0,0,0,0,-0.0558803011620731,0,0,0,0,0,0,0,0.095821719679242,0.00115401705848614,0,0,0,0.0503799869841189,0,0,0,0,0,0.706975698247227,0,0.00977962594187986,-0.0962264749944335,0,0,0,0,0.00336656570378993,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0.00987155638792007,0,0,0.0265564647284396,0.00831730539212092,0,0,0,0.00428601342247202,0,0,0,0,0,0,0,0,0,0,-0.0432415593644881,0,0,0,0,0,0,0,0,0,0,0,0,0.0445903862116204,0.553147196945581,0.0113102054213325,0,0,0,0,0,0,0,0,0,0,0,0,-0.0608166429466231,0,0
X600111.SH,0,0,0,0,0.236302272195647,0,0,0,0,0.310596299215686,0.128105603776623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193943462207982,0,0,0,0,0,0,0,0.0487627426372391,0,0,0,0,0,0,0,0,0.185985596128045,0,-0.0411316003559377,0,0,0,0.0165592606036962,0.0860756221245339,0,0,0,0,0,0
X000792.SZ,0,0,0,-0.0586217826807885,0.0432748237711886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.201684314586424,0,0,0,0.168368787731626,0.216026713535815,0,0,0,0,0.0349610171235553,0,0,0,0,0.155441527059138,0,0.00153728302479239,0,0,-0.31469011543974,0,0,0,0,0.00748456233929524,0.111359743960748,0,0,0,0,0,0
X600010.SH,0,0,0,0,0.0314826360904663,0,0.330751194940085,0.342120284727825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0193165564489317,0,0,0.0352821824886302,0.0578376765290955,-0.0861097061197159,0,0,0,0,0,0.217992472577993,0,0,0,0.0152630024235924,0,0,0,0.00190845052131593,0,0,0,0,0,0.00882762326011055,0,0,0,0,0,0,0
