,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X002466.SZ,X002460.SZ,X600188.SH,X600585.SH,X000792.SZ,X600019.SH,X601898.SH,X600111.SH,X600011.SH,X600660.SH,X002271.SZ,X000301.SZ,X000877.SZ,X000708.SZ,X600010.SH,X600886.SH,X600547.SH,X601600.SH,X600795.SH,X000629.SZ,X600176.SH,X600362.SH,X600426.SH,X000408.SZ,X300073.SZ,X600096.SH,X002080.SZ,X601991.SH,X000786.SZ,X600803.SH,X000983.SZ,X000723.SZ,X600027.SH,X600160.SH,X600141.SH,X600348.SH,X601699.SH,X600219.SH,X600157.SH,X002407.SZ,X600399.SH,X600801.SH,X002353.SZ,X000155.SZ,X002192.SZ,X600486.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600157.SH,0,0,0,0,0,0,0,0,0.124063556346834,0,0,0,0.012118503374717,0,0,0,0,0,0,0,0,0.114077021440576,0,0,0,0,0,0.0608297999112451,0,0,0,0,0.00735491176839682,0,0,0.118166038077716,0,0,0,0.0451313436805797,0.0225186330177254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00526922787351113,0,0
X002407.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211350252574128,0,0,0,0,0,0,0,0,0,0.050026163751744,0,0,0,0,0.116890509308775,0,0.440537857881729,0,0,0,0,0,0,0,0.191369570449329,0,0,0,0,0,0,0,0,0.147597098109601,0,0,0,-0.00976155477018903,0,0,0,0,0,0,0
X600399.SH,0,0,0,0,0,0,0,0,0,0,0,0.0756409842350828,0,0,0,0,0,0,0,0,0,0,0.14843163986928,0,0,0,0.117809445059235,0,0.0967141368136337,0,0,0,0,0,0,0,0,0.0606504545854287,0,0,0,0,0,0.2377735032475,0,0,0,0,0,0.236542558406393,0,0,0,0,0,0,0,0,0
X600801.SH,0,0,0,0,0,0,0,0.239002356493612,0,0,0,0,0.122669999492126,0,0.0015144147463403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024332663503158,0,0.0237669953994403,0,0.0325687953101491,0,0,0.000492062607074905,0,0,0,0.0143540001981085,0,0,8.67361737988404e-19,0,0.0681960520039361,0,0,0,-0.0977053759385859,0,0,0,-0.0171507509250447,0,0
X002353.SZ,0.626917445071198,0.0641439708884637,0,0,0,0,0.0861570317757096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00162751820839406,0,0,0,0,0,0,0,0.107774210703645,0,0,0,0,-0.0780721135273338,0,0,0,0,0.00125343798093806,0,0,0,0,0,0,0,0,0,0,0,0.0256370236060618,-0.140976227375359,0,0,0,0,0,0
X000155.SZ,0,0,0,0,0.281781272035298,0.0458229444041791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0465690502518946,0,0,0,0.0171007654311254,0,0,0,0,0,0,0.292814119414078,0,0.0629960914962513,0,0,0,0,0.00453955866599883,0,0,0,0.000843606537114119,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0
X002192.SZ,0,0,0,0,0.561570790949155,0,0,0,0,0,0,0,0,0,0,0.084578910855844,0,0,0,0,0,0,0.140172285741637,0,0,0,0,0,0,0,0.102472367474209,0,0,0,0,0,0,0,0,0.121713798126305,0,0.0561710900472408,0,0,0,0,0,0,0,0,0,-0.0946079497611773,0,0,0,0,0,0,0
X600486.SH,0.0395578509718654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122570498272493,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0514518373696593,0,0,0,0,0,0,0,0,0,0.00805081027354095,0,0.231455059192184,0,0,0,0,0,0,0,0,0,-0.0297982506311738,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0.00711476616491305,0.0943843145724329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0560175830135412,-0.0548773787211351,0,0,-0.152707489211967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.122060026511584,0,-0.12964431231108,-0.0814449317692417,-0.0638000751539097,0,0,-0.100294150259315,0,0
Slope,0,0,0,0,0,0,-0.399456973045583,0,0,0,0.302411275439885,0,0,0,0,0,0,3.46944695195361e-18,3.46944695195361e-18,0.0629594514361448,0,0.0447684662505244,0,0.00552742401053604,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0.118847124690739,0,0,0,0,-0.275727588452203,0,0,0,0,0,0,0.135434321494749,0,0.269850565916852,0,-0.934002836206968,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0.0728167267973741,0,0,0,0,0,0,0,0,0,0,0.00690644173698421,0,0,0,0,0.331167358516239,0,0,0,0,0,0.0422477030738967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.231356996606313,0.36670147568307,0,0,0,0,0.311372277240374,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,0,-0.0408679573459434,-8.67361737988404e-19,0,0.0211502674420364,0,0,0,0,0,0,-0.206751512802221,0,0,0,0,0,0,0,0.111661201782194,0.116958908926354,-0.0321356661993449,0.0250764339644472,0,0,0,0,0,0,0,0,0,0,0,0.0254813855234173,0,0.0388290844314692,0,0,0,0,0.035606759091955,0,0,0,0,-0.0325031460183904,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,0,0,-0.0829337937047046,0,0,0.0111922495778277,0,0,0,0,0,0,0,0,0,0,0,0.0471066785930649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00393057507460973,0,0,0,0,0,0.00660408090008161,-0.165396510811493,0,0.0437377991418466,0.034064405669113,0,0,0,0.010900642316721,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0.00162268507122544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00580989487085282,-0.00612468180399547,0,0,0,0.0122072886918384,0,0
CarbonVol_Shenzhen,0,0,0,0,0.0546295223179076,0.0322470092187488,0,0,0,0,0,0,0,0,0.133207254782999,0.138519294285418,0,0,0,0,0,0,0.0443027669974768,0,0,0,0,0,0,0,-0.148310496471663,0,0.075962226451313,0,0,0,0,-0.367496255127438,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.635599383138303,0.635017927461653,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0.00591451974045411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0176593373586486,0,0,0,0,0.0254830017449121,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00329722324502756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00650647101961997,0.0038345054639462,0,0,0,0.0128276076424734,0,0
