,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601898.SH,X601600.SH,X600688.SH,X600547.SH,X600362.SH,X600795.SH,X300072.SZ,X600309.SH,X600188.SH,X601991.SH,X600157.SH,X600027.SH,X600886.SH,X600660.SH,X601992.SH,X600111.SH,X600489.SH,X000898.SZ,X600339.SH,X600299.SH,X000709.SZ,X000959.SZ,X601158.SH,X600583.SH,X000630.SZ,X000792.SZ,X002466.SZ,X600098.SH,X600352.SH,X000408.SZ,X600219.SH,X000883.SZ,X000723.SZ,X000539.SZ,X000825.SZ,X002092.SZ,X000027.SZ,X601699.SH,X000983.SZ,X600021.SH,X000937.SZ,X600623.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.371496498228288,0,0.0903263400935491,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.0371293363774707,0,0,0.0564119815000034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0.0942618594099759,0,0.00314032886679169,-0.00711736837033697,0,0,0,0,0,0
X600028.SH,0.791789153196661,0,0,0,0,0.0883404007795177,0,0,0,0,0.0395478564557176,0,0,0,0,0,0,0,0,0,0.034612948199911,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0.024968336959784,0,0,0,0,0,0,0,0,0,0,0.03356205335461,-0.00902196069008897,0,0,0,0,0,0
X601088.SH,0,0.0155124989671116,0,0,0,0,0,0.0525012771424165,0.0499759999077668,0,0,0,0,0,0,0,0,0,0,0,0.0772914151972105,0,0,0,0.11395326502806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150430729224034,0,0,0,0,0,-0.0285427236483355,0.0137101694347977,0,0,0,0,0,0
X600019.SH,0,0,0.210054888714971,0,0.0365073866306522,0,0,0,0,0,-0.0938950376316787,0,0,-0.0377832802565829,0,0,0,0,0,0,0,0,0,0,0.164737225910957,0,0,0,0,0,0,0.0282297290912618,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0.0965164778848738,0,-0.0984467290183237,0,-0.0165357415540964,0.0160434693925399,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,-0.0311545105269853,0.0226595483100974,0.217364765557059,0,0,0,0,0,0,0,0,0,0,0,-0.0731921981400857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101491222929287,0,0,0,0,0,0,0,-0.0127890464729192,0.0133225337149179,0,0,0,0,0,0
X600585.SH,0,0.133599501507179,0,0.0321465622498949,0,0,0,0,0,0,0,0,0,0,0.0658925784057171,0,0,0,0,0,0.099232831265066,0,0,-0.0401753988330439,0.139611879460252,0,0,0,0,0,0,0,0,0,0,0,-0.251840596762303,0,0,-0.0272884989401972,0,0,0,0,0,0,0.0265862051685719,0,0,-0.175760893316808,-0.00943276017191719,0.0131910591775963,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0.0726615887032358,0,0,0.0496684972925053,0,0,0.0421471056814221,0,0,0,0,0,0,0,0,0,0.202200773333816,0,0,0,0,0,0,0,0,0,0.120538530804086,0,0,0,0,-0.0135115493594118,0,0,0,0,0,0,0,0.0303430916052343,0.0693769935210845,0,-0.0254524335345946,0.00926819156164397,0,0,0,0,0,0
X601898.SH,0,0,0.196250790101171,0,0,0,0,0,0,0,0,0.0553739086335391,0,0,0,0.138473048810222,0,0,0,0,0,0,0,0,0.0320876517959962,0,0,0.148480692312063,0,0,0.00797983871857868,0,0,0,0,0,0,0,0,-0.0580442701683292,0,0,0,0,6.93889390390723e-18,0.0713495351658145,0,0.0824278350670945,0,0,-0.0249999490030758,0.0115366906769054,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0.0350140352933577,0.261526979690427,0,0,0,0,0,0,0,0,0.0390494580747144,0,0,0,0,-0.185647690423596,0,0,0,0,0,0.243385082673565,0,0,0,0,0,0,0,0,0,0,0.104961252463029,0,0,0,0,0,0,-0.0365258895377352,-0.0166360147957611,0.0100331612192441,0,0,0,0,0,0
X600688.SH,0,0.39471483826927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0193330006484077,0,0.00727468561588054,0,0,0,0,0.109096672791601,0,0,0,0,0,0,0,0,0.0313351436765404,0,0,0.0302235655010021,0,0,0,0.081197292071526,0,0,0,0.00271343386166916,0.00666474399533704,0,0,0,0,0,0
