,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600585.SH,X600188.SH,X000792.SZ,X002460.SZ,X600019.SH,X601898.SH,X002466.SZ,X002271.SZ,X600111.SH,X600011.SH,X000877.SZ,X600660.SH,X000708.SZ,X600547.SH,X600010.SH,X601600.SH,X000301.SZ,X600886.SH,X600426.SH,X600176.SH,X600362.SH,X000983.SZ,X600795.SH,X000786.SZ,X600096.SH,X600803.SH,X600801.SH,X601699.SH,X000723.SZ,X600486.SH,X601991.SH,X000408.SZ,X600219.SH,X000932.SZ,X600141.SH,X600295.SH,X000830.SZ,X600027.SH,X000630.SZ,X000807.SZ,X600985.SH,X600489.SH,X002080.SZ,X000959.SZ,X300073.SZ,X600352.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0563586297174253,0,0,0,0,0,0,0,0.0732302100343443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0912179278457918,0,0,0,0,0.121841477566319,0,0,0,0,0,0,0,0.0965534365827539,0,0,0,0.0937474111942676,0,0,0.102171022620368,0,0,0,0,0,0,-0.0266314219553447,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.0509219432199059,0,0,0,0.178653866934469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.337883545200045,0,0,0,-0.0466104845762799,0,0,0.0132045160374957,0,0,0,0,0,0,0
X600028.SH,0.0583369120910102,0,0,0,0,0,0,0,0,0.0317074698901127,0,0,0,-0.0293399473385858,0,0,0,0,0,0.0582298662026354,0,0,0.0957417274790859,0,0.0209161880637536,0,0,0,0,0,0,0,0.016348511616271,0,0,0,0,0,0,0.00357906757073656,0,0,0,0.0339349396165192,0,0,0,0,0,0,0,-0.0219428155673587,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0.00698049916636295,0,0,0,0,0,0,0.0939287158863794,0,0,0,0.133938495766399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130114163402433,4.33680868994202e-19,0,0,0.017144849717947,0.142008713784717,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0.0483729757062955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0332751069340455,0,0,0.42724347086227,0,0.0455040382108767,0,0,0,0,0.00534753037280902,0,0,0,0,0,0,0,0,0,0.00595565789633281,0,0,0,-0.0188486427500115,0.00924872416898779,0,0,0,0,0,0
X600188.SH,0,0.73251881830037,0,0,0,0,0,0.033391252255199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10842165926662,0,0,0,0.0446256026011986,0.317410667029823,0,0,0,0,0,0.119028341311568,0.0378335687701952,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.0519573653506346,0,0,0,0,0.359355125973036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0653810876863485,0,0,0,0,0,0,0,0,0,0.247733650147495,0,0,0,0.193493384439219,0,0,0,0,0,0.0961409906068537,0,0,0,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0.0678633862746245,0,0,0,0.441794670521678,0,0.288403879999588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0264343417623396,0.123561697765632,0,0,-0.0785264211013094,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0721324645029207,0,0.0612408656398036,0,0,0.0921530080522734,0,0,0,0,0,0,0.382648305992448,0,1.38777878078145e-17,0,0,0,0.0209176482681545,0.0374680752403139,0,0,0,0,0,0,-0.0341174694534803,0,0,0,0,0,0,0
X601898.SH,0,0.242623783068317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15895294817918,0,0,0,0,0,0.113393329590336,0,0,0,0,0,0,0,0.0819812151753709,0,0,0.0673836329296098,0.0493239378007448,0.173006211353883,0,0,0,0,0,0,-0.0109363614807005,-0.00118893872340978,0,0,0,0,0,0
X002466.SZ,-0.0578839108621315,0,0,0,0,-0.0394185369841739,0,0.992962752671108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.108257883218298,0.0524099875696857,0,0,0,0,0,0,0,0,-0.0353955706005324,0,0,0,0,0,0,0,0,0,0,0.0136761922629842,-0.0222558315345961,0,0,0,0,0,0
