,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600011.SH,X600010.SH,X601600.SH,X601898.SH,X002466.SZ,X600188.SH,X600688.SH,X600660.SH,X601991.SH,X600362.SH,X600795.SH,X002460.SZ,X300072.SZ,X601992.SH,X600176.SH,X600547.SH,X600886.SH,X600111.SH,X000786.SZ,X600516.SH,X000898.SZ,X000709.SZ,X002271.SZ,X600352.SH,X600027.SH,X600299.SH,X000792.SZ,X000825.SZ,X000553.SZ,X000408.SZ,X601699.SH,X601158.SH,X600219.SH,X600489.SH,X600808.SH,X000883.SZ,X000630.SZ,X000959.SZ,X600583.SH,X600426.SH,X002092.SZ,X002110.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.362772498355396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0791579054855423,0.00335216712366255,0,0,0,0,0.0763478340077273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0522395744863774,0.01531661628821,0.0137683622801915,0,0,0,0.00117351885488498,0,0,0,0,0,0
X600028.SH,0.320946831302452,0,0.0602007276208057,0,0,0,0,0,0,0,0.0623567237247486,0,0,0,0.000354767383410975,0,0,0,0,0,0.177695319946467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0122739463914919,0,0,0,0,0,0,0
X601088.SH,0,0,0,0.0631612450711644,0.0319500432819148,0,0,0,0,-0.0503451182541869,0.152892306302402,0,0,0,0,0,-0.0125486402713565,0,0,0,0.0900206966553611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362393287032304,0,0,0,0,0,0,0,0,0,0,0,0,0.0117577311992754,0,0,0,0,0,0,0
X600019.SH,0,0.12515703077213,0,0,0.1909113661089,0,0,0,0,0,0.253814709643764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0643566178070791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0327280466145245,0,0.00844893594337782,-0.00534269233634591,0,0,0,0,0,0
X600585.SH,0,0,0,0.243256050177098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087091886504992,0,0,0,0.206888387826709,0,0,0,0,0,0,0,-0.108409122810796,0,0,0,0.260147363150238,0,0,0,0,0,0,0,0,0,0,0.0481094288975792,0,-0.00831031158482226,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0.048246935288118,0,0,0,0,0,0,0,0,0.138276230887121,0,0,0,0,0,0,0.0350893049625564,0,0,0,0.0197408267808593,0.167682662659198,0,0.0792695475080384,0,0.105191128098734,0,0,0,0,0,0,0,0,0.000724274407727424,0.0209519603884705,0,0,0,0,0.00180070544795913,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0.0212791217353779,0,0,0,0,0,0,0,0,0.000154575792417428,0,0,0.074084373538443,0,0,0.0561918953590142,0,0,0.0588605526170461,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.0866048270869514,0,0,0.0564278658903831,0.015691834929197,0,-0.00399214789723398,0,0,0,0,0,0,0
X601600.SH,0,0.0415092761128568,0,0,0,0,0,0,0,0,0.0274143975817661,0,0,0,0,0,0.116152567835535,-0.719896400808187,0,0,0,0,0,0,0,0.406951214164677,0,0,0,0,0,0,0,-0.251100043521248,0,0.0901061036472205,0,0,0,0,0,0,0,0,0.157012060963175,0,0,0,0.146916926607328,-0.239058728753831,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150322923449014,0,0,0,0,0,0.00734499609158058,0,0,0,0.00190188061772993,0,0,0,0,0,0,0.0426269056567448,0,0,0,0.205724630587987,0,0,0,0,0,0,0,0.191792560968741,0,0.0356972701683489,0,0,0,0.000867413659495827,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0.0196351149056442,-0.0426285189794334,0,0,0,0,0,0,0,0,0,0,0.382635315424272,0,0,0,-0.0879717835930726,0,0,0,0.216231787973089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00665438805657781,0,0,0,0,0,0
