,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X600547.SH,X601898.SH,X600660.SH,X601991.SH,X600886.SH,X600688.SH,X601600.SH,X600795.SH,X600362.SH,X600027.SH,X600188.SH,X000898.SZ,X601992.SH,X600176.SH,X600516.SH,X002466.SZ,X000709.SZ,X600111.SH,X600352.SH,X600299.SH,X002460.SZ,X600489.SH,X000629.SZ,X600808.SH,X601158.SH,X600801.SH,X600219.SH,X000786.SZ,X000825.SZ,X000553.SZ,X000883.SZ,X600583.SH,X002271.SZ,X002110.SZ,X002470.SZ,X000408.SZ,X600612.SH,X600021.SH,X000539.SZ,X600157.SH,X000630.SZ,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600886.SH,0,0,0.0798273307923519,0.061208544519302,0,0,-0.0159973744697756,0,0,0,0,0,0,0,0,0,0,0.0041769078757249,0,0,0.0525665225554559,0,0,0,0,0,0.0984889134916173,0,0,0,0,0,0,0,0,0,0,-0.0174043926358268,0,0,0,0,-0.0230315742578311,0,0.199647757111712,0,0,0,0,0,0,0.0293855746010816,-0.042391376987728,0,0,0,0,0,0
X600688.SH,0,0,0,0,0.144044646648257,0,0,0,0,0,0.0609600140598259,0,0,0,0,0,0,0,0.0955208279690896,0,0,0,0,0.0421405169535372,0,0,0,0,0,0,0.0347723789038792,0,0,0,0,0.13605105363427,0,0,0,0,0,0,0.0705630524224274,0,0,0,0,0,0,0,0.033510154946848,-0.014925727523864,0.0245855862793009,0,0,0,0.00828543520428235,0,0
X601600.SH,0,0,0,0,0,0,0.124881383260956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0254202554712087,0,0.257514536900882,0.0330598416038038,0,0.0810894824246475,0,0,0,0,0,0,0,0,0,0,0,0.0679307446004988,0,0,0,0,0,0,0,0,0,0,0,-0.0270258796472703,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0.00383768391325765,0,0,0,0,0,0,0,0,0,0,0.0826213158382541,0,0,0,0,0,0,0,0,0,0,0.0329845998126003,0,0,0,0,0,0,0.10386593394997,0,0,0,0.0214457362338652,0,0,0,0,0,0,0,0,0,0,0,0.000853417059132608,0,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0.0152304421531229,0,0,0,0,0,0,0,0,0,0,0.00136399671654797,0,0,0,0,0.0691258633661552,0,0,0.154678834182099,0,0,0.0157880750687784,0,0,0,0,0,0,0,0,0,0,0,0,0.110501403906345,0,0,0,0,0,0.0244009822845037,0,0,0,0,0.00133281689075275,0,0,0,-0.0124005903777662,0,0
X600027.SH,0,0,0,0,0,0.173852242641106,0,0.0518206354042251,0,0,0.0545968153814211,0,0,0,0,0,0,0,0,0,0.076825251353698,0,0,0,0,0.110616075288448,0,0,0,0,0.0722505781330472,0,0,0.0962136523325674,0,0,0,0,0,0,0,0,0,0,0.11805684592674,0,0,0.0133988348477239,0,0,0,0.0286585478913211,-0.0419849266972654,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0.165397793792571,0,0,0,0.0125434377908858,0,0,0,0,0,0,0,0,0,0,0.17343244454051,0,0.0115760455539175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00263257482954452,0.171644682852296,0,0,0,0,0,0,0,0,0,-0.0071603435752241,0,0,0,0,0,0,0
X000898.SZ,0,0,0,0,0,0.02456998625133,0,0,0,0,0,0,0,0,0,0,0,0.055863808563607,0,0,0.0889038179690119,0.047535432403409,0.00998784984695102,0,0,0,0,0,0.0853722238496054,0,0,0,0,0,0,0,0,0,0,0,0,0.11122225591216,0,0,0,0,0,0,0,0,0,0.00483015618188417,0,0,0,0,0,0,0
X601992.SH,0,0,0.36117960845514,0,0,0,0,0,-0.0571118153679484,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,-0.0130069097645033,0,0,0,0,0.133570353975648,0,0,0,0,0.231784688148941,0,0,0.0214964330520447,0,0,0.0643293973108347,0,0,0,0,0.0278386578811296,0,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0298689752096518,0.26295698149612,0,0,0,0.0900672322658845,0.0229535338007046,0,0,0,0,0,0,0,0,0,0,0,0.186532145502314,0,0.0461274332422216,0,0,0.0705322018444268,0.0241582518256365,0.0556368041432098,0,0,0,0,0,0,0,0,0.0254512205654099,0,0,0,0,0.0382642366917371,0,0
X600516.SH,0,0,0,0,0,0,0.147801280425797,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134682755137447,0.0332883328257517,0,0.0289614750132081,0,0.353193669564642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0437203453238389,0.00580584468842908,0.0578834436854723,0,0,0,0.0214752021015136,0,0,0,0,0,0.0476139660933901,0,0,0,0,0,0
X002466.SZ,0,-0.0659328098895354,0.0246406904330091,0,0,0,0,0,0,0,0,0,0.0399640402527622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957699489526887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.101180957714992,0.0298808222973915,0,-0.0321966514145955,0,0,0.0593391593406946,0,0
