,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600660.SH,X002271.SZ,X000708.SZ,X002460.SZ,X600011.SH,X600886.SH,X000786.SZ,X601898.SH,X600010.SH,X600362.SH,X600801.SH,X600176.SH,X601600.SH,X600426.SH,X600489.SH,X600188.SH,X600352.SH,X601991.SH,X600795.SH,X600111.SH,X600688.SH,X600299.SH,X600803.SH,X600027.SH,X002080.SZ,X601992.SH,X000932.SZ,X300037.SZ,X000301.SZ,X002466.SZ,X600486.SH,X002075.SZ,X600219.SH,X600315.SH,X600529.SH,X000027.SZ,X000883.SZ,X002353.SZ,X601158.SH,X000898.SZ,X000723.SZ,X600612.SH,X600516.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.0165212360354432,0,0,0,0,0,0,-0.0156540609663227,0,0,0,0,0.0345865174036911,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0.0296641941386605,0,0,0.106407295795155,0,-0.00178981888702751,0,0,0,0,0,0,0,0.0214963434340099,0,0,-0.00195989863092288,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.0336890207204871,0,0,0,0,0,0,0,0,0.0482502381610239,0,0.0439714499790162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000282159671985059,0,0,0.0423940972943507,-0.00943615488092342,-0.0167588582096677,0,0,0,0,0,0,0,0,0,-0.00241326843980058,-0.00400620542673898,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,-0.0185046621789721,0,0.0150252164262187,0.0330985456963328,0,0,0.00980829777804298,0,0,0,0,0,0,0.0235313112398032,0,0.115905936246464,0,0,0,0.0171442288815645,0,0,0.0417706930345841,0,-0.00683606910742689,0,0,0,0,0.0545383492337114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00709762691943279,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0167069486465645,0,0,0,0,0,0.0134308959686057,-0.023270976775217,0,0,0,0,0,0,0.0687283980714445,0,0,0.0234035772939868,0,0,0.0592116012455771,0.058091121987205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0936495129227898,0,0,0,0,0,0,0,0.0378114531779115,0,0,0.0217076108529165,-0.0177960573707512,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0.0854370931313416,0,0,0,0,0,0,0,0,-0.245380024196589,0,0,-0.0247808842024098,0,0.0891857885063591,0.220374408054071,0,0,0,0,0,0,0,-0.120201619710809,0,0,0,0,0.249877542091231,0,0.130928241683551,0.160550044853584,0,0,0,-0.0531813412896716,0,0,0,0,0,0,0.00953834036514863,0,0,0.024612988539584,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0.00676123164698979,0.0416288878717364,0,0,0,0,0.0184850175179005,0,0,0,0,0,0.0371150975944457,0,0,0,0,0,-0.0271657343166345,0,0,-0.00274232607401451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.382591633010529,0,0,0,0,0.0232978236140212,0,0,0,0,-0.0939123208678499,0,0
X600547.SH,0,0,0,0,0,0,0,-0.0329012512507681,0,0,0,0,0,0,0,0,0,0,0,0,0,0.377653463611876,0,0,0,0,0.0119250953864361,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0852553468024411,0,0,0,0,0,0,0,0.149003138679159,0,0,0,-0.0282392624488548,0,0,0,0,0,0
X600660.SH,0,0,0,0,0.00534176723018764,0,0,0,0,0,0,0,0,0,0,-0.0393494632283836,0,0,0,0,0,0.111278698374237,0,0.0706203265999465,0,0,0,0,0,0,-0.0558617988431775,0,0,0,0.26627796321797,0,-0.0448260911064156,0,0.0351958373893915,0,0,0,0,0,0.0499119276778514,0,0,0,0,0,0,0,0.0546025154465428,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,0,0,0.0518397027678011,0,0,-0.0582627530813212,0,0,-0.0555743833899661,0,0,-0.0429894764238605,0,0.361344785315347,0,0,0,0,0,0,0,0,0,0,0.164477277286317,0,0,0,-0.0727080124287153,0.299435278238074,0,0,0.0104802890763299,0,0,0.0608404814424749,0,0,0,0,0,0,0,0,0,0,0,0.0728673452295677,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0.0199614286919857,0,0,0,0.0105477797716396,0,0.107030923810224,0,0,0,0,0,0,0,0.0528981270850351,0,0,0,0,0.0241280732762394,0,0,0,0,0,0,0,0,0,0.051830703872896,0,0,0,0.146304034438926,0,0,0,0,0,0,0,0,0,0,-0.028420680510427,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0.0581781511942053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312024347151537,0,0,6.93889390390723e-18,0,0,0.134894392113331,0,0.054977201675163,0,0,0.0815102462333618,0,0.253933364228849,0,0,0,0,0,0,0,0.119579970562569,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,-0.1303742615744,0,0,0,0,0,0,0,0.109640436024211,0,0,0,0,-0.00748870626624423,0,0,0,0,0,0,0.146806820834979,0,0.611207476805945,0.0400581831106951,0,0,-0.0631337613304383,0,0,0,0,0,0,0,0,0,0,0,0,0.133653666522581,0,0,0,-0.0640011893878915,0.0763082090810489,0,0,0,0,0,0
X600886.SH,0,0,0,0,-0.0656810611331382,0,0,0,0,0,0.0154515898307199,0,0,0,0,0,0,0,0.219247941784071,0,0,0,0.0416663044706111,0,0.102014873514812,0,0,0,0,0.0803836374693534,0,-0.0429302081401504,0,0,-0.0998862871487692,0,0,0,-0.0370229158948256,0,0,-0.0232931593043611,0,0,0,0,0,0,0,0,0,0.0158206361919581,0,0,0,0,0,0,0
X000786.SZ,0,0,0,0,0,0,0,0,0,0,0,0.108658214675431,0,0,0,-0.104537832289954,0,0,0.0953274598380613,0,0.242997451469588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0876987655415698,0,0,0,0,0.304540486099888,0,0,0.0180113767384542,0,0,0,0,0,0,0.00380193363958211,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.0750793626973202,0,0,0,0,0,0.00781425319088272,0,0.0311375132236419,0,0,0,0,0,0.00916256325999465,0,0.00317408164721564,0,0.249427059149424,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0590625189149619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138546501200598,-0.00115290886574912,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
