,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600688.SH,X600795.SH,X601600.SH,X600027.SH,X601991.SH,X600547.SH,X600111.SH,X600157.SH,X600188.SH,X600362.SH,X002466.SZ,X600886.SH,X600623.SH,X601992.SH,X600309.SH,X600299.SH,X000792.SZ,X600489.SH,X600660.SH,X300072.SZ,X600549.SH,X601158.SH,X600583.SH,X000883.SZ,X002075.SZ,X000723.SZ,X000709.SZ,X600352.SH,X000539.SZ,X002407.SZ,X000898.SZ,X002460.SZ,X000027.SZ,X002470.SZ,X000761.SZ,X000630.SZ,X000983.SZ,X000012.SZ,X000060.SZ,X600176.SH,X600021.SH,X600219.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601600.SH,0,0,0,0,0,0.09839044926238,0,0,0,0,0,0,0,0,0.139449732852155,0,0,0,0,0,0.0351155941169506,0,0,0,0.0757601394865802,0,0,0.0233977546119879,0.0607143630179491,0,0,0.0120246610194415,0.0576571955157692,0.104508399509861,0,0,0,0,0,0,0,0,0,0,0,0,0.180652001793192,0,0,0,0,0.0104046973889041,0,0,0,0,-0.0544838857898147,0,0
X600027.SH,0,0,0,0,0,0,0,0,0.0369057448443039,0,0,0,0,0,0.0143506163861403,0,0.0335629713526428,0,0.0382611747954851,0.104193820382934,0,0,0,0.0273207358101813,0,0,0,0,0.0125535295155514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0365178913603853,0,0,0,0,0,0.025373634131603,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0.088417168480345,0,0,0,0,-0.0218395353848926,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.0531484786982373,0,0,0,0,0.0325106042006751,0,0,0,0,0.0264375920324825,0,0,0.0756675445112491,0,0,0,0.153107425561315,0,0,0.0877173011502786,0,0,0,-0.0382930732585008,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.0377859123955768,0,0,0,0,0.582048047096376,0,0,0.0821853512933937,0,0,0,0.00653723493208898,0,0,0,0,0.0159451186803356,0,0.0200976444307425,0,0,0,0,0,0,0,0,0,0.0749172967674226,0,0,0.031769528211717,0,0,0,0,0,0
X600111.SH,0,0,0,0,0.508265537251554,0,0,0,0,0,0,0,0,0.0337139270806143,0,0,0.054769879885079,0,0,0,0.0853681406183038,0,0,0,0,0,0,0,0.193870993967359,0,0,0,0,0,0,0.0272299133719491,0,-0.0305511306812164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0,0.157625970314719,0.138221689819724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0810862123611606,0,0,0.0912077321361963,0,0,0,0,0.0163626085387563,0.0852425310458735,0,0,0,0,0,0,0,0,0.0482112927441025,0,0,0,0,0.0586725999270632,0,0,0,0.00800002638748074,0.00807063791099815,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114625296607866,0.0585456006091935,0,0,0.00530997278282432,0,0,0,0,0,0.257301824372942,0,0.0964504461774328,0,0,0.156257695097184,0,0,0,0,0,0,0,0,-0.12630113382184,0,0,0,0,-0.0325473710087319,0,0.364533227677262,0,0,0,0,0.0844299598762946,0,0,0,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0,0.118746038931821,0,0,0,0,0,0.114137418483661,0,0.211375329434896,0,0,0,0,-0.0355924774474991,0,0,0,0.0229805788306576,0,0,0.133770283300837,0,0,0,0.0690257941535594,0,0,0,0,-0.0239065293057692,0,0,0,0,0,0.0995095749314016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0.0858440994054009,0,0,0,0,-0.0462414730841347,0,0,0,0,0,0,0,0,0,0,0.193631865359255,0,0,0,0,0,0.0696081211603719,0,0,0,0,0,0,0.291281426886653,0,0.517971590884684,0,0,-0.0784003733834777,0,-0.124759600247478,0,0.162355221905476,0,0,0,0,0,0,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,-0.0341372259414428,0,0,0,0,0,0,0,0,0.139141653843389,0.112820582685068,0,0,-0.0508610077314981,0,0,0,0,0,0,0,0,0,0,0,0,0.103514952232675,0,0,0,0,0,0,0,0,0,0,0,0
