,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X600019.SH,X600585.SH,X600111.SH,X000792.SZ,X002466.SZ,X600010.SH,X000301.SZ,X601600.SH,X000708.SZ,X600188.SH,X002271.SZ,X600660.SH,X601898.SH,X600011.SH,X600362.SH,X600176.SH,X600547.SH,X600426.SH,X600886.SH,X000825.SZ,X600219.SH,X000786.SZ,X000408.SZ,X002080.SZ,X600803.SH,X000898.SZ,X000932.SZ,X300037.SZ,X000983.SZ,X000723.SZ,X000959.SZ,X600795.SH,X601991.SH,X000807.SZ,X600295.SH,X600801.SH,X600688.SH,X600808.SH,X600399.SH,X601699.SH,X600096.SH,X002326.SZ,X600352.SH,X000831.SZ,X002192.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0327631615094301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.069587699289359,0,0,0,0,0.0544195601346474,0,0,0,0,0.0121353756216813,0,0,0,0,0.0716214414589721,0.0334865206746187,0.00128202980991825,0,0,0,0,-0.0011995875783303,-0.0340910797335623,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,-0.0591880959875914,0,0.0569942954558306,0,0,0,0,0,0,0,0,0.00017707826098597,0,0,0,0,0,0,0,0,0,0,0,0,0.00459342671590862,0,0,0,0,0.00265163322485748,0.0402974964792822,0.0199417017964495,0.0992403617381701,0,-0.0147563724112204,0,0.0406779401675322,0,0,0,0,0,-0.0225161241839324,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,-0.00931303163126812,0,0,0.036058989946483,0,0.0754283853036384,0,0,0.173082441204702,0,0,0,0,0,0,0,0.0497130950934455,0,0,0,0,0,0,0,0.0627263718487689,0,0,0,0,0,0,0,0,0,0,0,0.00303877012868544,0,0,0,-0.0118109581269587,0,-0.0150246142520483,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0.000732212740260852,0,0,0.103672498358211,0,0,0,0,0,0,0,0.0774737002039587,0,0,0,0,0,0,0.0287563509620613,0,0,0,0.0179538253712298,0,0,0,0,0,0,0,0,0.0164529159852925,0,0,0,0,0,0,0.0497257621070781,0,0,0,0,0,0,0.00963023971190189,0,-0.0241434451763073,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0.25532514338468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120986376016744,0.10739316897754,0,0.0316560822955206,0,0,0,0,0.0826850221171759,0,0,0,0,0,0,0.0244285237327758,-0.0341118126766895,0,0,0,0,0,0.184581473574815,0,0.117067389185286,0.124472169440257,0,0.0214966498326211,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0.182937037436819,0,0,0,0.0504075804847576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219031460883896,0,0,0,0,0,0,0,0,0,0,0,0.168713727561527,0,0,0,0,0,0.0421650185878481,0,0,0,-0.0488789900066825,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0.0234595282161601,0,0.015205878583802,0,0,-0.0402151700132777,-0.0276621288119081,0,0,0,0,0,0,0,0,0,0,0.0850125417029687,0.0217998791421768,0,-0.0274581522648367,0,0,0,0,0,0,0,0,0,0,0,0.624301929257431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0.353774884054051,0,0,0,0,0.0185939002427139,0.151880441195496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175864078125499,0,0,0,0,0,0,0,0,0,0,0.137534174120786,0,0,0.00200541631854529,0,0.122674464752001,0.106260522315033,0,0,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0539996895143375,0.0880070697396297,0,0,0,0,0,0,0,0,0,0,-0.0894207664095004,0.0542790200821566,0,0,0,0,0,0,0,0,0,-0.0066003397580893,0,0.0634230703157185,0.0750282238618659,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0.201601345544341,0,0,0.239219064370671,0,0,0,0,0.142548376538989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278404228410734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0960140858873032,0,0,0.0937727272638962,0,0.00467981463596198,0,0,0,0,0,0,0
