,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600019.SH,X600585.SH,X600010.SH,X601898.SH,X600795.SH,X601600.SH,X601991.SH,X600362.SH,X600886.SH,X600188.SH,X600111.SH,X600027.SH,X600688.SH,X600309.SH,X601992.SH,X601158.SH,X000898.SZ,X600583.SH,X000709.SZ,X000792.SZ,X600352.SH,X600157.SH,X600547.SH,X600489.SH,X000629.SZ,X600021.SH,X000539.SZ,X002353.SZ,X600008.SH,X600808.SH,X000831.SZ,X000027.SZ,X600660.SH,X600549.SH,X000630.SZ,X000825.SZ,X600219.SH,X600578.SH,X002470.SZ,X600307.SH,X600315.SH,X000060.SZ,X600098.SH,X600863.SH,X600490.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.401533091642963,0,0,0,0,0,0,0,0.0603034321267436,0,0,0.215954531267439,0.0651219554660821,0,0,0,0.0261015560871024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0246286519970874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0.577589252182829,0,0,0.0305341884840114,0,0,0,0,0,0,0,0,0.0519997093463907,0,0,0.0223058634681858,0,0,0,0,0,0.010077849735434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0738778685512978,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0.0559725160311176,0,0,0,0.0308440559957545,0,0,0.471041574897534,0,0,0,0,0,0.252271922484033,0,0,0,0.0395816139989077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.102171451244788,0,0,0,0.0535074924534773,0,0.0205211579317457,0,0,0.198794018460483,0.0103920060088602,0,0,0,0.159812532351763,0.0123234462078754,6.93889390390723e-18,0,0,0,0,0,0,0,0.010766265990169,0,0,0.0431114273550428,0,0.145911973828914,0,0,0,0,0,0.116713430910648,0,0,0,0,0.0260921337297669,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.060198035514997,0,0,0,0,0,0,0,0.140438085795256,0.0193115426922986,0,0,0,-1.73472347597681e-18,0,0.428044980100551,0,0,0,0,0,0,0.0210885435405285,0,0,0,0.0902997839791426,0,0,0,0,0,0,0,0,0,0,0,0,0.00309198987366154,0,0,0,0,-0.0134200201186075,0,0,0,0,0,0
X600585.SH,0.0935695988139715,0,0.0553569159119123,0,0,0,0.0425594939919725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108219267205979,0.0336159850935922,0,0,0,0,0,0,0,0,0,0,0,0.0690863679480787,0,0,0,0,0,0,0,0,0,0,0,0.180450724211567,0,0,0,0,0.00977148702326486,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0404905891927868,0,0,0,0,0,0.0405340472489145,0.35014699835487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170089732154168,0,0,0,0.0410841580329021,0,0,0.0613738431452942,0,0,0,0.0044677250908664,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0.121227591173297,0,0,0,0,0,0,0,0,0,0.0444061202433886,0,0,0,0,0,0,0,0.103910168535224,0,0,0,0,0.0004676232059562,0,0.0637763783838244,0,0,0,0.114677541921938,0,0.112474054943613,0,0,0,0,0,0,0,0,0,0.0165251892356839,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0.166392494853335,0.22680869094958,0,0.117624731816001,0,0,0.227303405376754,0,0,0,0.0592264929544611,0,0,0,0,0,0,0,0,0,0,0.214519514819677,0,0,0.0179691237179048,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00182054135491103,0,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.139768483362426,0,0,0.0605759703771423,0,0.168043513204554,0,0,0,0,0,0,0,0.0212831774112012,0,0,0,0,0,0,0,0.264689799412075,0,0.056973519410003,0,0,0,0,0,0,0,0,0,0.0411309220790965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
