,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X600019.SH,X002271.SZ,X600660.SH,X000708.SZ,X600547.SH,X601898.SH,X600362.SH,X601600.SH,X002466.SZ,X000301.SZ,X600111.SH,X000786.SZ,X600010.SH,X600886.SH,X600011.SH,X600188.SH,X600176.SH,X600426.SH,X000027.SZ,X601991.SH,X600803.SH,X600219.SH,X600795.SH,X600489.SH,X600352.SH,X600801.SH,X000807.SZ,X000932.SZ,X000408.SZ,X000898.SZ,X600315.SH,X600688.SH,X002353.SZ,X002080.SZ,X000825.SZ,X300037.SZ,X600157.SH,X000959.SZ,X000966.SZ,X000883.SZ,X600486.SH,X600027.SH,X601168.SH,X600516.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.161558906039595,0,0,0,0,0,0,0,0,0,0,0.0420379750699713,0,0.00645590990303553,0,0,0,0.0267879888826682,0,0,0,0,0.0650536952675207,0.0313964302258331,0,0,0,0,0,0,0,0,0,0,0,0,0.0283428410731655,0,0,0.0892765462472985,0,0,-1.73472347597681e-18,-0.00830789942092483,0,0,0,0,0,0,0,0,0,0,0,0.000695789208117637,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14067089994241,0,0,0,0,0,0,0,0,0,0.174014613733771,0,0,0,0.0375237387542396,0,0,0,0,-8.67361737988404e-19,0,0,0.125542757781138,0.0220323771622047,0,0,0,0,0,0,0,0,0.0117429584009589,0,0,0,0,0,0.066772405071761,0,0,0,0,-0.0153329537866353,0,0
X601088.SH,0,0,0,0,0,0.0402641778118905,0,0,0,0,0,0,0,0,0.0529209964746925,0,0,0,0,0,0,0.081670483361139,0,0,0.0517964201682223,0,0,0.0344081679878009,0,0,0,0,0.0764703676146903,0,0,0,0,0,0,0,0,0,0,0.0622840810929487,0,0,0,0,0,0.038473297714072,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0.197352259921218,0,0,0,0,0,0,0.0433001998086918,0,0,0,0.00819441047981912,0.0777054101284239,0,0,0,0,0,0,-0.0233122300750203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110102550035816,0.0568058710184131,0,0,0,0,0.0724643039909559,0,0,0,0,0,-0.0820935111199865,0,0,0,-0.0116150420126921,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00539658335266834,0,0,0,0,0.0059260982048305,0,0.0255007955169905,0,0,0,0.00971785636143515,0,0,0,0.091956450468066,0,0.0628420331501839,0,0,0,0,0,0,0,0,0,0,0,0,0.0461150864293655,0,0,0.0218759100701391,0,0,0,0,0,0,-0.0177467926253648,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0.302888580270498,0,0,0,0.0806906057254902,0,0.646348196565962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0223490641843909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0129820475880282,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0445846948382166,0,0,0,0,0,0,0.0211821134361121,0,0,0,0,0,0,0,0,0,0,0,0.371113416730945,0,0.0369173247472913,0,0,0,0,0.225764579884183,0,0,0,0.0193210452755294,0,0,0,0,0,0,0,-0.0145506704601435,0,0,0,-0.0150360228569031,0,0
X002271.SZ,0,0,0,0,0,0,-2.77555756156289e-17,0,0,0,0,0,0,0,0.0208031410747327,0,0,0,0,0,0,0,0.0379948139982997,0.139997715820134,0,0,0,0,0,0,0,0,0,-0.188402194840918,0.0983148402482927,-0.0135897004180108,0,0,0,0,0,0,0,0,-0.0281525913326068,0,0,0,0,0.110537005385085,0,0,0,0,0,0,-0.00612212178500332,0,0
X600660.SH,0,0,0,0,0,0.209867661706079,0,0,0,0,0,-0.0948154870804663,0.0566142682813084,0,0,0,0,0.0357218090191695,0,0,0,0,0.0672773329023421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0665196896048939,0.229069678416885,0,0,0,0,0,-0.0266223172961078,0,0,0,-0.0186452453726823,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0145947611872861,0,0,0,0.0633368911101433,0,0.0217118822252684,0,0,0,0.0523858759831061,0,0,0,0,0,0,0,0,0,0,0.103995215213414,0,0.12598709456703,0.185577025179399,0,0,0,0,0,0,0,0,0,0.133640716142011,0,0,0.0609636439812027,0,0,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0258027110967797,0,0,0,0,0,0,0,0.032951905291595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031633090001515,0,0,0.0892715122837851,0.0769434454886401,0,-0.0084065092567284,-8.67361737988404e-19,0,0,0,0.00523937854456279,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28185824621414,0.0814997182688108,0,-0.0704251039578261,0,0,0.0965364266568467,0,0,0,0,0.096245018878841,0,0,0,0,0,0,0,0.0197567492609912,0,0,0,-1.73472347597681e-18,0,0,0,0,-0.00352616749110456,0,-0.00329230053837317,0,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0.0705157808421033,0,0,0,0,0,0.0252555125569659,0,0,0,0,0,0,0,0,0,0,-0.0705962980343763,0,0,0,0,0,0,0,0.0784382244534554,0,0,0,0,0,0,0.0485704274908041,0.0330585952217282,0,0,0,0,0,0,0,0.49323748849613,0,0,0,-0.0355109087774307,0,0,0,-0.0100302619962277,0,0
