,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600585.SH,X600019.SH,X601898.SH,X601600.SH,X600010.SH,X601991.SH,X600795.SH,X600886.SH,X600362.SH,X600188.SH,X600111.SH,X600688.SH,X600027.SH,X600309.SH,X601992.SH,X600583.SH,X000792.SZ,X601158.SH,X600157.SH,X000898.SZ,X600352.SH,X000709.SZ,X600547.SH,X002353.SZ,X600489.SH,X000831.SZ,X000630.SZ,X000539.SZ,X600660.SH,X600008.SH,X002470.SZ,X600219.SH,X000825.SZ,X600808.SH,X000027.SZ,X600315.SH,X000629.SZ,X600098.SH,X600549.SH,X600021.SH,X600578.SH,X600307.SH,X601699.SH,X000983.SZ,X000960.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.369511963388976,0,0,0,0,0,0.116706887274672,0,0,0,0.126153052460184,0,0.149461859716937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00355772338401068,0,0,0,0,0,0
X600028.SH,0.481548888709572,0,0,0,0,0,0.00688822459380629,4.33680868994202e-19,0,0,0,0,0,0.0206839111466879,0,0.360460826912779,0,0,0,0.0656373371879485,0,0,0,0,0,0,0,-0.000763833085808005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.043204917963146,-0.00710361189543659,0,0,0,0,0,0
X601088.SH,0.0784220248264808,0,0,0,0,0.0935770756379703,0,0,0,0,0,0,0,0.067984915544582,0,0,0,1.1284627429831e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13937664402319,0.451896764405847,0,0,0,0,0,0,0,0,0,0
X600011.SH,0.082631471772576,0.0721303467927046,0,0,0,0.00177740607213776,0,0.0346148905745366,0.0213789514183692,0.0800855642353441,0.11195002481769,0,0,0,0,0,0.0851492887483701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0402048945311779,0,0,0,0,0,0,0.349236156403749,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0.00474496135958916,0,0,0,0,0,0,0,0.0135559358111876,0,0,0,0,0,0,0.0638470050547035,0,0,0,0.130742097566758,0,0,0,0,0.0479551821302409,0,0,0,0,0.0402945084670013,0,0,0.106858307260604,0,0,0,0,0,0,0,0,0.205233588586665,0,0,0,0,0.0611187029516449,0.0531954095088724,0,0,0,0.00488660933160358,0,0,0,0,0,0
X600019.SH,0,0.140780922517955,0,0,0,0,0,0,0,0,0,0.0412315615104338,0,0,0,0.0314358654090343,0.0288567938535122,0,0,0,0,0,0,0.311512538170908,0,0.189344369272268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0.0349922596717739,0,0.155969445411161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120318568357104,0.0322576911300897,0,0,0,0,0,0,0,0.125487309929272,0,0.0503004136864097,0.389048765132508,0,0,0,0.00443439810643406,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0.336712598853627,0,0,0.0992152288126747,0,0.0871299751181884,0,0,0,0,0,0,0,0,0,0,0,0.00407790527922233,0,0,0,0,0,0,0.0446170715401442,0,0,0.115920198851388,0,0,0,0,0,0,0.174430397440649,0,0,0,0,0,0,0,0,0,0,-0.0106131454808137,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0408381362783522,0,0,0,0,0,0,0,0,0.482637656745297,0,0,0,0,0,0.11131670613282,0,0,0,0,0,0,0.0598791779384521,-3.46944695195361e-18,0,0.117641914519092,0,0.0342305454918914,0,0,0,0,0,0,0,0,0.0275997704254166,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0.290000603613127,0,0,0.293410689952674,0,0,0,0,0,0.014262677179969,0,0,0.005634903751736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0753342926786152,0,0,0,0,0,0,0,0.192173547392409,0,0,0,0,0,0,0,-0.0200196566680545,0,0,0,0,0,0
X600795.SH,0,0,0,0.058825061741138,0,0,0,0.239394464605303,0,0.229063281108208,0,0.0925139292182816,0,0,0,0,0.172233247331775,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0897296636218125,0,0,0,0,0,0,0,0,0,0.0155225453994601,0,0.00649640936263393,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600886.SH,0.13526827029148,0,0,0,0,0,0,0.0344138719094288,0,0.120366378893033,0,0,0,0,0,0,0.00454152527394653,0,0,0,0,0,0,0.195954159027332,0,0,0,0,0,0,0,0.264097649518232,0,0,0,0.0233875283923755,0.0418392559089563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00369498798264528,0,0,0,0,0,0
X600362.SH,0,0.0938057114204761,0,0,0,0,0,0.0218656105525582,0.0288515650136052,0,0,0,0,0,0,0.0144060838892908,0,0,0.0844530522334329,0,0,0,0,0,0,0,0,0,0.0426187830748553,0,0.0979970944166336,0,0,0,0,0,0,0.016132059308856,0,0,0,0.0100983736051284,0,0,0.0725919704771664,0,0,0.188234377207522,0,0,0,0,0,0,0,0,0,0
