,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X601600.SH,X600795.SH,X601991.SH,X600688.SH,X600027.SH,X600886.SH,X600362.SH,X600157.SH,X600111.SH,X601992.SH,X600188.SH,X000709.SZ,X600299.SH,X000898.SZ,X000792.SZ,X600660.SH,X601158.SH,X600309.SH,X000539.SZ,X000883.SZ,X002466.SZ,X600583.SH,X600352.SH,X000027.SZ,X600623.SH,X000630.SZ,X600160.SH,X600578.SH,X002470.SZ,X000629.SZ,X600489.SH,X600547.SH,X600022.SH,X600098.SH,X000959.SZ,X600176.SH,X600021.SH,X600808.SH,X000825.SZ,X000060.SZ,X300072.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.106102917910791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066582289324152,0.0981673241254772,0.0584759164495841,0,0,0.0292086090268081,0,0,0,0,0,0,0,0,0.0361936849780115,0,0.0123419770448237,0.0287229359238853,0,0,0,0,0,0,0,0,0,0,0.017803054167741,0,0.0726603105930735,0,0,0,0,0,0,0,0,0,0
X600028.SH,0.0625481356176998,0,0,0,0,0,0.203464319062886,0,0,0,0,0.10526203018043,0,0,0,0,0,0,0.14676210279279,0.00859258863000119,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00543807571368062,0,0,0.0145472523574555,0.00296362106452986,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.340418856228648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0225839391899893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0532965512451759,0,0,0,0,0,0,0,0,0.118112974453784,0.0524637376375491,0,0,0,-0.00553147480549475,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0.0285591473584653,0,0,0,0,0,0,0,0,0,0,0.191629450216889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0150465187984099,0,0,0.00855748385393843,0,0,0,0.131453516654954,0,0,0.0435781079875558,0,0.0272348092579295,0,0,0,0,0.00406009001023392,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0.0795074028191305,0,0,0,0,0,0,0.00145274177798091,0.144880614622632,0.232293292281024,0,0.219174910303356,0,0,0,0,0,0,0,0,0,0.0333033556038627,0,0,0,0,0.0109991477032506,0,0,0,0.0695298385864238,0,0.0394587797977755,0,0,3.46944695195361e-18,0,0,0.0122267904374792,0,0.0715169737870552,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0320840676785414,0,0.175905714400159,0.0185011564008085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00873986280341003,0,0,0,0,0,0,0,0.164427307547692,0,0,0,0,0.0499044534197552,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0826324880542796,0,0,0,0.0149304219099499,0,0,0,0,0,0.0281317202275335,0.00470412581034124,0,0,0,0.0376352423116887,0.0193261434730957,0,0,0.075619670339736,0,0,0,0,0.0610226073978627,0.0325644265745246,0,0.0870593698108915,0.0821343435941456,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0.0363026202968767,0,0,0,0,0,0,0,0,0,0,0,0.0514689949879797,0.0300843816294805,0,0,0.182344183942513,0,0,0.0140877676240007,0.0278152765751137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120277932794313,0,0,0,0.0587676155045145,0,0,0,0,0.243281674896417,0.0992616786613343,0,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093729811359493,0.0725504582979433,0,0,0.159092004751713,0.00799457052198743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137394603702263,0,0,0.0985753130418609,0,0,0,0,0,0,0,0,0.0915662625798964,0.146273740188209,0,0,0,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0498460214177726,0.138192524870807,0,0,0,0,0,0,0,0,0,0,0,0.0395220460334072,0,0,0.0723701069213168,0,0,0.0517783146418665,0,0,0,0.0156024406343454,0,0,0.0932245764943462,0,0,0,0,0,0,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0.141058642744641,0,0,0,0,0,0,0,0,0,0,0.205529140888859,0.095495475022225,0.0121255430559276,0,0.0228431159930647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0362654264305912,0,0,0,0,0.00526806255905488,0,0.0591319224075807,0,0,0,0,0,0,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0.140505039838535,0,0,0,0,0,0,0,0.208063759363381,0,0,0,0.00979018752828094,0,0,0,0,0.0741466425385038,0,0,0,-2.71050543121376e-20,0,0,0,0,0,0.0289367960942636,0,0,0,0,0,0,0.132035032814739,0,0,0,0,0,0.164885161526644,0,0,0,0,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0,0,0.128641462054431,0,0,0,0,0,0,0,0,0,0,0.0445319228925097,0.110245761986794,0,0,0,0,0,0,0,0,0,0,0,0.0290179608932802,0,0,0,0,0,0.000238758905103713,0,0,0,0.0858918484782218,0,0,0.175354547331316,0,0,0,0,0,0,0,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0578063494231179,0,0,0,0,0,0,0.0969801588974259,0,0,0,0,0,0,0,0,0.0323274468329348,0,0,0,0,0,0.0978673684404728,0,0,0,0.026987389631918,0,0,0.153986173116312,0,0,0,0,0,0,-0.0179764562711657,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0,0.229312532221926,0,0,0,0,0,0,0,0,0,0.28684639546009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104453957557033,0,0,0,0.045936053033688,0,0,0,0,0,0,0,0,0,0.140843422714373,0,0,-0.00984405017175261,0,0,0,0,0,0,0
