,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600188.SH,X600019.SH,X600011.SH,X600886.SH,X601600.SH,X600547.SH,X600585.SH,X600660.SH,X600795.SH,X000792.SZ,X600362.SH,X600489.SH,X600027.SH,X000708.SZ,X600160.SH,X600803.SH,X600010.SH,X600111.SH,X601991.SH,X000983.SZ,X002460.SZ,X600426.SH,X601699.SH,X000301.SZ,X002128.SZ,X000933.SZ,X000807.SZ,X000786.SZ,X000630.SZ,X600219.SH,X000877.SZ,X002466.SZ,X601168.SH,X600985.SH,X600176.SH,X000408.SZ,X000883.SZ,X600096.SH,X002353.SZ,X000027.SZ,X600348.SH,X600282.SH,X600612.SH,X600483.SH,X002409.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,-2.16840434497101e-19,0.410417187312122,0,0,0.0845557414743088,0,0.0582959127583515,0,0.227011478005158,0,0,0,0,-0.130392979149832,0,0.0391567203467371,0,0,0,0,0,0,0,0,-0.0209262571245359,-0.142403164741211,0,0,0.0234848547930032,0,0,0,0,0,0,0,0,0.0029565643343511,-0.104170964014212,0,0,0,0,0,0,0,0,0,0,0,0.036118567172461,0,0,0,0,1.0842021724855e-19,0,0
X601088.SH,0.295212011046714,0,0,0,0,0.195387043555033,0,0,0,0,0,0,0,0,0,0.0140439681360347,0,0,0,0,0,0,0,0,0.0186661416474619,0,0,0.114366707050512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0322347279353487,0.0254296832402252,0,0,0,0,0,0,0,0.01388520772348,0,0,0,0,0,0,0
X600028.SH,0.452817014987266,0.0593295576611399,0,0,0,0,0.0618341753983983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.143746575182873,0,0.00905108445601623,0,0,0.0293653136772675,0.0479736250280105,-0.00051436641260045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0.00921272229663641,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,-0.00907375115324018,0,0,0,0,0,0,0,0,0,0.132826729607423,0,0,0,0,0,0,0,0,0,0,0.0210607942789004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041640577219328,0,0,0,0.0402369067039798,0,0,0,0,-0.0780436391309766,0,0,0,0,0,0,0
X601898.SH,0.0275608667271372,0,0,0,0,0.0410757835905104,0,0,0,0,0,0,0,0,0,0,0,0,0.0682573957945148,0.0388168660272607,0,0,0,0,0,0,0,0.177202835514454,0,0.0404149987686576,0,0,0,0,0,0,0,0,0.321396946277385,0,0,0,0,0,0,2.16840434497101e-19,0,0.0300623208079116,0,0,0,0,0,0,0,0,-0.00210635760703076,0,0
X600188.SH,0.110734906243076,0,0,0,0.179669492778191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285799335628052,0,0,0.212638839529012,0,0,0.0423536648309334,0,-0.114518977545577,0,0,0,0,0,0.0286495211763188,0,0,0,0,0,0,0.038722718346338,0,0,0,0,0,-0.0249131067697917,-0.00513104833581609,0,0,0,-0.00876490856699008,0,0
X600019.SH,0,0,0,0,0.117434113404346,0,0,0,0,0,0,0.0874182004549908,0,0,-0.0788877116073692,0,0,0,0.320553242220376,0.0272088442356785,0,-0.0391132299124801,0,0,0,0,0,0,0,0,0,0,0.0424513904510429,0,0,0,0,0,0,0,-0.0538151074519176,0,0.0830545392272066,-0.0551136425411368,0,0,0,0.169543014244408,0,0,0,0.0705396458055297,0.0549124542759991,0,0,0,0,0,0
X600011.SH,0.0429018307050123,0,0,0,0,0,0,0,0,0,0,0,0,0.230091248680318,0,0,0,0.122246602677158,0,0,0,0,0,0.319470116203878,0,0,0,-0.0931337337377828,0,0.053375361595518,0,0,-0.131306142719949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0477018236016615,0,0,0,0,0,0,0
X600886.SH,0.0398294043762755,0,0,0,0,0,0,0.145413663373294,0,0,0,0,0,0,0,0,0,0.119982472467983,0,-0.11890592160366,0,0,0,0.110417972370492,0,-0.0178568229570804,0,0,0,0,-0.0819218025224435,0,0,0,0,0,0,0,0,0,0,0.0313725691508053,0,0,0,0.00338872323427822,0,0,0,0,-0.109919279135487,-0.0223117236660281,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132046465167822,0,0,0.0203561172458466,0,0,0,0,0,0,0.0647691376771945,0.215694618757644,0.238941720285827,0,0.178067975490159,0.127434787135908,0,0,0.0892666688271988,0,0,0,0.0516798211337793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
