,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600011.SH,X600019.SH,X601898.SH,X601991.SH,X600111.SH,X601600.SH,X600795.SH,X600362.SH,X600886.SH,X600010.SH,X600188.SH,X600027.SH,X600688.SH,X600309.SH,X600583.SH,X000883.SZ,X601992.SH,X002353.SZ,X000898.SZ,X000792.SZ,X601158.SH,X000709.SZ,X000629.SZ,X600489.SH,X000539.SZ,X600315.SH,X000831.SZ,X000825.SZ,X600660.SH,X600352.SH,X601699.SH,X600808.SH,X000027.SZ,X600549.SH,X000630.SZ,X000983.SZ,X600307.SH,X600578.SH,X600490.SH,X000959.SZ,X000937.SZ,X002470.SZ,X600863.SH,X000960.SZ,X600516.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0513400946333884,0,0,0,0,0,0,0,0,0,0.0150259727403146,0,0,0,0,0,0,0,0,0,0,0.0164104163973975,0,0,0,0,0,0,0,0,0.00543666245989991,0,0,0,0,0,0.0213586969957944,0,0,0.0587947726172269,0.0671074981364708,0,0,0,0,0,0.00371423442766876,0,0,-0.000742222872291321,-0.00408561303780094,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.064236641275654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106467735227261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108086432971809,0,0,0,0,0,0.0792459174962186,0.0316837481116684,0,-0.014445412328638,0,0,0,0,-0.0517767875968054,0,0
X601088.SH,0,0,0,0,0,0.0929528144762879,0.0488746489188904,0,0,0,0,0,0,0,0.135355987550952,0,0,0,0,0,0,0,0,-0.0266473884828475,0,0,0,0,0,-0.00904769102506297,0,0,0,0,0,0,-0.011854564527939,0,0,0.0759212952375342,0,0.0662706556638898,0,0,0.172457757821067,0,0,0,0,0,0.00123071128949944,0,0,0,0,0,0,0
X600585.SH,0,0.128638790535004,0,0,0,0,0,0,0,0.170247632927289,0,0,0,0.0956921119476643,0,0.0141345676272385,-0.0369346009761289,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0889101910627112,0,0,0,0,0,0,0,0,0.0895105886467326,0,0,0,0,0,0,0,0,0.0552144330730115,0,-0.00602652606706496,0,0,0,0,-0.053723148139436,0,0
X600011.SH,0,0,0,0,0,0.17831886096089,0,0,0,0,0,0,0.0632509156639122,0.0307016658794796,0,0.247620751004916,0.0477473161567957,0,0,-0.0683657243797361,0,0,0,0,0,0,0,0,0,0,0.123449803613654,-0.0269706060369865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113249155825272,0.00461746820868824,0,0,0,0,-0.012215624650292,0,0
X600019.SH,0,0,0,0,0.0488300014191885,0,0.0611021176180818,0,0,0.0339406302206934,0,0,0,0.0427094834418674,0,0,0,0,0,0,0,0,0,0,0,0,0.206569361375366,0,0,0,0,0,0,0,0,0.125744012647079,0,0,0,0,0,0,0.0599121347372518,0.0900728227084992,0.00512004459718971,0,0,0,0,0,0,0.00702824065431763,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0.127253416975949,0,0.298166730885539,0,0,0,0.0302274375548895,0.137544362765219,0,0,0,0,0,0,0,0,0,0,0,0.0106250195701292,0,0,0,0.118964925872677,0,0.0612960837184722,0,0.0441470785586736,0,1.73472347597681e-18,0,0,0,-0.0471567193642772,0,0,0,0,0,0,0,0,0,0,-0.00741838414031536,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198049050718757,0,0,0.026953754145924,0.0360560762279604,0,0,0,0,0,0,0.102741979131938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15333108099149,0,0,0.0469815179065592,0,0,0,0,0,0.0209738924259425,-0.0345790087965635,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0775750134939787,0,0,0,0.0475425570237909,0,0.0212202477017875,0,0,0,0,0.0865625939298068,0,0,0,0,0,0.218560493790716,0,0.0405654334392507,0,0,0,0,0,0,0,0.12577925956258,0,0,-0.0102816551433985,0.00126865540869208,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0.373216333045765,0,0,0,0,0,0,0,0,0,0,0.0414201644568399,0,0,0,0.106224937384422,0,0,0,0,0.00653995945535334,0,0,0.0450836812363592,0.0304797467556212,0,0,0,0,0,0,0.0362876810627022,0.103641392062909,0,0,0,0.0672704843417868,0,0,-0.000766822528224937,0,0,0,0,0,0,0
