,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600585.SH,X002460.SZ,X600188.SH,X000792.SZ,X600111.SH,X600019.SH,X002466.SZ,X600011.SH,X000877.SZ,X002271.SZ,X601600.SH,X600010.SH,X601898.SH,X600660.SH,X000708.SZ,X000301.SZ,X600547.SH,X600886.SH,X600426.SH,X600362.SH,X600176.SH,X000723.SZ,X000983.SZ,X000408.SZ,X601699.SH,X600219.SH,X000786.SZ,X000807.SZ,X600795.SH,X600803.SH,X601991.SH,X002353.SZ,X600096.SH,X002080.SZ,X300073.SZ,X000630.SZ,X600688.SH,X600157.SH,X000825.SZ,X600801.SH,X600489.SH,X600141.SH,X600160.SH,X000932.SZ,X600027.SH,X000960.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.00315222701197416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1115159336304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0595733922768378,0,0,0,0,0,0,0,0,0.026440426857704,0,0,0.251237289330777,0.0856156448152637,0,0,0,0,0.115024351952964,0,0,-0.0342837001968811,0,0,0,1.6940658945086e-21,0,0
X601088.SH,0,0,0,0,0,0,0.00250065524670107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145931726935343,0,0.308064160685008,0,0,0,0,0,0,0,0,0,-0.0172821876722478,0,0,0,0,0,0,0,0,0,0,0.125237681971131,0,0,0.032612507524552,0,0,0,0.0699747483711062,0,0
X600028.SH,0.0488466861771036,0,0,0,0,0,0.0130991173763396,0,0,0,0,-0.0414057014711355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0336268897209849,0,0,0,0,0.0356984463415299,0,0,0,0,0,0,0,0.0344087428870798,0.158405661181654,0,0,0,0,0,0,0,0,0,0,-0.0147290725764314,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041178479449695,0,0,0,0,0.0754213438711301,0.160380948122856,0,0,0,0,0,0.0330907418265712,0,0,0,0,0,0,0,0.0364448451250222,0,0.101922948516465,0,0,0,0.0314726587059028,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,-0.00343080381175121,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00805264490091873,0,0,0,0,0,0.116196706954748,0,0,0,0,0,0,0,0,0,0,0,0,0.469631854514491,0,0,0,0,0,0,0,0,0,0,0,0,0.00279486151507422,0,0
X002460.SZ,0,0,0,0,0,0,0.12714721146924,0,0,0,0.477907282937732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222827644313691,0,0,0,0,0,0,0,0,0,0.178576468395802,0.0557641448899332,0,0,0,0,0,0,0.172829781096739,0,0,0,0,0,-0.0127128201940032,-0.00114588114563736,0,0,0,0,0,0
X600188.SH,0,0.191136003552685,0,0,0,0.123710639571153,0,-0.0185809192882555,0,0,0,0.101994323612831,0,0.051255837424684,0,0,0,0,0.0239127258942843,0,0,0,-6.93889390390723e-18,0,0,0,0.469023167717375,0,0,0,0,0.00950689041826353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.080008775212535,0.120356269010377,0,0,0,-0.0402821301334712,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0.289014870800669,0,0.387795113838046,0,0,-0.00361363206436547,0,0,0,0,0,0,0,0,0,0,0,0.300371768332297,0,0,0,0,0,0,0,0,0,0.15200192666387,0.0148768676996074,0,0.00698952714631737,0,0,0,-0.148341525920193,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,-0.0419310241177687,0,0
X600111.SH,0,0,0,0,0,0.324441010495074,0,0,0,0,0,0,0,0,0,0.16576271526984,0,0,0,0.146305838452032,0,0,0,0,0,0.0883795356419019,0,0,0,0,0,0.0496818734662124,0,0,0,0,0.0337496785685936,0,0,0,0,0,0,0,0,0.15467323228306,0,0,0,0,0,0.0251444944157047,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0.105646884791472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00928398889155685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220560097341496,0,0,0,0.246831805428932,0.0583160180730265,0,0,-0.00155235490123909,0,0,0,0,0,0,0
