,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600585.SH,X600188.SH,X002460.SZ,X000792.SZ,X002466.SZ,X600019.SH,X601898.SH,X600111.SH,X002271.SZ,X600011.SH,X000877.SZ,X600660.SH,X000708.SZ,X000301.SZ,X600010.SH,X601600.SH,X600547.SH,X600886.SH,X600176.SH,X600426.SH,X600362.SH,X600795.SH,X000983.SZ,X000723.SZ,X600096.SH,X600803.SH,X000786.SZ,X000408.SZ,X601699.SH,X601991.SH,X600486.SH,X600219.SH,X600141.SH,X600801.SH,X000807.SZ,X600295.SH,X002353.SZ,X600027.SH,X600985.SH,X601666.SH,X002080.SZ,X000932.SZ,X000830.SZ,X600157.SH,X600688.SH,X000683.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0.147716795487811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0804837368055115,0,0,0,0,0,0,0,0,0,0,0.068368727316534,0,0.111602195294874,0.124435933381037,0,0.0223182665542567,0,0,0,0,0,0,0.0611634123264507,0,0.00379463254026509,-0.0444050383768584,0,0,0,0,0,0
X601088.SH,0.139112913633048,0,0,0,0,0.0644691610816562,0,0,0,0,0.197016326500309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0389813746213196,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0907754384155308,0,0,0.0641700088995713,0.0726205887543697,0,0,0.0309250509383212,0,0,0,0,0.0450367127197899,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0.026757425304338,0,0,-0.0236167393704009,0,0,0,0,0,0.0611708028117115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0129461364729006,-1.73472347597681e-18,0,0,0.0274739328285001,0.0292368651967291,0.00283064704599723,0,0,0,0,0,0,0,0.0473227011996632,0.0563367210993005,0,-0.00347386029928084,-0.0324024416947461,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0.0303818727935815,0,0,0,0,0,0,0.0368097179113896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0435480086924767,0.159846007520013,0,0,0.0189132930306347,0,0.124049597083316,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0301482410900361,0,0,0,0,0,0,0,0,0,0.0967054625694615,0,0,0,0,0.0476237700948335,0,0.00539110369036506,0.0624219635993493,0,0,0,0,0,0,0.38245328374516,0,0,0,0.00455227086855541,0,0,0.000907604240459716,0.0104710929587852,0,0,0,0,0,0,0,0,0,0,0,0,0
X600188.SH,0,0.188665370380894,0,0,0,0,0,0.0285412114576716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00571124594552061,0,0,0.190008752991137,0,0,0,0.575316327504286,0,0,0,0,0,0,0,0,0.0683930416742843,-0.0677544218560437,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0.513834594203467,0,0,0.145387365078875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0223733252046148,0.13545676402963,0,0,0,0,0.0382791837009826,0,0,0,0,0,0,0,0,0,0,0.00576563558864331,0,0,0,0,0,0,0,-0.0308466365165448,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.0282983535509285,0.218091968935372,0,0.182650935643299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0663840303328213,0,0.129420320704345,0,0,0,0,0.248405759569608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0336465622308382,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0.870472416741978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0784359703842294,0,0,0,0,0,0,0,0,0,0,0.00696644782986504,0,0,0,0,0,0,0,0.0353557187981005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00295763876402727,0,0,0,0,0,4.33680868994202e-19,0,0,0.00831826742476105,0.110947225914033,0,0,0.503021176220286,0,0,0,0,0,0,0,0,0,0,0,0,0
