,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601898.SH,X601600.SH,X600688.SH,X300072.SZ,X600547.SH,X600795.SH,X600362.SH,X601991.SH,X600309.SH,X600188.SH,X600886.SH,X600660.SH,X601992.SH,X600027.SH,X600157.SH,X600111.SH,X600339.SH,X000898.SZ,X600489.SH,X000709.SZ,X002466.SZ,X601158.SH,X600299.SH,X000959.SZ,X000408.SZ,X000792.SZ,X600583.SH,X000630.SZ,X000883.SZ,X600352.SH,X600219.SH,X000983.SZ,X000539.SZ,X002092.SZ,X002460.SZ,X000723.SZ,X000027.SZ,X000825.SZ,X600098.SH,X601699.SH,X600549.SH,X600623.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.208423932441208,0,0,0,0.0621940132858724,0,0,0.00504799269894901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0.00889214493402057,0,0,0,0,0,0,0,-0.0328454162215371,0,0,0,0.0394280777596246,0,0,0,-0.0231421298909626,0,-0.0028251098265106,0,0,0,0,0,0
X600028.SH,0.270532105896553,0,0,0,0,0.0621002681731036,0,0,0,0.0399822547856294,0.048820211144405,0,0,0,0,0.0349118635988667,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.047152828378587,0.0391380710145718,0,0,0,0,0,0,0,-0.00354726680579127,0.0114270636165739,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0325204813853887,0,-0.00153791289423451,0,0,0,0,0.187930954168083,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0554590220733322,0,0,0,0,0,0,0,0.134749577253858,0,0,-0.060950833722452,-0.0133890956306671,0.00590400614199999,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,-0.0642100723057914,0,0,0,0,0,0,0,0,0,0,0,0,-0.0141174313042592,0.47769395440928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0977757523898972,0,0,0,-0.0613639646822201,0.0216162808101373,0,0,-0.0870791375043247,0,-0.0180510094337735,0.00509498099530863,0,0,0,0,0,0
X600011.SH,0,0,0.0823072242776628,0,0,0,0,0,0,0,-0.0363365710218694,-0.0579516369968808,0,0,0,0.0144182619502727,0,0,0,0,0.404067800423503,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,-0.0440162789281391,0,0,0,0,0,-8.67361737988404e-19,0,0,0,-0.0462036282651185,0,0,0,0,0,0,0,0,0.017804879755186,-0.00679882870086525,0,0,0,0.147774351071693,0,0
X600585.SH,0,0.1540273161221,0,0,0,0,0,0,0.325689600323725,0,0,0,0,0,0,0,0,0,0,0.0623343889409595,0,0,0,0,0,0,0.123968117627918,0,0,0,0,0,0,0,0.00947534206053828,0,0,0,0,0,0,0,-0.0638478824153772,0,0.0444939657695436,0,0,0,0,-0.0221939817117501,-0.0435647306783735,0.0180065237321902,0,0,0,0,0,0
X600010.SH,0,0,0,0.00769569641986237,0,0.0317960050525156,0,0,0,0,0,-0.0586596591111939,0,0.0577484179229358,0.0332278867314028,0,0,0,0.050407821351198,0,0,0,0,0,0.199857266256481,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0.0298118497733844,1.73472347597681e-18,0,0.110493518079064,0,0,0,0,0.037530455163158,0,0,0,0,-0.00514784216756428,-0.00150843138171613,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.029772410372361,0,0,0,0,0.109838334077403,0,0,0,0,0,0,0,0,0,0.0842134389425566,0.0792893839464119,0,0,0,0,0,0,0,0,0.137067031633344,0,0,0,0,0.176634646499716,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,-0.00697460695740369,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0.0263506911401956,0,0,0,0,-0.0423838706758482,0,0,0.342649018673461,0,0,0,0,0,0,0,0,0,-0.0235965199731029,-8.67361737988404e-19,0,0,0,0,0,0,-0.0434593759143507,0,0,0,0,0,0.440909809898419,0,0,0,0,0,0,-0.0584468023064615,0,0,0,0,-0.0562689463508456,-0.0329557010114063,0.0101985105768328,0,0,0,0,0,0
X600688.SH,0,0.506700170410996,0,0,0,0.0326177670855424,0,0,0.0022171145745115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035693300956679,0,0,0,0,0,0,0,0,0,0,0,-0.0341623718268538,0,0,-0.0159477285654465,0,0.10533183647953,0,0,-0.0889412471495512,-0.00227334344303122,0.00327904077207741,0,0,0,0,0,0
