,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600585.SH,X600019.SH,X600011.SH,X601898.SH,X600547.SH,X601600.SH,X600660.SH,X000792.SZ,X002460.SZ,X002466.SZ,X600886.SH,X600010.SH,X600111.SH,X000301.SZ,X000708.SZ,X600426.SH,X002271.SZ,X600362.SH,X600795.SH,X000877.SZ,X601699.SH,X000983.SZ,X600176.SH,X600027.SH,X600489.SH,X600803.SH,X000807.SZ,X000786.SZ,X601991.SH,X000932.SZ,X000630.SZ,X600160.SH,X000933.SZ,X600219.SH,X000408.SZ,X000629.SZ,X002080.SZ,X600612.SH,X600985.SH,X600688.SH,X002353.SZ,X300037.SZ,X600096.SH,X000539.SZ,X601168.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.722136842470449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110131980233727,0,0,0,0,0,0,0.00933480409348228,0,0,0.0879541188285052,0,0,0,0,0.0692065185726383,0,0.0355022174184238,0,0,0,0,0,0,0,0,0,-0.143955752876203,0,0,0,0,0.00381622208254218,-0.00545778695793995,0.0198114427388248,0,0,0,0,0
X600028.SH,0.540293349223238,0,0,0,0,0,0.0619267721854386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0078773672630107,0.0627404851927538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.172660735349373,0,0.0805225577806104,0,-0.00705933871601127,0.0401040793622152,0,0,0,0,0,0
X601088.SH,0,0.0176328662612207,0,0,0.187352283110024,0,0,0,0.0935285309350726,0,0,0,0,0,0,0,0,0.0494210037344447,0,0.0159672830567645,0,0,0,0,0.0446950896100273,0,0.0438137696355319,0,0,0,0.0177023970289793,0,0,0,0,0,-0.00907426480336773,0,0,0,0.0681103346949592,0,0,0.0157987937307903,0,0.0149673957215972,0,0,0,0.0637265763783161,0,-0.0122607747595797,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0.0113825047946384,0,0,0,0,0.121118803641997,0,0.192071182908969,0.0120845752269694,0,0,0,0,0,0,0.100927782520229,0,0,0,0,0.0271405144305119,0,0,0,0.0234280533512765,0,0,0,0,0,0,0.083028093509361,0,0,-0.0242802733581022,0,0,0,0,0,0,0,0,0,0,0.00602576654492486,-0.0106903250247784,0,0,0,0,0,0
X600188.SH,0,0,0.611093181999028,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187474621844185,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.191850189576166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0.0748263900029025,0,0,0,-0.0437553964623532,0,0,0,0,0.0458580380293839,0,0.0869069757068239,0,0,0.254946333827049,0,0,0,-0.104092400621006,0,0,0,0.059446218237184,0,0.0414442801920442,0,-0.0183553673092838,0.128767428080416,0,0,0,0,0,0,0,0.180810813176072,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.0230611692274392,0,0,-0.00943395566132285,0,0,0,0,0,0,0,0,0,0,0,0.221930199210119,0,0,0,0,0.150389691046295,0,0.00870021204417619,0,-0.00297021707890312,0,0.105920055717722,0,0,0,0.286405522782401,0,0,-0.00624701571962041,0,0,0,0,0,0,0,0,-0.193132350794832,0,0,0,0,-0.00844400832392972,0.0410106144499479,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.056394337285504,0,-0.112847048196298,0,0,0,0,0,0,0,0,0.215509963874358,0,0,0,0,0,-0.304829367047354,0,0,0,0,0,0,0.336089954742353,0,0,0,0,0,0,0,0.0336739220642845,0,0,0,0,0,0,0,0,0,0.04227368269912,0,0.28452503182864,0,-0.0420282641874636,0.0278261456503631,3.46944695195361e-18,0,0,0,0,0,0
X601898.SH,0.210250526379629,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0735440246900478,0,0,0,0,0,0,0,0,0,0.0409898509287503,0.0371198332370923,0.131018591125226,0,0,0,0.0831486409158353,0,0,0,0,0,0,0,0,0,0.0278890630073784,0.073291610992629,0,0.163225163429751,0,0,-0.0246116403243036,0,0,0.0346515951391393,0,-0.00976747211623365,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,-0.0479278473802671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313477858129215,0.0526607623298786,0,0,0,0,0,-0.000812054468291356,0,0,-0.0731841811732491,0,-0.127060112511185,0.102785838367665,0,0,0,0,0,0,0,0,0,-0.00881439753215171,0,0,0,0,0,0
