,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600019.SH,X600011.SH,X601600.SH,X600886.SH,X600585.SH,X600547.SH,X600660.SH,X600795.SH,X000792.SZ,X600362.SH,X000708.SZ,X600027.SH,X600489.SH,X002460.SZ,X600111.SH,X600010.SH,X601699.SH,X600160.SH,X000983.SZ,X600426.SH,X600803.SH,X002466.SZ,X000301.SZ,X601991.SH,X000786.SZ,X000807.SZ,X600985.SH,X000933.SZ,X002128.SZ,X000877.SZ,X000630.SZ,X600176.SH,X600219.SH,X601168.SH,X000408.SZ,X000883.SZ,X600348.SH,X600096.SH,X002271.SZ,X600612.SH,X002353.SZ,X000932.SZ,X000027.SZ,X600995.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.408713964196055,0,0,0,0,0.0774045225573036,0,0,0,0,0,0,0,0.0694634609715002,0,0,0,-0.0219574820036682,0,0,0,0,0,0,0,0,0,0,-0.0568782953870316,0,0,0.171437463381026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0295422687472643,0.00441520317839448,0,0,0,0,0,0
X601088.SH,0.168561805551582,0,0,0,0.122455000083794,0,0,0,0.0442453177545898,0,0,0,0,0,0,0.0117801830016322,0,0,0,0,0,0,0.0703140270803427,0.0136178754009195,0.132524518633881,0,0,0,0,0,0,0,0,0,0,0,0,-0.0744091676572165,0,0,0,0,0,0.0550398718722454,-0.0234967541149805,0,0,0,0,0,0,0,0,0,0,0,0.0906353909120825,0,0
X600028.SH,0.43411126567376,0,0,0,0,0,0,0,0,0,0,0,0.0221816127179447,0,0,0,0.0562800380787997,0,0.0271521267346684,-0.102620648424367,0,-0.0121679570029891,0.00795237041027317,0,0,0,0,0,0,0,-0.0405850820713663,0,0,0,0,0,0,0,0,0.0488258591750039,0,0,0,0,-0.0522037734169442,0,0,0,0.082783825807705,0,0,0.0156764932541978,-0.00760351857514861,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00144387246990458,0,0,0,0,0.104866887627864,0,0,0,0,0,0,0,0,0,0.0655485050440107,0.0577383419064908,0,0,0,0.0059046859838213,0,0.108176337656307,0,0,0,0,0,0,0.0482360892112441,-0.0407344704813079,-0.112473745064192,0,0,0,0,0,0,0,0,0,0.0295825688140608,0,0
X600188.SH,0,0,0,0,0,0.0850755960548929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194575452895248,-0.036085260775316,0,0,0,0,-0.00699479280727103,0,-0.237664365188977,0,0.291234169094584,0.0237467335387789,-4.33680868994202e-19,0,0,0,0,0,0,0,0.0685314123432976,0,0,0,0,0,0,0,0,0,-0.0106963810892989,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.115886899800095,0,0,0,0,0,0,0,0,0,0,0,0.0402702358078277,0,0,0,0,0,0.174472808973851,0.0155969021971477,0,0,0,0,0,0,0,0,0.334347031406186,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0.0580584090551724,-0.00581854423230653,0,0.112318897416383,0,0,0,0,0.0470664760207726,0,0,0,0,0,0,0
X600019.SH,0,0,0,0.03138112062902,0,0,0,0,0,0,0,0,0.0281581878124902,0,0,0,0.0529301232578039,0,0,0,0,0,0,0,0,0,0.123909799364044,0,0,0,0,0,0.0570072192748487,0,0,0,0,0,0,0.0708999715758769,0,0,0,0,0,0,0,0.17798521073887,0,0,-0.0526615066315057,0.0215482622043108,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.354222084169433,0,0,0,0.365135727122647,0,0,0,0,-0.0100828319375614,0,0,0,0,0,0,0.0589373221310109,-0.0101653492197025,0,0,0,0.0903480957097114,0,0,0,0,0,0,0,-0.058497342190204,0,0,0,0,0,0,0,0,0,0.0634845864105583,-0.0393390855127559,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136525899724678,0,0,0,0,0,0,0,0,0,0.0810740298309771,0,0,0,0,0.176409374240891,0,0.182436774578543,0,0,0,0,0,0.260520439167872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00839922920484721,0,0
X600886.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184538244154207,0,0,0,0.0318031874620799,0,0,0,0,0.0172131545059041,0,0,0,0,-0.0204956929514871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0811393920902987,0,0,0,0,0,-0.111715473427556,0,-0.000595534194226985,0,0,0,-0.0640757637063078,0,0
