,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X000708.SZ,X002460.SZ,X600011.SH,X600660.SH,X601898.SH,X002466.SZ,X600010.SH,X601600.SH,X600886.SH,X600362.SH,X600801.SH,X002271.SZ,X600188.SH,X600352.SH,X600795.SH,X000786.SZ,X601991.SH,X600688.SH,X000723.SZ,X002353.SZ,X600111.SH,X601992.SH,X600176.SH,X600027.SH,X600489.SH,X600516.SH,X600299.SH,X600583.SH,X600426.SH,X000898.SZ,X600160.SH,X600219.SH,X601158.SH,X000792.SZ,X000932.SZ,X600612.SH,X000883.SZ,X000553.SZ,X000401.SZ,X000709.SZ,X002080.SZ,X000630.SZ,X000818.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.011586047386844,0,0,0,0.0531122492927003,0,0.195017087641355,0,0,0,0,0,0,0,0,0,0.083299771432928,0,0,0,0,0,0,0.164429607367121,0,0,0.024503304275405,0,0,0,0,0,0,0.047256244263404,0,0.0514026556549266,0,0,0,0.00245107112114757,0,0.0369409512511262,0,-0.0153137133375565,0.00937822833209547,0,0,0,0,0,0
X600028.SH,0.308410766923296,0,0,0,0,0,0,0,0.00360823420391309,0,0.0683721513266186,0,0.0271227428309185,0,0,0,0,0,0,0,0,0,0,0,0.0822878003721422,0,0.013623086313627,0,0,0,0,0,0,0,0.0584660829579695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0314021309193233,0,0,0,0,0,0,0.0114713545957606,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.383369348233264,0,0,0,0,0.00772435996585285,0.0753130304904388,0,0,0,0,0,0,0,0,0.00900378590463004,0,0,0,0,0,0,0,0,0,0.0104256089116021,0,0,0,0,0,0,0,0.00586779363932618,0,0,0,0.0297962946805286,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.453750695675874,0,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13666834032473,0,0.00745894355825056,0,0,0,-0.00434311606630307,0.0153562250217204,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0.0958353999922796,-0.0735867468526864,0.0475928984292899,0,0,0,0,0,0,0,0.119552499912064,0.0754003977668884,0.0746612807820185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133402821079789,0,-0.0105082817130805,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0665969671944178,0.0810734242942099,0,0.0383329207138037,0,0,0,0,0,0,0.0342363769380239,0,0,0,0,0,0.0877612127923515,0,0,0,0,0,0,0,0,0.0566616831348091,0,0,0,0,0,0.0297418307460247,0,0.0171537576896989,0,0.0120195477215897,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,-0.0554369368812445,0,0,0,0,0,0,0,0,-0.0525502818266225,0,-0.00860007165536839,0,0,0,0,0,0,0,0,0,0,0,0.877204848715086,0,0,0,0,0,-0.0129305468960868,0,0,0,0,0.175571824785132,0,0,0,0,0,0,0.00927639264638158,0,0,0.00653390733758964,0,0,0,4.33680868994202e-19,0,0
X000708.SZ,0,0,0,0,0,0,0,0,-0.00469180252541281,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.162095309555109,0,0,0,0,0,0,0,0,0,0,0,0,0.189777276542051,0,0.146616632105914,0,0.33963250660301,0,0,0,0.234076750783079,0,0,0,0,0,0,0,0,0,-0.00905366482162855,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0712039912924135,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0443419307456035,0.327043202296558,0,0,0,0,0,0,0.499283588417414,0,0,0,0,0,-0.232627073386159,0,0,0,0,0,0,0,0,0,0,0,0.0205708966936879,0,0,0,0.0416138594624527,0,0
X600011.SH,0,0,0,0,0,0,0,0,0.0403211915435956,0,0,0,0,0,0,0,0,0,0,0,0.0624776989849241,0,0,0,0.130628973884304,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0.0426328240152807,0,0,0.0543600941432836,0,0,0,0.214483696324458,0,0,0,0,0,0.0433417647716691,0,0.0654794037335077,0,0.00679959208834799,0,0,0,0,0,0,0
