,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X601898.SH,X600010.SH,X601991.SH,X601600.SH,X600795.SH,X600886.SH,X600188.SH,X600362.SH,X600111.SH,X600027.SH,X600309.SH,X600688.SH,X601992.SH,X000792.SZ,X600583.SH,X601158.SH,X000898.SZ,X600547.SH,X000709.SZ,X000883.SZ,X600352.SH,X000831.SZ,X600489.SH,X002353.SZ,X000539.SZ,X600021.SH,X000630.SZ,X600008.SH,X000825.SZ,X600549.SH,X000027.SZ,X600660.SH,X000629.SZ,X002470.SZ,X600315.SH,X600808.SH,X600578.SH,X600307.SH,X601699.SH,X600098.SH,X000983.SZ,X600863.SH,X000959.SZ,X000960.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.619407919487,0,0,0,0,0,0,0,0.0170437603728377,0,0,0.02135808693686,0,0,0,0,0,0.0706578551186965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195519230342616,0,1.73472347597681e-18,0,0,0,-0.00388247462084778,0,0,0,0,0,0
X600028.SH,0.497034620178257,0,0,0,0,0,0,0,0,0,0,0,0.0253927287134382,0,0,0,0,0.3971915691292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0399168906998676,-0.0108865363204419,0,0,0,0,0,0
X601088.SH,0,0.090747033751531,0,0.0706364673941683,0,0,0.11383820880092,0,0,0,0,0.0285402364730132,0.0877986584006247,0,0,0,0.0142284766101177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.405900202451834,0,0,0,0,0,0.00142379894975248,0,0,0,0,0,0
X600019.SH,0,0.0264980259643211,0,0,0.058426302346739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225839154875815,0,0.320856222237685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178597493503593,0,0,0,0.00426537907692348,0,0,0,0,0,0,0,0,0,0
X600011.SH,0,0.185610729022234,0,0.00576180387192019,0,0,0,0.0708532835076787,0.124845847660694,3.46944695195361e-18,0,0,0.0598774408546672,0,0,0.123472417836993,0,0,0,0,0,0,0.100969129467314,0,0,0,0,0,0,0,0.0266421001846288,0,0,0,0,0,0,0,0,0,0,0,0.166823468762544,0,0,0,0,0,0,0,0,0,-0.001638787567053,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0.086089214165411,0,0,0,0,0,0.0305817432803474,0,0,0,0,0.0336969118144449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14903750145759,0,0.060088704943811,0,0,0,0,-0.0251904130406181,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.0721397606017351,0.0935145843654951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106882256473794,0,0,0,1.42493312805751e-05,0.0183340960073882,0.221963363606621,0.0188989452334516,0.360658192728488,0,0,0.0157039207018259,0,0,-0.00526822227512274,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.487248322088243,0,0,0,0,0.0553440729166259,0,0,0,0,0,0,0.118604291121976,0,0,0,0,0,0.181818897997846,0,0,0.0151723229709145,0,0,0,0,0.115840749944907,0,0,0,-0.0107311215737735,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0.169156122405171,0,0,0.172333792020187,0,0.265062040183552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11340081146156,0,0,0,0,0,0,0.028051895980854,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0266932971678756,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0.146452694874112,0,0.230675911341785,0,0,0.0873526972277524,0,0,0,0,0,0,0,0,0.0155181285373549,0,0.107363637518833,0,0.0465842383617156,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0569239500330601,0,0,0.0280786429136003,0,0,0,0,0.0138458287637349,0,0,0,0,-0.0390166328710277,-0.0358889677870035,0,0,0,0,0,0
