,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X000708.SZ,X600011.SH,X002460.SZ,X600886.SH,X601898.SH,X600010.SH,X002271.SZ,X000792.SZ,X601600.SH,X600801.SH,X600660.SH,X600688.SH,X600362.SH,X600188.SH,X000786.SZ,X600795.SH,X600352.SH,X601991.SH,X601992.SH,X600027.SH,X600111.SH,X600299.SH,X002466.SZ,X000723.SZ,X600176.SH,X600489.SH,X600426.SH,X000401.SZ,X600516.SH,X000898.SZ,X601158.SH,X600219.SH,X000553.SZ,X000932.SZ,X002353.SZ,X000883.SZ,X600583.SH,X600126.SH,X000709.SZ,X002075.SZ,X000027.SZ,X600486.SH,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246149749269933,0,0,0.0768864083457939,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0601241198467758,0,0,0,0,0,0,0,0,0,0,0.130814488338116,0,0,0,0,0,0,0,0,0.0114044620207019,0,0,0,0,0,0
X600028.SH,0.135857236811779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0157297141085272,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0544856564951499,0,0,0,0,0,0,0,0,0,0,0.044499572455195,0,0,0,0,0,0,0,0.0227383800712681,0.00379662122763877,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0534024188717595,0,0,0,0.136180671006803,0,0,0,0,0.0830895363715653,0,0,0,0,0,0,0,0,0,0,0.125305501687877,0,0,0,0,4.33680868994202e-19,0,0,0.0128690032665536,0,0,0,0,0,0,0,0.00539272840123403,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,-0.000522912538605159,0,0,0.0270545948928042,0,0,0,0,0,0,0.502470128257436,0,0,0.0653213324344517,0,0.0285643782027112,0,0,0,0,0,0,0,0,0,0.0642457950293994,0,0,0.0227330009728061,0,0,0,0,0,0,0,0,0,0,0,-0.063326291554636,0,0.00903026050659769,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0.00179663927647427,0,0,0,0,0,0,0.00192271933804535,0,-0.000797729514110084,0,0,0,0,0,0,0,0,0,0,0.0906213052196198,0.0354324637761733,0.239958757187552,0,0,0,0.121719999202384,0,0,0,0,0,0.0846851833497373,0,0,0,0,0,0,0,0,0,0,0.0209277710116663,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.00276728707856159,0,0,0,0,0,0,0,0,0.0331389348415559,0.122626772920382,0,0.150341333697697,0.137670181702088,0,0,0,0,0,0,0,0,0.00451705400886001,0,0,0,0,0,0,0,0,0,0,0,0.0274762113531063,0,0.0611645867162858,0,0,0,0,0.0252802006855636,0,0,0,0.00592621566318925,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,-0.0757471870444972,0,0,0,0,0,0,0,0,0.028840483616134,0,0,0.033194568966652,0,0,0,0,0,0,0.0161939473527026,0,0,0,1.00237592893237,0,-0.066153272200135,0,0,0,0,0.00970419771427773,0,0,0,-0.0383316145255146,0,0,0,0,0,0,0.0721924946211064,0.0472967090777007,0.0138743406620165,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116096099251526,0,0,0,0,0,0,0,0,0.0698036489990245,0,0,0,0,0.123473728592292,0,0,0.138410252057632,0,0,0.0359517072056991,0,0,0,0,0,0,0,0,0,0.138586542847655,0,0,0,0.371186485640944,0,0,-0.0348956073529215,0,0,0,0,0,0,0
X600011.SH,0,0,0.0711227838779253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0505944777090646,0,0,0,0,0,0,0,0,0.579262965706481,0,0.109680278611155,-0.0118330347485,0,0,0,0,0,0,0,0,0,0.139113780246511,0,0,0,0,0,0,0,0,0,0,0,-0.0153634990814815,0.00472250627847702,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00653527082981497,0.192112969295349,0,0,0,0,0,0,0,0,0,0,0.252764450012508,0,0.38679095260871,0,0,0.0496460468428481,0,0,0,0,0,0.0668586780088524,0,0,0,0,0,0
X600886.SH,0,0,0,0.101565618382687,0.293610259123198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149186132707421,0,0,0,0,0,0,0.0793661769040626,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0639962290833226,0,0.0362709191988104,0,0,0,0,0,-0.00606439894571418,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00996304425139524,0,0,0.0783693300328105,0.207297188658965,0,0,0,0,0,0,0.00611961566755634,0.0430405107412109,0,0,0,0,0,0,0.00550639273259308,0,0,0,0,0,0,0,0.174156515523922,0,0,0,0,0,0,0,0.00928997616459239,2.16840434497101e-19,0,0,0,0,0,0
