,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X600660.SH,X601898.SH,X600688.SH,X600188.SH,X002466.SZ,X601991.SH,X601600.SH,X600362.SH,X600795.SH,X600886.SH,X600516.SH,X600547.SH,X002460.SZ,X300072.SZ,X000898.SZ,X600027.SH,X600352.SH,X600111.SH,X000553.SZ,X600176.SH,X601992.SH,X000786.SZ,X600426.SH,X600299.SH,X000709.SZ,X002110.SZ,X000408.SZ,X600808.SH,X000792.SZ,X600315.SH,X000883.SZ,X000830.SZ,X000932.SZ,X601158.SH,X600801.SH,X601699.SH,X002271.SZ,X600219.SH,X000539.SZ,X600489.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.183747467858475,0,0,0,0,0,0.00942266372108156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0407885790767149,0,0,0,0,0,0.0323707109191715,0,0.202476764846144,0,0,0,0,0,0,0.16015503890437,0,0,0,0,0,0.00595876278321044,0,0,0,0,0,0,0
X600028.SH,0.0404618250228289,0,0.228422638170933,0,0,0,0,0,0,0,0,0.0698035786069606,0,0,0,0,0,0,0,-0.0427651112860077,0,0,0,0,0,0,-0.0991825787686973,-0.112814458861888,0,0,0,0,0,0,0,0,0.0877539638882019,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.00895491993153327,-0.00980178623049783,0,0,0,0.0240544940777896,0,0
X601088.SH,0,0.20655659615594,0,0.00966865981336795,0,0,-0.0751832982217583,0,0,0,0,0.422056746079102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0758734790002799,0,0,0,0,0.0261687410723695,0,0,0,0,-0.0133607956754591,0.00704057038939581,0,0,0,0,0,0
X600585.SH,0,0,0.270988655705563,0,0,0.0421605830548476,0,0,0,0,0,0,0.11002695295489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0496138905311857,0.0497480821959677,0,0,0,0,0,0,0,0,0.0575700698005699,0,0,0.347370309260872,0,0.0302431556168856,0,0,0,0,-0.0101784361665865,0.0240681392060449,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.0302955689693162,0,0,0,0,0,0.303638340945558,0,0,0.0892880434785908,0,0,0,0,0,0,0,0,0,0,0,0,0.0425033059224402,0,0,0,0,0,0,0,0,0,0,0,0,0.120427524742677,0,0,0.00744707079227593,0,0,0,0,0,0,0.0737950566831741,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0735820337524888,0,0.119850041101268,0,0,0,0,0,0.0127618853375098,0,0,0,0,0,0,0,0,0,0,0,0.0395480255981267,0.0204271500558855,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0.00022894628622927,0,0,0,0,0,0.0743873942450025,0,0,0,0,0.0263266948940549,0,0.0439509998083513,0.0768553985405097,0,0.186583117898916,0,0,0,0,0.026808818637927,0,0,0,0,0,0,0,0,0.0639524305170457,0,0,0,0,0,0,0,0,0,0,0,0.00972141914525974,-0.0223566139038706,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0.0860716266509651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209586263302344,0,0,0,0,0,0.197810661800595,0.181382984598464,0,0,0,0.0671629517352766,0,0,0,0,0,0,0,0.121091086018518,0,0.0403841618339121,-0.0261072273394948,0,0,0,0,0,0
X600660.SH,0,0,0.00383436731628553,0,0,0,-0.105434743664485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138545157955089,0,0.0618880094606427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0628508051314013,0,0,0,0,-2.16840434497101e-19,0.00470921593511614,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0.0449051020644184,0,0,0.086282525367485,0,0,0,0.184185338383852,0,0,0,0,0,0,0,0,0.0744473776720171,0.121087760108932,0,0,0.0142181940970782,0.0572071056528704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0551261493723647,4.33680868994202e-19,0,0,0,0,0,0,0
