,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X000708.SZ,X600011.SH,X002460.SZ,X600660.SH,X601898.SH,X600010.SH,X601600.SH,X600886.SH,X600801.SH,X600362.SH,X002466.SZ,X002271.SZ,X600188.SH,X600688.SH,X000786.SZ,X600352.SH,X600795.SH,X601991.SH,X601992.SH,X000723.SZ,X002353.SZ,X600111.SH,X600176.SH,X600027.SH,X600489.SH,X600426.SH,X600516.SH,X600299.SH,X000898.SZ,X000792.SZ,X600583.SH,X000401.SZ,X601158.SH,X600219.SH,X000932.SZ,X000709.SZ,X000883.SZ,X000553.SZ,X600612.SH,X600160.SH,X000630.SZ,X600486.SH,X000027.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127732353369765,0,0,0,0.033016362365727,0,0,0.119970357500159,0,0,0,0,0,0,0,0,0,0,0.0914393406826651,0,0,0,0,0,0.0724656325161144,0,0,0,0,0,0,0,0.0197077394066947,0,0,0,0,0,-0.00206721285066706,0,0,0,0,0,0,0
X600028.SH,0.402060537338369,0,0,0,0,0,0,0,0,0,0,0,0,0.00646217925451303,0,0,0,0.0191355399643246,0,0,0.0897738099931959,0.000513847134704749,0,0,0,0,0,0.0375765652485681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0231575123873113,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.345575225570961,0.0164467249538416,0,0.0131510118581333,0,0,0,0.0694391855676652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00711719386281374,0,0,0,0.0311737146688419,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.451787770061674,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101456066129219,0,0,0,0,0,0,0,0,0.145324783841949,0,0,0,0,0,0,0,0,0,0,0,0,-0.00354405977079337,0.0166177895699482,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272925080054334,0,0.129348930775848,0,0,0.0558995324025226,-0.0606573378537213,0,0,0,0,0,0,0.0391042269489063,0,0,0,0,0,0.18031014292067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022271074447319,0,0,-0.00534076885631034,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.0114584003938529,0,0,0,0,0,0,0,0.0173240523018347,0.110125923141824,0,0.0357319950153315,0.0999366247819457,0,0,0,0,0,0.139724508184303,0,0.0787803211644291,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0678135802148411,0,0,0,0,0,0,0,0,0,0.0101630307794197,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,-0.0469205797842163,0,0,0,0,0,-0.0273006994128849,0,0,0,-0.0329330334696555,0,0,0,0,0,0,0,0,0,0,0,0.870826765834689,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157336111423848,-0.0194547005626946,0,-1.0842021724855e-19,0,0,0,0.00601092046027201,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,-0.0310989402380108,0,0,0,0,0,0.0265244282067414,0,0,0,0,0,0,0.331653632606345,0,0,0,0,0.0455067626427566,0,0,0,0,0.156990026808436,0,0,0,0,0,0.0144263339404068,0,0,0.131487326729886,0,0,0,0,0.252902100849838,0,0,0,0,0,-0.00328550226297581,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0.0376120223685064,0,0,0,0,0,0,0,0,0,0,0,0,0.0832201268722044,0.369323889031586,0,3.46944695195361e-18,0.0120160758753386,0,0,0,0.144668825097496,0,0,0.0386035207626331,0.0550567646651615,0,0,0,0,0,0,0.123361274979522,0,0,0,0,0.040669678060411,0,0,0,0,0.0140281039487859,-0.0169223939727624,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0.0570701936635248,0,0,0,0,0,0,0,0,0.0528681867257086,0,0,0,0,0,0,0,0,0.0113455520127477,0.0874241126444665,0.305911057619611,0,0,0,0,0,0,0,-0.230317838203224,0.486268729800525,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,-0.0202274726243822,0.0318725963487251,0,0,0,0,0,0
