,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600019.SH,X600011.SH,X600585.SH,X600660.SH,X600886.SH,X601600.SH,X600547.SH,X000792.SZ,X600795.SH,X002466.SZ,X601699.SH,X002460.SZ,X000708.SZ,X000301.SZ,X600010.SH,X600362.SH,X600111.SH,X000983.SZ,X600027.SH,X000877.SZ,X600803.SH,X600426.SH,X600160.SH,X600489.SH,X000786.SZ,X600985.SH,X601991.SH,X000408.SZ,X002271.SZ,X000630.SZ,X000933.SZ,X000807.SZ,X600176.SH,X000932.SZ,X601168.SH,X600348.SH,X002128.SZ,X600612.SH,X600219.SH,X600096.SH,X601666.SH,X300037.SZ,X600995.SH,X600157.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.366181138704536,0.100322600936409,0.190372170556445,0,0,0,0,0,0,0,0.0580292162127077,0,0,0,0,0,0,0,0,0,0,-0.042159979113941,0.138076560349983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0559458572780227,0.00422943665397422,0,0.126736492652978,0.202519864705818,0,0,0,0
X601088.SH,0.0371210830485104,0,0,0,0.172052365294321,0.0373905340864864,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,-0.0174770611005893,0,0,0,0,0,0.168388564065836,0.0250155729455832,0,0,0,0,0,0,0.142218137857955,0,0,0,0,0,0,0,0,0.0353016624091591,0,0,0,0,0,0,0,0,0,0,-0.00606431208452306,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.0715494792864145,0,0,0,-0.00557785472735631,0,0,0.0718194878219545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277682838587211,0,0,0,0,0,0,0.0153247444205466,0,0,0,0,-0.00516676402857944,0,0,0,0,0,0,0
X600309.SH,0.105293773674673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.255610906278543,0.112258227762428,0,0.0418781048663264,0,0,0,0.0143577675834165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00995237833646073,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0.0950139004552897,0,0,0,0,0,0,0,0,0,0,0.117749852430099,0,0,0,0,0,0,0.218525530930584,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.265289651067052,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,-0.00382524788224396,0,0,0,0,0,0
X601898.SH,0.051776922473868,0.409849836209978,0.123428165912389,0,0.260891572287502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0709599706379577,0.0695508536368161,0,0,0,-0.030750554537991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0125303780665522,-0.0201994633142086,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.115114532884738,0.0529322394803252,0,0,0,0,0,0,-0.045452745374865,0,0,0,6.93889390390723e-18,0.0389635438690431,0,0,0,0,0,0,0.166942709030059,0,0,0,0,0,-0.0329686682109747,0,0,0,0,0,-0.0389216820812545,0,0,0.123290957077456,0.134707322265049,0,0,0,0,0,0,0,0,0,0,0,0.00239500917796864,0,0,0,0,0,0
X600011.SH,0.0220002807436069,0,0,0,0.0972222497747863,0.00870984953078636,0,0,0,0,0.0360847360618979,0,0,0,0,-0.0112545899450232,0,0,0,0,0,0,0,0,0.282179583546748,0,0,0,0,0,0,0,0.122484634554157,0,-0.00134298143747132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000886028679215549,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0.29921023114568,0,0,0,0,-0.0666271823372146,0,0,0,0,0,0,0,0.0104023308182295,0,0,0,0,0,0.0410353749336997,0,0,0,0.15098776006836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00245698340436575,-0.024939579273735,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0.00727484354580142,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0436646444470111,0,0,0,0.146076981400383,0,0,0,0,0,0,0,0,-0.0613646015264398,0,0,0,0,0,0,0,0,0,0.0100180618608764,0.0678933951260038,0,0,0.014242504037825,-0.00444800025783034,0,0,0,0,0,0
