,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X601600.SH,X600309.SH,X600011.SH,X601898.SH,X002466.SZ,X601992.SH,X600688.SH,X600795.SH,X600362.SH,X600188.SH,X600111.SH,X002460.SZ,X601991.SH,X600660.SH,X600547.SH,X600516.SH,X300072.SZ,X000792.SZ,X600886.SH,X000898.SZ,X000709.SZ,X600157.SH,X600027.SH,X000408.SZ,X000807.SZ,X600219.SH,X600339.SH,X600489.SH,X600549.SH,X000959.SZ,X600808.SH,X000983.SZ,X000723.SZ,X600352.SH,X002092.SZ,X002271.SZ,X601158.SH,X000553.SZ,X000883.SZ,X000630.SZ,X600299.SH,X600008.SH,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.00910700256410902,0,0,0,0,0,0.026579746722812,0,0.0105925942973844,0,0.0335187830040294,0.0147941232932446,0,0.0305001338166354,0,-0.0122323054591605,0,0,0,0,0,0,0,0.0116106973946468,5.29853105605532e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.026827014633663,0,0,0,-0.0223556536897209,0,0,-0.01030404954817,0.0250332918650496,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.0888616030458377,0,0,0.0283725912116676,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0576822092114796,0,0,0,0,0,0,0,0,0,0,0.00839835854755267,0,0,0,0,0,0,0
X601088.SH,0,0,0,0.0746787085731201,0,0,0,0,0,0,0,0,0,0.379257220246463,0,0,0.0317604467345485,0,0,0,0,0.0223114064142456,0,-0.0750136422813824,0,0,0,0,0,-0.0915300274029976,0,0,0,0,0.0176374019409271,0,0,0,0,0,0.0412771470996867,0.0251034541362047,0,0,0,0,0,0,0.0520329576315698,0,-0.0138916260449196,0,0,0,0,0,0,0
X600019.SH,0,0,0.048065980555652,0,0,0,0.0533985447940502,0,0,0,0,0,0,0,0,0,0.0275426962064008,0,0,0,0,0,0,0,0,0.194247765242514,0,0,0,0,0,0,0,0,0,0,0.314586114754883,0,0,0,0,0,0,0,0,0,0,0,0,-0.00906639475589283,-0.0305106829538024,0.0299501489583137,0,0,0,0,0,0
X600585.SH,0,0.183926703682408,-0.115342028789962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0340141801151964,0,-0.121582378527658,0,0,0,0,0,0.174928172389422,0.207734879877711,0,0,0,0,0,-0.0221119806785156,0,0,0,0,0.0661250429908274,0,0,0,0,0,0,0,0,-0.0286674085988291,0.0303372647537029,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0369351990783668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0980264098255922,0,0.173889932532226,0.180967095336557,0,0,0.0523293459653044,0,0,0,0,0,0,0,0,0,-0.00714850705028355,0.00893494838677496,0,0,0,0,0,0
X601600.SH,0,0,0,0.0738583036722035,0,0.0344560619178153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0400165810632636,0,0,0,0.16022867168204,0,0.206168120330186,0.155874920771982,0,0,0,0,0,0,0,0,0,0,0,0,-0.0323921244125981,-0.00882590910976428,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193818628786687,0,0,0.120390176105871,0,0.132964558801263,0,0.0374552211289989,0,-0.0988174009353622,0,0,0,0,0,0,0.00276255472536784,0.0913698355301607,0,0,0,0,0,0,0,0,0.0846768191831474,0,0,0,0,0,0,0,0.0718270184415645,0,-0.0147256605856005,0.0153342890586763,0.025428694995936,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0.0815101660819073,0,0,0,0,0,0,0.0171942132429432,0,0,0,0.0112499236396776,0,0,-0.0149809169833144,0,0,0,0,0,0,0,0.0982426339878192,0,0,0,0,0,0,0,0,0,0.0873363942194451,1.35525271560688e-20,0,0,0.036087602489123,0,0,0,0,0.00863368946054228,0,-0.000262914969979729,0.00929577972001729,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0.00744641034700206,0,0,0,0,0,0,0,0.126610909158722,0.0365061388949284,0,0,0,0,0,0,0,0,0,0.140873879796114,0,0,0,0,0,0,0,0,0.12339315531474,0,0.141203665382796,0.00857663215951989,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114597828781241,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0,0,0,0.028220600173008,0,0,0,0,0,0.614097375202365,0,0,0,0,0,0.0323557042476764,0,0.0368573783385151,0,0,0,0,0,0,0,0,0.0587781199156061,0,0,0,0,0,-0.0422965496970175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0,0,0,-0.0645114719296795,0,0,0,0,0,0.066407223962474,0,0,0,0,0.00776045349547965,0,0,0,0.140848861803966,0.0388260807284904,0,0,0,0,0,0,0,0,0.0782864471118811,0,0,0,0,0,0,0,0,0,0,0,0.578313953218856,0,0,-0.0216405496424342,0.0125319866342362,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0.10297866748083,0,0,0,0,0,0,0,0,0,0,-0.0852569679106235,0,0,0,0,0,0,0,-0.127351602398712,0.132389204700491,0,0.0301027077712955,0.0505768214949912,0.0251488930262345,0,0.0209951344530546,-0.0478204857106857,0,0,0,0,0,0.0553420332667437,0,0,0,0,0,0,-0.0309628521738084,4.33680868994202e-19,0,0,0,0,0,0
