,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600011.SH,X600019.SH,X600547.SH,X601600.SH,X600585.SH,X600660.SH,X600886.SH,X600795.SH,X000792.SZ,X600362.SH,X002466.SZ,X002460.SZ,X600027.SH,X000708.SZ,X600010.SH,X600111.SH,X000301.SZ,X601699.SH,X600489.SH,X000983.SZ,X600160.SH,X600803.SH,X000877.SZ,X601991.SH,X600426.SH,X000933.SZ,X000630.SZ,X600985.SH,X000807.SZ,X000408.SZ,X000786.SZ,X601168.SH,X600612.SH,X600176.SH,X600219.SH,X002128.SZ,X002271.SZ,X000932.SZ,X000883.SZ,X600096.SH,X600348.SH,X000027.SZ,X601666.SH,X002353.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.225728768225786,0,0,0.168986895132808,0.0849340607248539,0.00267204835567009,0,0,0.0705761544012495,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0396567789024996,0,0.0168537240290902,0,0,0,0,0,0,0,0,0,0.034622927221923,0,0,0,0,0,0,-0.00905428956501325,0,0,0,0,0,0,0,0,0.0206147720191665,0,0.088107878598093,0,0,0,0,0
X601088.SH,0.0401067979507073,0,0,0,0.23099425783882,0,0.148121420378333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14680515107076,0,0,0,0,-0.0188322909468225,0,0,0.100269996501038,0,0,0,0,0,-0.0222733499018642,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,-0.0280832495338348,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.0562669222296233,0.0584653358557501,0,0.0741087925414305,0,0,0,0,0,0,0,-0.144275786793014,-0.0172299064076253,0,0,0,0,0,0.0540862305122657,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144390525647281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0685742380107762,0,0,0,0,0,0,0.198030538130554,0,0,0,0.169585327856863,0,0,0,0.179755278628096,0,0,0,0.025667313274273,0,0,0,-0.0726891918060955,0.136795917853415,0,0,0.0172193415811257,0,0,0,0,0,0,0.062986071094759,0,0,-0.0503122942484398,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0.155325381245886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362901255078107,0.0855865577435457,0.136227743426926,0,0,0,0,0,0,0.00627164839576376,0,0,0,0,0.00728393300073255,0,0,0,0.145276584850358,0,0,0,0,0.0124577098309251,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.169731716666087,0,0.0393278359691279,0,0,0,0,0,0,0,0,0,0,0,0.215833420219615,0,0,0,0,0.134096675291695,0,0,-0.00115646811635874,0,0,0,0,0,0,0.246702002994419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217780717339484,0,1.73472347597681e-18,0.206600139805866,0,0,0,0,0
X600011.SH,0.0227333053886642,0,0,0,0,0.121978726591004,0,0,0,0,0,0,0,0.0851399255092889,0,0,0,0,0.261524269140981,0,0,0,0,0,0,0,0.042720433932879,0.00675309872611811,0,0.151988026673208,0,0,0,0,0,0,0,0.0110688933950985,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0,0,0,0,-0.0140627670792145,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.131139101982241,0,0,0,0,0,0,0,0,0.0100473767291624,0,0,0,0,-1.73472347597681e-18,0,-0.00589751809494853,0,0,0,0.0668316676186021,0,0.0103483363110768,0,0,0,0,0,0,0,0,0,0,0.0636525635816868,0,0,0,0,0,0.0955276590324154,0,0,0,0,-8.67361737988404e-19,-0.0593590786058086,0,0,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,-0.0437550111000429,0,0,0,0,0,0,0,0,0,0,-0.0653870627919474,0,0,0,0,0,0,0,0.684859015909062,0,0,0,0,0,0,0,0,0,0.114584899136562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0278923965293364,0,-0.0311786944916015,0,0,0,0,0
X601600.SH,0.354162818427106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106235919116126,0,0,0,0,0,0,0,0.0930305953170713,0,0,0,0,0,0.0920163362246305,0,0.0760128286465808,0,0,0.05588959009902,0.140792205467675,0.113293978753601,0,0,0,0,0,0,0,0,0,0,0,-0.00579659025427093,0,0,0,0,0,0,0
X600585.SH,0,0,0,0.0474813433769759,0,0.0293901714676113,0,0,0,0,0,0,0,0,0,0.0607084924838511,0,0,0,0,0.0751929991553505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0435639598549593,0.174216315427948,0,0,0.122525429545081,0,0,0,0,0,0,0,0,0,0,0,-0.0114141459459078,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0300005199236751,-0.00299225146694338,0,0,0,0,0.0262449922008391,0,0,0,0.111859678036825,0,0,0,0,0.0203603804537127,0,-0.0561041232453453,0,0,0,0,-0.119125141244153,0,0,0,0,0,0,0,0,-0.00860331579970537,0.0800949078564012,0,0,0,0,0,0
X600886.SH,0,0,0,0,0.128772102252692,0,0,0,0,0,0,0,0,0.343518537241892,0,0,0,0,0,0,0,0,0,0,0,0,0.0283482494908144,0,0,0,0,0,0,0,0,0,0,0.0796770784204227,0,0,0,0,0,0,0,0,0,0,0,-0.00960406189565601,0,-0.0163456535708906,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0.162941840199561,0,0,0,0,0,0,0,0.153541995916074,0,0,0,0,0,0.333832594853757,0,0,0,0,0,0,0,0.0278703621018038,0,0,0,0,0,0,0,0,0,0,0.0189783970396326,0.0467795977542499,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01009718215684,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0.030787509760922,0,0,0,0,0,0,0,0.282562154573739,0,0,0,0,0.0646403098216128,0,0,0.00904168649588355,0,0,0,0,0,0.0562361619484062,0,0,0,0,0.0208185564419112,0,0.0356209070486133,0,0.0789348193699376,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045992920797126,0,0,0,0,0,0,0,0.0573413108173624,0,0,0,0,0,0,0,0.260246475865881,0,0.164083409969119,0.0636185434431612,0,0.0293871079150479,0,0,0,0,0,0,0,0.0445871446639106,0,0,0,0,0,-0.0277973070208187,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,-0.017208383897999,0,0,0,0,0,0.705302456614157,-0.0374261420044589,0,0,0.0885014327511507,0,0,0,0,0,0,0,0.0394101568856682,0,0,0,0,0,0.127876920060015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031876685849809,0,-0.0356558024307055,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64254203425856,0,0,0,0,0.0568449073554253,0,0,0,0,0,0,0,0,0,0,0.00671751889023547,0,0.0258136781646038,0.0681825263579657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0,0.440547180982106,0,0,0,0,0,0,0.182990966933157,0,0,0,0,0,0,0,-0.0895690443154354,0,0,0,0,-0.0783785029832361,0,0,0,0,0,0.285898387845562,0,0,0,0.0283497867072513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
