,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600011.SH,X601600.SH,X601898.SH,X600188.SH,X002466.SZ,X600688.SH,X600660.SH,X601991.SH,X600362.SH,X600795.SH,X300072.SZ,X002460.SZ,X601992.SH,X600547.SH,X600516.SH,X600176.SH,X600886.SH,X600111.SH,X000898.SZ,X000786.SZ,X000709.SZ,X600352.SH,X002271.SZ,X600299.SH,X600027.SH,X000792.SZ,X000553.SZ,X000825.SZ,X000408.SZ,X601699.SH,X601158.SH,X600489.SH,X600219.SH,X600808.SH,X000883.SZ,X600583.SH,X000630.SZ,X000959.SZ,X600160.SH,X002470.SZ,X600549.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.334480083002359,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.0760192089862257,0,0,0,0,0,0,0,0,0.103975274075423,0,0,0,0,0,0,0,0.016592278215379,0,0,0,0,0,0,0,0.0735023818475809,0,0,0.022773012976193,0,0,0,-0.000544381746321232,0,0,0,0,0,0,0
X600028.SH,0.36222581519155,0,0.0293554464591827,0,0,0,0,0,0,0.0609280140706068,-0.00681977060586597,0.195029124058976,0,0,0,0,0,0,0,0.0852470831380194,0,0,0,0,0,0.137869885642253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0167953699891657,0.0213784890540742,0,0,0,0,0,0
X601088.SH,0,0,0,0.0144254463351106,0.0609120723921191,0,0,0,0,0.156121611733994,-0.0337655233528607,0,0,0,0,0,0,-0.0335079879821957,0,0.0877427057600898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372456850471137,0,0,0,0,0,0,0,0,0,0,0,0,0.0130479826941513,0,0,0,0,0,0,0
X600019.SH,0,0.0878669916815123,0,0,0.198019476043519,0,0,0,0,0.291271863464406,0,0,0,0,0,0,0,0,0,0.0162371189495298,0,0,0,0,0.0863586984728175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0219373345508224,-0.0220468022986336,0,0,0,0,0,0
X600585.SH,0,0,0,0.198011430500187,0,0,0,0,0,0,0,0,0,0,0.00511016880540418,0,0,0,0,0,0,0.129372159964262,0,0,0,0.167055214448303,0,0,0,0,0,-0.0743699592348306,0,0,0,0.318553004499314,0,0,0,0,0,0,0,0,0,0,0,0,-9.44062166536715e-05,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0.0407373548619536,0.0502069456799371,0,0,0,0,0,0,0,0,0.00710914458209246,0,0,0,0,0.0750400848526138,0.0584268899777335,3.46944695195361e-18,0,0.099944261606457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105288317091637,0,0,0.016665322073445,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0.158397142732349,0,0,0,0,0,0,0,0,0,0,0,0.0752541770805521,0,0,0,0,0,0,0.0493152084084097,0,0,0,0.0542519436059994,0.105273166839117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00145501668704793,0,0,0,0,0,0,0
X601600.SH,0,0.252985105070096,0,0,0,0,0,0,0,0.0814961531337175,0,0,0,0,0,0,-0.108084914714977,0,0,0,-0.118243628072995,0,0,0,0,0,0,0,0.172018417426529,0.21960717156289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.327011045920155,-0.378652091807922,0,0,0.171169454397136,-0.279309903391249,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0.00639234776430063,0,0,0,0,0.216778334348747,0,0,0,0.0678447742899617,0.0127296142030063,0,0,0,0,0,0,0,0,0,0,0,0.0623744373442198,0,0,0,0.162418435535237,0,0,0,0,0,0.113264842635122,0,0.111407549300416,0,0,0,0,0,0,0,0,0,0,0,0
X600188.SH,0,0,0.203584011798269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333694154721133,0,0,0,0,0,0,0,0.147567364936266,0,0,0,0,0,0,0,0,0,0.565112972096909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4001815064313,0,0,0.175209585827238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0128003765584541,0,0,0,0,0,0,0
