,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X600688.SH,X601600.SH,X601898.SH,X600795.SH,X601991.SH,X600027.SH,X600188.SH,X600623.SH,X600362.SH,X601992.SH,X600111.SH,X600886.SH,X002466.SZ,X600157.SH,X600299.SH,X600547.SH,X600660.SH,X601158.SH,X000792.SZ,X600352.SH,X600309.SH,X000709.SZ,X600583.SH,X600489.SH,X000539.SZ,X000883.SZ,X000898.SZ,X000027.SZ,X300072.SZ,X000629.SZ,X000630.SZ,X000959.SZ,X002075.SZ,X600021.SH,X000060.SZ,X000983.SZ,X600176.SH,X002470.SZ,X000012.SZ,X600578.SH,X600098.SH,X600022.SH,X000723.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0.0924921313756921,0,0.215874463147311,0,0,0,0,0,0,0.0901269903146955,0,0,0.0112327977771924,0,0,0,0,0,0.00331893153225915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0341126978638442,0,0,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.100140997704259,0,0.19595716635421,0,0,0,0.0298428425165456,-0.0022963041018609,0,0,0,0,0,0,0.014564172616187,0,0,0,0,0,0,0,0.0952308421994492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00248313997552424,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.163719464829778,0,0,0,0.389543427367825,0,0,0,0,0.0567671029241953,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0.0612695637972693,0,0,0,0,0,0,0,0,0,0,0,0.0613278938448969,0.0127195200448805,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.00794734539963267,0,0.0834658810339513,0,0.129649557572056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112665073587712,0,0,0,0.106804534990226,0,0,0,0,0,0,0,0,0.0131818050031902,0,0,0,0,0,0,0,0,0.0254776299982485,0,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137083695810525,0,0,0.152732184211504,0,0,0,0,0.0637883436181234,0,0,0.112419602805031,0,0,0,0,0,0,0,0.0470117622718051,0.233236818741165,0.0333809654227157,0,0,0,0.0329553941812227,0,0,0,0,0,0,0.0738916196928192,0,0.0225523043069977,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00452910193488403,0,0,0,0,0,0,0.125100333918925,0,0,0.036690539338091,0,0,0,0,0,0,0.182283821429262,0,0.0561001501082987,0,0,0,0,0,0,0.0518362674960016,0,0,0.127915934197889,0,0,-0.0361135703260358,0,0,0,0,0,0,0
X600019.SH,0,0,0.055755167038197,0,0,0,0,0,0,0.229028223359199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.422172062719392,0,0,0,0,0,0,0,0.041750692731472,0,0,0,0,0,0,0,0.088599278608523,0,0.03368202901153,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071146761513511,0.00521425809900713,0,0,0,0,0,0,0,0,0,0.128697544713375,0,0,0,0,0,0,0,0,0.0525561328991945,0,0,0.088826776183587,0,0,0,0,0.290369316718691,0,0,0,0.11961354196057,0,0.0725611934256138,0,0,0,-0.0176108482398579,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00926439642858034,0,0,0,0,0,0.0089324537999804,0,0.278411416263239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0707183549764899,0,0,0,1.73472347597681e-18,0,0,0.399782496584039,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00804431484176324,0,0,0,0,0,0,0.29001020064124,0,0,0,0,0.137637489875797,0,0,0,0,0,0,0,0.214932666486152,0,0,0.191623867955015,0,0,0,0,0.0249420826023949,0,0,0,0,0,0.00609039869986017,0,0,0,0.00308896121333961,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0.0197945110605758,0,0,0.0591808041506651,0,0,0,0,0,0,0,0,0,0,0,0.0225411356673999,0.0209833598629261,0,0,0,0,0,0.0450473305877877,0,0,0.0536857863261256,0,0,0,0,0,0,0.162273244927195,0,0.038425547030163,0,0,0,0,0,0,0,0,0.220062573678989,0,0,0,0,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0.0211864923257636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0281937542177066,0.0132525101059597,0,0,0.0952938399506263,0,0,0,0,0.101453925400084,0,0.0177593436814396,0,0,0,0.163056752886419,0.00980396145361359,0,0,0,0.00677296200250853,0,0.15181035495536,0.169306665229491,0,0,0,0,0,0,0,0,0,0
