,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X000708.SZ,X601898.SH,X600886.SH,X601600.SH,X600660.SH,X600010.SH,X600362.SH,X600801.SH,X600188.SH,X600352.SH,X600795.SH,X601991.SH,X002460.SZ,X002466.SZ,X000786.SZ,X600688.SH,X601992.SH,X600111.SH,X002271.SZ,X000723.SZ,X600176.SH,X600027.SH,X002353.SZ,X600516.SH,X600583.SH,X600426.SH,X000898.SZ,X600299.SH,X600489.SH,X000709.SZ,X000883.SZ,X601158.SH,X600219.SH,X000629.SZ,X600612.SH,X000027.SZ,X000630.SZ,X000792.SZ,X000553.SZ,X600808.SH,X000825.SZ,X000878.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.038534727524105,0.136503695425792,0,0.045984977530172,0,0,0.007290635764548,0,0,0.171910225101442,0,0,0,0,0,0,0,0,0,0.00877474809528677,0,0,0,0.0170193869028857,0,0,0,0,0.0451357709903734,0,0,0,0,0,0,0,0,-0.0379115719818127,0,0,0,0,0,0,0,0,0,0,-0.0188544076195233,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.0369941370577577,0.0455819487312041,0,0,0,0,0,0,0.145265214704116,0,0,0,0,0,-0.00396808269228596,0,0,0,0.0275489176530172,0,0,0,0.0343707699148501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0163916852213161,0,0.0782170662329562,0,0.00617953986395191,0,-0.00320998729937705,0.0142190936481086,0,0,0,0.0173129688320196,0,0
X601088.SH,0,0,0,0,0,0,0,0.00904139640264987,0.0163388876562301,0.0521314138414434,0,0,0,0,0,0.073017297086222,0.343978613428055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0144188211976645,0,0,0,0,0,0,0,-0.00602166680183348,0.00334650025089333,0,0,0,-0.00897654489939694,0,0
X600585.SH,0,0,0,0,0.0627234165454974,0,0,0,0,0,0.0257308925388545,0,0,0,0,0.368569358045588,0,0,0,0,0,0,0.0696993720652304,0,0,0,0.0258594028316906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022247923548013,-0.0168308142779291,0,0,0,0,0,0
X600309.SH,0,0,0,0.0462554942316902,0,0,0.0970353788774456,0,-0.0253308275653045,0,0,0,0,0,0,0.232552364616493,0,0,0,0,0,0,0,0,0,0,0.0685242452217697,-0.225767231298155,0,0,0,0.0997268998018409,0,0.0716852479746962,0,0,0,0,0,0,0,0,0,0,0,-0.0500615226071792,0,0,0.0904374116793499,0,0,0,-0.0764645062813822,0,0,0,-0.101082897685662,0,0
X600019.SH,0,0,0,0,0,0,0,0,0.0617735074995812,0,0,0,0,0.114709910710858,0.109465050110658,0.0373090993333728,0,0,0,0,0,-0.0035002664320131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0847994989345045,0,0.0327458877322157,0,0,0,0,0.0018617200302059,0,0
X600547.SH,0,0,0,0,0,-0.0247867304113867,0,0,0,0,0,0,0,0,0,-0.00971160735240068,-0.0307154085073285,0,0,0,0,-0.0809333467263037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.942533778397103,0,0,0,0,8.67361737988404e-19,0,0,0,0.0471363562425197,0,-0.102796176348794,0,-0.0601872917333105,0,-0.0320344193397203,0.0194582326445466,0,0,0,0,0,0
X600011.SH,0,0,0.0305952613239639,0,0,0,-0.0237516095504596,0,-0.0574312346338655,0,0,0,0,0,0,0,0,0,0.392347376803447,0,0,0,0,0,0.170856841517048,-0.110842818919524,0,0,0,0.153694497639064,0,0,0.062243799697202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025863373760667,0,0,0,-0.0123943040750291,-0.0043491970870384,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127305942417269,0.126042716688098,0,0,0,0,-0.0630134122225972,0,0,0,0.525950763200295,0,0,0.104271452773395,0,0,0.0138519564583268,0,0,0,0,0.253336988370946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0499644316300617,0.0274647234748697,0,0,0,0,0,0
X601898.SH,0.399227452290454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497601960705785,0,0,0,0.00349006035828757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160264205623736,0,0,0,-0.00534709244266053,-0.0508937035462801,0.0378438594353665,0,0,0,0,0,0
