,X601857.SH,X600028.SH,X601088.SH,X600010.SH,X600011.SH,X600886.SH,X600585.SH,X600019.SH,X601898.SH,X600795.SH,X601991.SH,X601600.SH,X600688.SH,X600027.SH,X600157.SH,X002075.SZ,X600362.SH,X600111.SH,X600188.SH,X600583.SH,X000539.SZ,X000709.SZ,X601158.SH,X000027.SZ,X601992.SH,X600309.SH,X000898.SZ,X000883.SZ,X600021.SH,X600352.SH,X600660.SH,X600022.SH,X000792.SZ,X600307.SH,X000629.SZ,X601918.SH,X600863.SH,X600098.SH,X600623.SH,X002470.SZ,X600808.SH,X600578.SH,X600489.SH,X600612.SH,X000825.SZ,X000060.SZ,X600160.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.734786094217792,0.101835230351392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.106304354394407,0,0,0,0,0,0,0,0,0,0,0.0416977944919331,0,0,0,0,0,0,0,0,0,0,0,0,0.00161343273114529,0,0,0.0242254993353502,0,0,0,0
X600028.SH,0.371210636882366,0,0.00185940438051132,0,0,0,0.0489296509144337,0.235521178253276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152770246658529,0,0,0,0,0.00494656765130954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00830004575501944,0,0,0,0,0,0,0
X601088.SH,0,0,0,0.233046183920558,0,0,0,0,0,0,0.238569490084424,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.00246536554898796,0,0,0,0,0,0,0.0530418010815473,0,0,0,0,0,0,0.132385355936433,0,0,0,0,0,0,0,0,-0.00343864944611268,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0.20192572551711,0,0,0,0,0,0,0,0,0.141266258206505,0,0.281058449764991,0,0,0,0.016290024650293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163517321092251,0,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0.63091192934705,0,0,0.117954339979386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00168355382185934,0,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0.0197515358675651,0,0,0,0,0,0.129293725854093,0,0,-1.35525271560688e-20,0,0,0,0,0,0,0.102024920977969,0,0,0,0,0,0,0.0443485475725997,0.149637933719102,0,0,0.000181927171480194,0,0.125757101504857,0,0,0,0,0,0,0,0,0,0,0.0547228048532203,0,0,0,0,0,0,-0.0202875819583351,0,0,0,0,0,0,0
X600019.SH,0,0,0.20884077190954,0,0.128264014367997,0,0,0,0.0199695501684192,0,0,0,0.0420082803544544,0.0558055414530687,0,0,0,0,0,0,0,0,0,0,0,0,0.323702673805828,0,0.0664627936556236,0,0,0,0,0,0,0,0,0.0038878055874489,0,0,0,0,0,0,0,0,0,0,-0.0110995572973086,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0.171960243677391,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0.0180143375767968,0,0,0,0,0,0,0,0,0,0,0,0,0.18063917942456,0,0,0.272713099472013,0,0,0.0937151649145535,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.162899717312843,0,0,0,0,0,0,0.0635521291828526,0,0,0,0,0,0.0386572869720482,0,0,0.0321454612075216,0,0,0,0,0,0,0,0,0.261795613475076,0,0,0,0,0.234289196276611,0,0,0.056446774358429,0,0,0,-0.00404650181688948,0,0,0,0,0,0,0
X601991.SH,0,0,0.00436889373464884,0,0.217779344824456,0,0,0,0.0329437197066714,0,0,0,0,0.158790842307011,0,0,0,0,0.226161369239536,0,0,0,0.0152200890933415,0,0.0501743445515483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0703813614204031,0,0,0,0,0,0,-0.0113846355419059,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0.0270249691099457,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00711560532097909,0,0,0,0,0,0,0,0,0,0,0,0,0.0102366318674499,0.0120108881712627,0,0,0,0,0.30477342553933,0,0,0.145958666175174,0,0,0,-0.00259508155250119,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,-0.0945477974686266,0,0,0,0,0,0,0.278563334785365,0,0,0,0,0,0.318485321746686,0,0,0,0.112168688193042,0,0,0,0,0,-0.151012699236597,0,0,0,0,0,0.311998427675558,0,0,0.0554832125806322,0,0,0,0,0,0,0,-0.105832586436753,0,0,0,0,0,0,0,0,0
