,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600019.SH,X600585.SH,X601898.SH,X601991.SH,X601600.SH,X600010.SH,X600795.SH,X600188.SH,X600111.SH,X600362.SH,X600886.SH,X600027.SH,X601992.SH,X600688.SH,X600309.SH,X600583.SH,X601158.SH,X000898.SZ,X000709.SZ,X000792.SZ,X000883.SZ,X000539.SZ,X002353.SZ,X000027.SZ,X000825.SZ,X600489.SH,X000629.SZ,X000630.SZ,X600547.SH,X600549.SH,X600352.SH,X600578.SH,X600808.SH,X000831.SZ,X600008.SH,X600307.SH,X601699.SH,X000959.SZ,X600098.SH,X600660.SH,X000983.SZ,X600315.SH,X600863.SH,X002470.SZ,X000937.SZ,X601168.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600688.SH,0,0.110230305673236,0,0,0,0,0,0,0,-0.0136683766358796,0,0.278331053459695,0,0,0,0,0,0,0,0,0,0,0,0,0.0426024659246403,0,0.0208407271310678,0.212820968383354,0.0366641206184348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0158151077964567,0,0.170480588151692,0,0,0,0,0
X600309.SH,0,0,0,0,-0.0273205565779025,0,0,0,0,-0.0893265898690824,0,0,0,0,0,0,0,0,0,0.271333175205854,0,0,-0.0144188181003321,0,0,0,0.0848990417175896,0.163138742969676,0,0,0,0.0779836466336885,0,0,0,0,0,0,0,0,0,0,-0.0687764315717976,0.0674276540197671,0,0,0,0.0253681363962237,0,0,0,0.0281171202357545,-0.00473800818187502,0,0,0,0,0,0
X600583.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0808980620743813,0,0,0,0,0,0,0,0.00356926162958853,0,0,0,0,0,0,0,0,0.0546015938153381,0,0,0.0897291621444595,0,0,0.0614829322787506,0,0,0,0.0399581453201232,0,0,0,0,0,0,0,0.0764396133944846,0,0,0.0138010057429886,-0.00872026491338497,0,0,0,0,0,0
X601158.SH,0,0,0,0,0.0928321194566704,0,0,0,0.157514765670937,0.011692271818745,0,0.0416596759644601,0,0,0,0,0,0,0,0,0,0.0312872001559187,0,0,0,0,0,0,0,0,0,0.113734910947889,0,0,0,0,0,0,0.0671662138865873,0,0,0.0377758259599034,0,0,0,0,0,0,0.0021647290833344,0,0,-0.022707861854684,0,0,0,0,0,0,0
X000898.SZ,0,0,0,0,0,0,0,0,0.194450031994707,0.15023193920019,0,0,0,0,0,0,0,0,0,0,0,0,0.124436014726911,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0.129251052452115,0,0.102347556437996,0,0,0,0,0,0,0,0,0,0.0102137093614216,0,0,0,0,0,0,0
X000709.SZ,0,0,0,0,0.297667012149891,0,0,0,0,0,0,0,0,0,0,0,0.200704239262281,-0.00370705873449794,0,0,0,0.230223566813786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0600682079343593,0,0,0,0,0.165840683396819,0,0,0,0.047194583486217,0,0,0,0,0,0.031558604239467,-0.0183010285157082,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0.020815271523567,0,0,0,0,0.0583713737967796,0,0,0,0,0,0.0983329993609667,0,0,0,0,0,0.0160189875172072,0.0846935101761534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0163923061419382,0.0974856825237662,0,0,0,0,-0.0205513086268481,-0.0603759188644514,0,0,0,0,0,0
X000883.SZ,0,0,0,0,0,0,0,0,0,-0.311495436435135,0,0.104955923455302,0,0,0,0,0,0.0603189270198345,0,0,0.137071610738372,-0.0663943695609001,0,0,0,0,0,0,0.16372609925279,0,0.0823533153457503,0,0,0,0,0,-0.0666983208494122,0,0,0,0.140512197069669,-0.189488647329206,0.099136399648651,0,0,0.158474954262402,0,0.0280911031024276,0,0,0,0.0411459669391885,-0.00821958686431681,0,0,0,0,0,0
X000539.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0948650123220925,0,0,0,0,0,0.0140381057968966,0.00136513933114343,0,0,0,0,0,0,0.0438332206367356,0.0219163873509978,0,0,0,0,0,0,0.00527311955288595,0,0,0,0,0,0,0,-0.000360828220161678,-0.041854156296104,0,0,0,0,0,0
X002353.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0.0417830655028523,0.155010807664994,0,0,0.171023931798025,0,0,0,0,0,0,0,0,-0.0769162538801587,0,0,0.139395076144769,0,0,0.018264959582539,0,0,0.00093659690318649,0,0,0,0,0,0.0743943023146658,0,0,0,-0.0426485489607584,0,0,0,0,0,0,0
X000027.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.400087534542864,0,0,0.241807127983882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115024225606967,0.0543653418932464,0,0.0583245716094886,0.0338434542451599,0,0.0212895677061728,0,0,0,0,0,0,0,0,0,0,-0.0698122893554465,0,0,0,0,0,0
X000825.SZ,0,0,0,0,0,0,0,0,0,0.0463251359144173,0,0,0,0,0,0,0,0,0,0,0,0.270452696955774,-6.93889390390723e-18,0,0,0,0,0,0,0,0.163161899873971,0,0,0,0,0,0,0,0,0.144863552698392,0,0,0,0,0,0,0,0,0,0.169392130461633,0,0.0644614821675081,-0.076088339667149,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,0.0774608101118884,0.144867908037243,0,0,0,0,0.150823637390726,0,0,0,0,0.0323752402013543,0.131749197419517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00238928306936393,0,0,0.0586684861422767,0,0,0.128882141206417,0,0.122021586718726,0,0,0,-0.0250705184448182,0.0046676195828701,0,0,0,0,0,0
X000629.SZ,0,0,0,0,0,0,0,0,0.0529582830210792,0.112021191482035,0,0,0,0,0,0.123348833986945,0,0.0919668128460051,0,0,0,0,0.679142087339698,0,0,0,0,0,0.16032487735662,0,0,0,0,0,-0.0535386003269871,0,0,0,-0.0644741530571307,0,0.0349218458710634,0,0,0,0,0,0,0,0,0,0,-0.00652884844083192,-0.0142543105667369,0,0,0,0,0,0
X000630.SZ,0,0,0,0,0,0,0,0,0,0,0,0.103539646330917,0,0,0,0,0,0,0,0,0.033852234433108,0,0,0,0,0,0,0,0,0,0,0,0,0.166686018451755,0,0,0,0,0,-0.0251041847224744,0,0.0388373148552833,0,0,0,0,0,0,0,0.0688943647915378,0,0.0129474827349924,-0.00937389949431535,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0.173799292864631,0,0,0,0,0,0,0,0,0,0.0350012552338353,0,0,0,0,0,0,0,0,0,0,-0.0386723100037659,-0.010094282635261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0.0591972736417113,0,-0.0519823876631061,-0.00843436394940551,0,0,0,0,0,0
X600549.SH,0,0,0,0,0,0,0,0,0,0.107300292911311,0,0,0.338145151501043,0,0,0,0.0728637394564401,0,0,0,0,0,0,0,0,0,0.113763992972649,0,0,0,0,0,0,0,0,0,0,0.0599656394394815,0.0167572407064848,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.00238571143087691,-0.00750450818938077,0,0,0,0,0,0
X600352.SH,-0.028441575328515,0,0,0,0,0,0,0,0,0,0,0,0.0757598159582789,0,0.0530369235722896,0,0.0420814654978299,0,0,0.234568249012223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00638988345060758,0,0,0,0,0,0,0.116374470968562,0,0,0,0,0,0,0,0.0396468925819297,0.00207392291735558,0,0,0,0,0,0
X600578.SH,0,0,0,0,0,0,0,0,0,0,0,0.0440400280778522,0,0,0,0,0,0.0766808116922401,0,0,0.0529928590358095,0,0,0,0,0,0,0.0701337412381065,0.0324378633396913,0,0,0,0,0,0,0,0.000443714468155221,0,0.142592857188719,3.46944695195361e-18,0,0.0792886688189703,0,0,0,0,0.248763151017607,0,0,0,0,-0.0147744708472732,-0.0180126834095178,0,0,0,0,0,0
X600808.SH,0,0,0,0,0,0,0,0,0,0.128770614704924,0,0,0,0,0,0,0,0,0,0,0,0.0522595940196367,0.073646857715984,0,0,0,0,0,0,0,0,0,0,0,0,0.35048177261584,0,0,0,0.244563520939691,0,0,0,0,0,0,0,0,0,0,0,0.0214920482440833,-0.0921418059523075,0,0,0,0,0,0
X000831.SZ,0,0,0,0,0,0,0.00536869773734284,0,0.172909708623882,0,0,0.0509110661437827,0.152354040609894,0.115408260306158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174021995787082,0,0,0,0,0,0,0.0903931463274099,0,0,0,0,0,0,0,0,0,0,0.00411507283607095,-0.0160858189215181,0,0,0,0,0,0
X600008.SH,0.0154653571270229,0,0.0499851114524119,0,0.00881501963425592,0,0,0,0,0,0,0.133637258354343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124286569554313,0,0,0,0,0,0,0,0,0.243180141649618,0,0,0,0.0404641594197461,0,0.0163411955061545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600307.SH,-0.185559823891809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0.181000596916317,0.35996741145927,0,0,0,0,0,0.0196788910484115,0,0.053790905775562,0,0,0,0,0,0.126691922721256,0,0,0,0,0.123277854970985,-0.0176770171266852,0,0,0,0,0,0,0,0,0.0298008057917903,0,0,0,0,0,0,0
X601699.SH,0,0,0,0,0,0,0,0,0,0,0,0.185241027350817,0,0,0,0,0.0324724453162281,0,0,0,0,0,0,0,0,0,0,0.0447421498873721,0.0408893631775205,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055143676210696,0,0,0,0,0.0921234790126147,0.345612022846774,0.0835485742886079,0,-0.0291056548398576,0,0,0,0,0,0,0
X000959.SZ,0,0,0,0,0,0,0,0,0.0391911544878281,0,0,0,0,0,0,0,0,0,0,0,0.185018187115163,0,0.173864347164888,0,0,0,0,0,0,0,0.0515090818781749,0.0662859839174175,0,0,0,0,0,0,0.00473405398169148,0.162991127890774,0,0,0,0,0,0,0,0.0465901677797882,0,0,0,-2.16840434497101e-19,0.0102030924475325,0.0325024044264657,0,0,0,0,0
X600098.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0255581499443704,0,0,0,0,0.181470906585193,0,0,0,0.0603835912560014,0,0,0,0,0,0.180368410930104,0.00796534567457528,0,0.0853897438230556,0,0,0,0,0,0,0,0,0.112493275634081,0,0,0,-0.0139094715810631,-0.00354503199902149,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0505546715531158,0,0,0,0,0,0,0,0,0,0.125504244207623,0,0,0,0.00426895683619772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072034089650961,0,0.0557253528946934,0,0.0519729169204723,0,-0.0337075025220937,0,0,0,0,0,0,0
X000983.SZ,0,0,0,0,0,0,0,0,0.0830689896958456,0.0384316311534926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107304855227337,0.0332387713155567,0,0.0300328911451668,0,0.420473805096096,0,0,0,0,0,0,0,0.194757223342261,0,0,-0.0135291007566339,0,0,0,0,0,0,0
X600315.SH,0,0,0,0,0,0,0,0,0,0.101066559350929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0642357940259228,0,0,0,0,0,0,0,0,0,0.20375660182719,0,0,0,0,0,0,0,-0.00387278951665811,0,0,0,0,0,0,0
X600863.SH,0,0,0,0,0,0,0,0,0,0.0421396293663254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0433791915541945,0,0,0,0,0,0,0,0.364343069384739,0,0,0,0,0,0,0,0,0,0,0,0.0116332008582046,0,0.263259278661665,0,-0.01279649500539,0,0,0,0,0,0,0
X002470.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.190645352370847,0.0231011901016498,0,0,0,0,0,0,0,0.0696106486906719,0.124469223976407,0,0,0,0,0,0,0.0840362580656915,0,0,0,0,0.0438355513580781,0,0,0,0,0,0,0,0.136778998399865,0,0,0.00857244372224234,0.106263506010793,0,0,0,0,0
X000937.SZ,0,0,0,0,0,0,0,0,0,0,0,0.120687904147138,0,0,0,0,0.00271628814606453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0147111237563084,0,0.0148978984716775,0,0.464813111014772,0.0707188618442633,0,0,0.162351053338187,0,0,0,0,0,0,-0.00170683462559748,0.0129667259100843,0,0,0,0,0,0
X601168.SH,0,0,0,0,0,0,0,0,0.0212764001067108,0,0,0,0,0,0,0,0.0162508597230229,0,0,0.0769492316532436,0,0,0,0,0,0,0,0,0.092122512023672,0,0.0372641462507119,0,0,0,0,0,0,0,0,0,0,0,0,0,0.427043422894551,0,0,0.0177954232959648,0,0,0,0,-0.00730262823061768,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0.113408781108175,0,0,0,0,0,0,0,0,0,0,-0.0281083319630486,-0.123391574645792,0,0,0.112707655807417,0,0.0254073421818071,0,-0.0346436311669116,0,0,0.0974210002420256,0,0,0,0,-0.00995641329628729,0,0,-0.0113034094738455,0,-0.0351884419254753,0,0,0,0,0,0,0,0,0,0.0248645803435444,-0.071396423587415,-0.106392088731864,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.414038782429869,0,0,0,0.993438925467641,0,-0.00795401555148086,0,0.470110438548097,0.593214153970952,0,0,0,0,0,0,0,-0.52637667537542,0,0,0,0,-0.070875308096092,0,0,0,0.609887016210806,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.118552234787583,0,0,0,0,-0.116062355659601,0,0,0,0,-0.49907925494244,0,-0.242451400765815,0,0,0,0,0.2086758601654,0,0,0,0,0,0,0,0,0,0,0,0.206845317324698,0,0,-0.909848937885875,0.447286330810143,0,0,0,0,0.732888898160489,0,0
RealEstate_excess,0,0,0,0,-0.300713302671891,0,0,0,0,-0.0183014120502425,0,-0.0262539268277055,0,0,0,-0.131850213774144,0,0,0,0,0,0,0,0,0,0,0,0,0.0586196739550168,0,0,-0.140428195375503,0,0,0,0,0.0430225303027007,0,0,0.0823613983194448,0,0,0,0,0,0,0,0,0,0,0,0.0120556102253914,-0.0749433799290677,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.054624297847434,-0.283564203047742,0,0,0,0,0.00673219136206875,0,0,0,0,0,0.051556698904117,0,-0.201969973192184,0.102538578545954,0,0,0,0,0,-0.00368130284811646,0,0,0,0,0,0,0.0473037457473004,0,0,0,0.0165207056535795,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00105952458058291,0,0,0,0,0.00527487692891496,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0.0938722957121236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0765982398553754,0,0,0,0,0,0,0,0,0,0,0,0,0.054571051139633,0,0,0,0,0,-0.0538963880698887,0,0,0,-0.0881647904153556,0.127103999032391,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00186645560812151,0,0,0,-0.00453386647984639,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,-0.00676752631159929,0,0,0,0,0,0,0,0,-0.00761616569814068,0,0,0,0,0,0,0,0,0,0,0,-0.00563169473771081,0,0,0,0,0,0,0,0,0.0057530729159912,0,0,0,0,0,0,0,0,0,-0.00491107249279348,-0.00515009285599934,0,0,0,-0.305061676936473,0,0
