,X601857.SH,X600028.SH,X600309.SH,X601088.SH,X002460.SZ,X600585.SH,X600111.SH,X600019.SH,X002466.SZ,X002271.SZ,X600660.SH,X600010.SH,X000301.SZ,X000708.SZ,X601600.SH,X601898.SH,X600362.SH,X600188.SH,X600547.SH,X600426.SH,X600176.SH,X000786.SZ,X600011.SH,X600219.SH,X600886.SH,X000408.SZ,X000825.SZ,X300037.SZ,X600399.SH,X000932.SZ,X601991.SH,X600803.SH,X600795.SH,X002080.SZ,X002409.SZ,X000959.SZ,X600549.SH,X600486.SH,X000898.SZ,X000807.SZ,X002192.SZ,X600352.SH,X000027.SZ,X002145.SZ,X002407.SZ,X600489.SH,X000723.SZ,X601699.SH,X000630.SZ,X000830.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0957066005694519,0,0,-0.0451514870435585,0.0284495499598935,-0.00277326684587914,0,0.0391070096325407,0,0,0,0,0,0.0687483530357846,0,0,0.0195661075471149,0,0,0,0,0,0,0,0,0,0,-0.00412031897551992,0,0,0,0,0,0,0.0677526711477066,0,0,0,0,0,0,0.0605017836705341,0,0,0,0.00568228381296335,0.0688323348271156,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0.0747590114869166,0,0,0,-0.0424540950684711,0,0,0,0,0,0,0,0.0457401579959376,0,0,0,0,0,0,0.0289453619269395,0,0,0,0,0,0,0,0,-0.0177149679427347,0.0128902012744563,0,0,0,0,-0.0349525789296794,0.0300202120394971,0,0,0,0.0599553265815821,0,0,0,0,0,0,0,0.0128959388667084,0,0.0612452031631329,0,0,0.0221967932056686,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0.0409584467699631,0,0,0,0,0,0,0,0,0,0,0,0,0.101371255859577,0,0.171993979666907,0,0,0,0,0,0.0200908786870954,0,0,0,0,0,0,0.0477792642345062,0,0,0.0536334165507576,0,0.0760800260058154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.0892652394595662,0,0,0,0,0,0,0,0,0.0584767131008904,0.00625234218421864,0,0.226809979577727,0,0,0,0.0482283778780624,0,0,0,0,0,-0.060186402795414,0,0,0,0,0,0,0,0,0.00202235800357538,0,0,0,0,0,0,0,0,0,0.0152209275617174,0.00847195768431949,0,0,0,0.0108378114828952,0,0,0,0,0,0,0
X002460.SZ,0,0,0.0690361950484285,0,0,0,0,0,0.104946941096837,0,0,0,0.110685526728308,0,0.196555720455804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.77555756156289e-17,0.346196868921801,0,0,0.100923311046805,0.0740648486314107,0,0,-3.46944695195361e-18,0,0.174103448347759,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,-0.0913485871428052,0,-0.0685590591741668,0.0462761456258388,0,0.0755895652966251,0.0477295179143371,0,0,0,0,0,0,0,0.0788650006393679,0.133062396504962,0,0,0,0.00890598479896642,0,0.0583185515958981,0,0,0,0,0,0,-0.0540406961901704,0.0624516428502838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0694254936998941,0,0,0,0,0,0
X600111.SH,0,0,0,0,0.0357990463526457,0,0,0,0,0,0,0.166938066774911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108558471289668,0,0,0,0,0,0,0.0836513823385902,0,0.199826239570243,0,0,0.155225549323737,0.181103704039551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0.0755840904478101,0,0,0.0161322721304919,0,0,0.00425155292103275,0,0,0,0,0,0,0,0,0,-0.0604942391162233,0,0.181050280298745,0,0,0,0,0,0,0.0415587166757764,0,0.355333151998647,0,0,0,0,0,0,0,0,0,0,0,0,0.0160898665499708,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0.197235600638119,0,0,0,0,0,0,0,0,0,0.259907607298023,-0.276910960220963,0,0,-0.0172637266009305,-0.00399085849141442,0,0,0,0.208985122940209,0,0,0.0508881020478707,0,0,0,0,0,0.11532752267799,0,0,0,0,0.119526915670258,0.374280504751636,0,-0.0163686569531892,0,0,0,0,0,0,0,0,-0.298886400888719,0,0,0,0,0,0,0
X002271.SZ,0,0,0.0530201663497281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.121037394525055,0,0,0,0.0486130528947952,0,0,0.179897285706967,0.15284991510905,-8.67361737988404e-19,0.0802234917798286,0.157546261007298,0,0,0,0,0,-0.0188445629335734,0.177765088523609,0,0.153404434042194,0,0.0434443616683163,-0.0914096307790586,0,0,0.0646646253907368,0,0,0,0,0,0,0,0.0150324441823896,-0.0213915770881095,0,0,0,0,0,0
