,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X000708.SZ,X600011.SH,X601898.SH,X600886.SH,X600010.SH,X002460.SZ,X002271.SZ,X601600.SH,X600801.SH,X600660.SH,X600362.SH,X000786.SZ,X600688.SH,X600188.SH,X600352.SH,X600795.SH,X601991.SH,X601992.SH,X600111.SH,X002466.SZ,X600027.SH,X600299.SH,X600489.SH,X000723.SZ,X000401.SZ,X600176.SH,X000553.SZ,X000898.SZ,X601158.SH,X600219.SH,X000792.SZ,X600516.SH,X600426.SH,X002075.SZ,X000932.SZ,X000883.SZ,X000709.SZ,X600583.SH,X002353.SZ,X600126.SH,X000027.SZ,X000630.SZ,X600612.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312113518261299,0,0,0,0.0159575352215835,0.0350528528708844,0,0,0,0,0,0,0.0265808179218752,0,0,0.0196205173085172,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,6.93889390390723e-18,0,0,0,0,0.103329241296884,0,-0.00520944201026978,0,0,0,0,0,0,0
X600028.SH,0.264796156175401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0445589084380338,0,0,0,0,0,0,0.00405121047417176,0,0,0,0,0,0,0.0286711149665025,0,0,0,0,0,0,0,0,0,0,0.134467953704292,0.0136637431172447,0,0,0,0.04692932854632,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.0414103321789457,0,0,0.0662195582489948,0,0,0,0,0,0,0,0,0.0420976582025629,0.0448302005052023,0,0,0,0,0,0.204966836267786,0,0.0258088119671005,0,0,0,0.0143637142973761,0,0,0,0.140481628062972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.437591258461785,0,0.0817938113901971,0.0221552201176868,0,0,0,0,0,0,0,0.031256432869227,0,0,0,0,0.0902508443156548,0.0198834339732293,0,0,0,0,0,0,0,-0.041787868951226,0.101238641632327,0,0,0,0,0,0,0,0,0,-0.000812785135852411,0.00557442801787629,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0832834772043221,0,0,0.10710061286241,0,0.0393691724759549,0,0,0,0,0,0,0,0,0.0154729586246788,0,0,0,0,0,0,0,0,0,0,0,0.139744403652323,0.00849298772800291,0,0,0,0,0.0696350928148338,0.0685994332831757,0,0,0,0,0,0,0.0241318437103948,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.0085952108679194,0,0,0,0,0,0,0,0.0459886017952026,0.157535342500814,0.193706727146908,0.0349669213717151,0.029607445002982,0,0,0,0,0,0,0.00594319657481889,0.136638277666039,0,0,0,0.0426752400068101,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0413218095657947,0,0,0,0,0,0,0.00593933508507776,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390189758492515,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0.881169997049562,0,-0.0466180142591768,0,0,0,0,0,0,0,0,0,0,0,0,-0.0287342870026395,0,0,0,0,0.319048157844212,0.014092384057029,0.0147743214088637,0.0108593743790126,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205157445690836,0,0.0422105678209392,0,0,0,0,0,0.0945868255246482,0,0,0,0,0,0,0.137960248465175,0,0,0.142230119760084,0,0,0,0,0,0,0,0.0671463774018801,0,0,0,0,0,0.204313365287862,0.0671793837299372,0,0,0,0,0.0285916955670752,-0.0126465986954051,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0325455435193572,0,0,0,0,0,0,0,0,0.161008419262895,0,0,0,0,0,0.593711970113145,0.0472250098903922,0,0.0315667138876479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0331777219112396,0,0,-0.012631029356486,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00648582443881694,0.0256257133661881,0,0.421717914624943,0,0,0,-8.67361737988404e-19,0.0887838902312423,0,0,0.0277714512745776,0,0,0,0,0,0,0,0,0,0.0253828741690531,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000355239848001217,0,0,0,0,0,0
