,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600547.SH,X600019.SH,X600011.SH,X000708.SZ,X002271.SZ,X600660.SH,X002460.SZ,X600886.SH,X600801.SH,X000786.SZ,X601600.SH,X601898.SH,X600362.SH,X600010.SH,X600489.SH,X600176.SH,X600352.SH,X601991.SH,X600111.SH,X600188.SH,X600027.SH,X600795.SH,X600426.SH,X600299.SH,X600688.SH,X002466.SZ,X601992.SH,X002080.SZ,X002353.SZ,X600529.SH,X600219.SH,X600612.SH,X600486.SH,X600315.SH,X000723.SZ,X000027.SZ,X000301.SZ,X000932.SZ,X002075.SZ,X002409.SZ,X600126.SH,X600516.SH,X000898.SZ,X601158.SH,X000883.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0.0560666260617852,0.0428644829777711,0,0,0.100323864746939,0,-5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102447452626673,-0.0212641258230684,0,0,0,0.00474630492462056,0.0598658734136825,0,0,0,0,0,0,0,0,0,0,0,-0.00300965582228315,-0.00353927534098522,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.00357623502327977,0,0,0.045527556085777,0.00412284817354703,0,0,0,0,0,0,0,0,0.0224676634899087,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0.000740049209704335,0,0.0170206128797627,0.141825951189937,0,0,-8.67361737988404e-19,0,0,0.0161913871766068,0,0,0,0,0,0,0,0.0470587850941089,0,0,0,0.00112789475020328,0.00539426428650901,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.0235497261630251,0,0,0.138502764464943,0,0,0,0,0,0,0,0,0,0.015463550263241,0,0,0,0,0.0790413387373452,0,0,0,0,-0.0112092270777592,0,0,0.0445080158701854,-0.0266983926838319,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0.0711596252276079,0,0.0642664944176731,0,0,0,0.00396746821109675,0.00655668233235511,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0899591776119213,0,0.065228538045199,0.177968000846311,0,0,0,0.0709782775160908,0,0,0,0.0284081927990399,0,0,0.0631969715240309,0,0,0,0,0.0012888235827744,0,0,0,0.0438151316678432,0,0,0,0,0,0,0.0254610372061647,0,0,0,0,0,0,0,0.0132896306022118,8.76386781272778e-05,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0.117064744542981,0.0234339777852367,0,0,0,0,0,0,0,0,0.0336464027443591,0,0,0,0,0,0,0,0.179719204659852,0,0,0,0,0,0,0,0,0,0,0.0718675718027772,0,0,0,0,0.0348489009369088,0.0838513214048926,0,0,0,0,0,0,0.00657115796828076,-0.0202219196576272,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0.113826040587753,0,0,0,0,0,0,0,0.105445304661024,0,0.592203945485185,0,0.0355601741843824,0,0,0,0,0,0,0.0266055499251557,0,0,0,0,0,0.0268874578642615,0,0.00899212224754681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.017545732324209,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0.000328476206071899,0,0,0,0.121511960869727,0,0,0,0,0.0113233205462314,0,0,0,0,0,0,0,0,0,0,0,0,0.0588401173103748,0,0,0,0,0,0.049803029385866,0,0,0.0865308020106197,0,0.0469359131266873,0,0.0833389407171871,0,0,0,0,0.014761127294711,0.00286797007551089,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0.115765610063908,0,0,0,0,0,0,0,0,0.00767941096621715,0.0848608934211308,0.219377614930016,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0.0905027209755111,0,0,0,0,0,-0.0176307584718204,0,0,0,0,0,0.0105735927307744,0.00383236251987087,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123725855214402,0,0,0.0536105318323294,0.13707987947161,0,0,0,0,0,0,0,0,0.0164252701079948,0,0,0,0,0.00839629541898754,0,0,0,0,0,0.254455758496774,0,0,0,0,0,0,0,0,0,0,0,-0.00236761819789308,-0.00749335435371017,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0.214086106011225,0,0,0,0,0,0,0.0484030747009151,0,0,0.120151430445854,0,0,0,0,0,0,0,0,0.299325466228976,0,0,0,0,0,0,0.0342939960340082,0,0,0,0,0,0,6.93889390390723e-18,0.107109170315424,0,0,0,0,0.0308996848191785,0,0.0560583537374911,0,0,0,0,0,0,-0.00665532504257767,0,0,0,0,0,0
