,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X002460.SZ,X000708.SZ,X600547.SH,X600660.SH,X002271.SZ,X600011.SH,X000786.SZ,X601600.SH,X600362.SH,X600886.SH,X601898.SH,X600426.SH,X600176.SH,X600010.SH,X600188.SH,X000301.SZ,X600801.SH,X600111.SH,X600352.SH,X600489.SH,X601991.SH,X600795.SH,X002466.SZ,X600688.SH,X600803.SH,X600299.SH,X600486.SH,X600027.SH,X002353.SZ,X600219.SH,X300037.SZ,X000932.SZ,X002075.SZ,X601992.SH,X002080.SZ,X000723.SZ,X601168.SH,X000898.SZ,X002409.SZ,X000630.SZ,X000807.SZ,X000027.SZ,X000878.SZ,X000883.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,-0.041033756170353,0,0,0.0551582240643249,1.81586537146025e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022775179421414,0,0,0,0,0,0,0,0,0,0,0,0.0317589015175374,0.0199231456584875,0,0,0,0.0252760851772784,0.0170913531977036,0,0,0,0,-0.00924069680149945,0,0,0,0,-0.00695977944564375,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0281273026356246,0,0,0.00204256239946513,0,0,0,0.0261815960997102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039723240217661,0,0,0,0,0,0.0155237549253714,0,0.045635396925959,0,0,-0.00914426559855096,0,0,0,0,-0.0135439525559247,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0861468327120754,0,0,0,0,0,0,0,0.0240954932949462,0,0,0,0,0,0,0,0,0,0,0,0.0571494131147572,0,0.000579619214455807,0,0,0,0.0306807415684429,0,0.0436818722532843,0,0,0.00485574540992216,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0415189477467363,0,0.142881792334017,0,0,0,0,-0.0180165983473404,0,0,0,0,0,0.0307704318012515,0,0,0.0205812144070513,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0440874458115683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014456354542161,0,0,0,0,0.00560345919413472,0,0
X600309.SH,0,0,0,0,0,0,0,0.298121345154406,0.268486210734248,0,0,0,0,0,0,0,0,0.326605381537248,0,-0.107535504629818,-0.0265065246431487,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139514481413194,0.106958473127547,0.0514799465887711,0,0.158338537903974,0,0,0,0,0,0,0,0,0,-0.0417897976033169,0,0,0.00890395402957727,0.00870000654599863,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.0198532670497613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123623348984063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00937953016225443,0,0,0,0,0.162491221689185,0,0,0.0592222629215701,0,0,0.0381587229143226,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0.238115244429686,0,0,0,0,0.146697035411707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291823632781801,0,0,0,0,0,0.093045463336968,0,0.330038824521635,0,0,0,0,0,0.0917819350479532,0,0,0,-0.0819704942749307,0,0,0,0,0,-0.0135887205899668,0,0,0,-0.0386727792505313,0,0
X000708.SZ,0,0,0,0,0,0.130578783996899,0,0,0,0,0.0404081228708192,0,0,0,0,0,0,0,0,0,-0.000114257933246663,0,0,0,0,0,0,0,0.0106932515220702,0,0.14469415566754,0,0.103661360510073,0,0,0.0140511976995003,0,0,0,0,0,0,0,0,0.0311305619323133,0,0,0,0,0,0,-0.0153177641897352,0,0,0,0,0,0,0
X600547.SH,0,0,0,0.0334735777360266,0.0874060139928024,0,0.0270758429430927,0.0216710138102515,0,-0.0349714809698499,0.0381679755792986,0,0,0,0,0,0,0,-0.0741058767065245,0,0,0,0,0,0,0.630824548477665,0,0,0,0,0,0,0,0,0,0,0.0463101835200748,0,0,0,0.0203438438532475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000682595988606109,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,-0.0198023890754026,0,0,0,0,0,0,0,0,-0.0839157653488272,0,0,0,0,0.0936062639571729,0,0,0,0,0,0.11195162537031,0,0,0,0,0,0.275404028198325,0,-2.16840434497101e-19,0,0.00503923973643083,0,0,0,-0.11896127009865,0,0,0,0.013525906193112,0,0,0,0.0749324981530929,0,0,0,0.0276518763578348,0,0
