,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X601600.SH,X600011.SH,X600309.SH,X601898.SH,X601992.SH,X600688.SH,X600795.SH,X002466.SZ,X600362.SH,X600111.SH,X601991.SH,X600188.SH,X600547.SH,X300072.SZ,X600516.SH,X600660.SH,X002460.SZ,X600886.SH,X000709.SZ,X000898.SZ,X600027.SH,X600157.SH,X600339.SH,X600489.SH,X000959.SZ,X600808.SH,X600219.SH,X600549.SH,X600352.SH,X000723.SZ,X002092.SZ,X601158.SH,X000553.SZ,X000983.SZ,X600299.SH,X600008.SH,X000630.SZ,X000883.SZ,X601699.SH,X000807.SZ,X000792.SZ,X000408.SZ,X002271.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,-0.00346121910185118,0,0,0,0.0581973203043447,0,0,0.0346018859978513,0.0343707226149276,0.0702957545785148,0,0,-0.0247019590530833,-0.0307012698432998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0286017464565801,-0.0205902896013304,0,-0.0116650378608872,0,0,-0.0287512047711395,0,0,0,0.0143120956747446,0,0.0437245465711036,0,0,-0.00908960627225891,0.0159649498186454,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.123691992802844,0,0,0,0.0722320016578091,0,0,0,0,0,0,0,0,0,0,0,-0.0143034880512633,0,0,0,0,0,0,0,0,0,0,0,-0.0215560820700945,0,0.0415683999929203,0,0,0,-0.013231898140348,0,-0.0549870819079326,0,0,0,0,0,0,0,0,0,0.00625108144372635,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0.0519479037252886,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0.0562538873525985,0,0,0,0,0,0.425036017009481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0258082376958032,0.00895541646244946,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,-0.131553011926068,0.169029465812383,0,0,0,0.0169460626346078,0,0,0.16345703603749,0,0,0,0,0,-0.0942940794024296,0.224718064074868,0,0,0,-0.104665552410437,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,-0.0658639899393496,0,0,0,0,0,0,0,0,0.188999206616832,0,0,0.0130832581245673,0,-0.00416786997704566,-0.0169140805743379,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0241602084222056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221988720504732,0,0.0581579644947853,0,0,0.0163539730934028,0,0,0.0201481002787078,0,0,0,0,0.0503236628425377,0,0,0,0,0,-0.0134683348560288,0.00671981207606955,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257568168705605,0,0.162136090136112,0,0,0,0,0,0.0467041844717093,0,0,0,0,0,0.207918101388694,0,0,0,0,-0.0214475535815284,-0.0164077634662822,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0.0721564590690961,0,0,0,0,0,0.0136811507266236,0,0.141152815383624,0,0,0,-0.022677256455006,0,0.0396888483099536,0,0,0,0,0,0,0,-0.0875105064177772,-0.0295465669989936,0,0,0.0848941788419355,0,0.0709707118781247,0,0.0444957500366822,0,0,0,0,0,0,0,-0.00810253190385355,0,0,0,0.0223967416952988,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0269795220910869,0.0274842729357524,0,0,0.160681709982616,0,0,0.0438305721146538,0.165003871423397,0.0466327120742085,0,0,0,0,0,0,0,0,0,0,0.0383959883267163,0,0,0.052994848066132,0,0,-1.73472347597681e-18,0,0,0,0,-1.73472347597681e-18,0.0985152720470156,0,0,0,0,-0.0051155276679371,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0.0548218253063502,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0.218216628516813,0,0,0,0,0,0.0954089139048395,0,0.0608130023264746,0,0,0,0,0,0.158812731947926,0,0,0,0,0,0,0,0,0,0,-0.0130596210229334,0.0176007898393536,0,0,0,0,0,0
