,X601857.SH,X600028.SH,X600309.SH,X601088.SH,X600585.SH,X002460.SZ,X000708.SZ,X600660.SH,X600019.SH,X002271.SZ,X600547.SH,X000786.SZ,X600176.SH,X002466.SZ,X600426.SH,X000301.SZ,X600111.SH,X600362.SH,X600011.SH,X600886.SH,X601600.SH,X600010.SH,X601898.SH,X600803.SH,X600352.SH,X600486.SH,X002353.SZ,X600219.SH,X600188.SH,X601991.SH,X002080.SZ,X600795.SH,X600801.SH,X600489.SH,X600688.SH,X600299.SH,X300037.SZ,X000723.SZ,X600399.SH,X000932.SZ,X600027.SH,X601168.SH,X600157.SH,X601992.SH,X000027.SZ,X002409.SZ,X600315.SH,X600409.SH,X600549.SH,X300073.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,-0.00802717419741805,0,0,0,-0.00418063233170322,0,0.00329366913726669,0,0.0919542517523125,0,0,0.0134656619671434,0,0,0,0,0,0,0,0.013467109649514,0,0,0,0,0,0,0,0,0,0,0,0,0.0440339802461053,0,0,0,0,0,0,0,0,0,-0.0049425346987111,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0.0165056801114277,0,0.0341467074609644,0,0,0,0,-0.0417928439246489,0.0369961323265815,0,0,0.0129318379113954,0,0.125923521864379,0,0,0.131745214682929,0,0,0,-0.0382865241579371,0,0,0,0.0233845627574458,0,0,0,0,0,0,0,0,0,0.0200339481441858,0,0,0,0,0,0,0,0,0,0,0,-0.0168884065174357,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,-8.67361737988404e-19,0,0,0.0211481612237278,0.171642707508183,0,0,0,0,0.159275817816972,0.0182872252513498,0.0330441313365801,0,0,0,0,0,0,0,0,0.124609037793947,0,0,0,0,0.0292502107507616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0118276068057336,0.00250441132178478,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00485383590625974,0,0,0,0.0771528801429061,0,0,0,0,0.120243192747178,0,0,0,0,0,0.339165606597994,0,1.0842021724855e-19,0,0,0,0,0,0,0,-0.0092663043385566,0,0,0,0,0,0,0,0,0,0,0,0,0.029851758400549,0,0,0,0,-0.026023131915863,0,0
X600585.SH,0,0,0,0,0,0.0586531921646502,0,0,0,0,0,-0.101277023127662,0,0,0,0,-0.0224679143138929,0.0337800486677961,0,0,0,0,0.0309605530573588,0,0,0,0,0,0,0,0,0,0.229798860665573,0,0,0,-0.0293861920587092,0,0,0,0,0.0252155101406374,0,0,0,0,0,0.0860797419036458,0,0,0,0,-0.00620168293501793,0,0,0,0.00277565779076448,0,0
X002460.SZ,0,0,0,0,0,0,0,0.285529724094258,0,0.030126243167328,0,0,0,0.371075035986609,0,0.0667723165269798,0,0,0,0,-0.102693605315998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0620312234607887,0.147769567969411,0,0,0,0.176965979429187,0,0,0,0,0,0,0,0.495730476024914,0,-0.0242433682914028,0,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0.130463881158085,0,0,0,0,0,0.0387244438742053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118195863784414,0,0,0,0,0,-0.101155417108648,0,0,0,0.00400131323860261,0,0,0,0,-0.01791939635782,0,0
X600660.SH,0,0,0,0,0,0.0703004538487482,0,0,-0.0548428330921946,0.00771584201792588,0,0,0,0,0,0.0433255123804729,0,0.114653732212569,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0899480753501372,0,0,0,0,0.00341352509629451,-0.20142378546455,0.190617958534462,0,0,0,0,0,0,0,0,0,0,0,0,-0.00710125997343054,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.206601622106873,0,0,0,0,0,0,0,0,0,0.253564344060898,0,0,0,0,0,0,0,0,0,0,0.0897848539292973,0,0,0.0757717943663508,0,0,0,0,0,0,0,0,0.112121142442018,0,0,0,0,0,0,0.0945541205242514,0,0,0,0,-0.00677034369212854,0,0,0,0,-0.0130775903997989,0,0
X002271.SZ,0,0,0,0,0,0,0,0.277402594236741,0,0,0,0,0.0901034710756869,0,0.0541695787694041,0,0,0,0,0,0,0,0,0,0.0315740671702011,0,0,0.00911438709373013,0,0,0,0,0,0,0,0,0,-0.0088653143773741,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0351274943905219,0,0,0,0,0.0304226748212142,0,0
