,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600547.SH,X600010.SH,X601600.SH,X601898.SH,X601991.SH,X600688.SH,X600660.SH,X600362.SH,X600886.SH,X600188.SH,X600795.SH,X600352.SH,X600111.SH,X000723.SZ,X600801.SH,X601992.SH,X000898.SZ,X600027.SH,X600489.SH,X600176.SH,X002271.SZ,X600516.SH,X000709.SZ,X002460.SZ,X000786.SZ,X000629.SZ,X002466.SZ,X000883.SZ,X600299.SH,X600219.SH,X601158.SH,X000553.SZ,X600808.SH,X000630.SZ,X600583.SH,X600985.SH,X000027.SZ,X601699.SH,X600339.SH,X600426.SH,X000825.SZ,X000401.SZ,X600612.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.172176884800445,0,0,0,0,0,0,0,0,0.0330474020800189,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197236907238285,0,0,0,0,0,1.53800348115891e-05,0.0872512281426439,0.0216018472938923,0,0.0127831176583237,0,0,0,0,0,0,0,0,0,0,0.00478600213566938,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0392657712723194,0,0,0,0,0.00721869539431422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053948921665221,0.204128536073968,0,0,0,0,0,-0.0315039054399262,0,0,0,0.00565661902962909,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0286673262932316,0,0,0,0,0.187168850046369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0681619500743213,0,0,0,0,0,0,0.0258738885759328,-0.0925957394761879,0,0,0,0.0148896021099252,0,0
X600585.SH,0,0,0.0157220599208785,0,0,0.164824873311182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0219499374306027,0.443631319776669,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0.00532922366842392,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0.0247129200434727,0,0,-0.00793444402290027,0,0,0,0,0.0133151562393207,0,0
X600019.SH,0,0,0,0,0,0,0,-0.0075062736510906,0,0,0,0,0,0,0,0,0.0920961664924514,0,0,0,0.0129615239518003,0.268006462405621,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0612881903749902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0313340521667,0,0,0,0.00862414099761131,0,0
X600309.SH,0,0,0,0.179247703505056,0,0,0.197982802313598,0.0893334269341863,0,0,0,0,0,0,0,0,0,0,0.199043250339491,0.0270725148835507,0,0,0,0,0,0,0.0581782694953279,0,0.0732737228739683,0,0,0,0,0,0,0,0,0,0.0990422471124306,0,0,0,0,0.247425929424545,0,-0.0255632467607326,0,0,0,0,0,3.46944695195361e-18,-1.73472347597681e-18,0,0,0,0.045119224770554,0,0
X600011.SH,0,0,0,0,0,0.105225699893928,0,0,0,0,0,0,0,0,0,0,0,0,0.0723190464905532,0,0,0.0262513751731062,0,0,0.246333918680993,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0726709848279707,0,0,0,0.00653291371901118,0,0,0,0,0,0,0,0,0.0042380130998291,-0.0604522613986005,0,-0.0615557003229358,0,-0.0132798808244716,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0450365236132141,-0.0218992357482078,0,0,0,0,0,1.01452091557968,0,0,0,0,0,0,0,0,0,0,0,0,0.0054699953012366,0,0,0,0,0,0,0,0,0,0,0,0,0.0105269388781985,0,0,0.00342125380950164,0,0.021298149135923,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0.240315360016231,0,0,0,0,0.15209637468622,0,0,0,0,0.108906109822966,0,0.127961592750935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0443862573608999,0,0,0,0,0,0,-0.0106571959075312,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0.0462039906546355,0,0,0,0,0,0.110470942979067,0,0,0,0,0,0.0119913563299704,0.0439438217428735,0,0,0,0,0,0,0.0794899766772377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289388869393933,0,0,0,0,0,-0.022024607689881,0,0,0,0,0,0
