,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600547.SH,X600010.SH,X601600.SH,X601898.SH,X601991.SH,X600688.SH,X600886.SH,X600660.SH,X600362.SH,X600795.SH,X600188.SH,X600352.SH,X600111.SH,X000723.SZ,X600801.SH,X601992.SH,X000898.SZ,X600027.SH,X600176.SH,X000709.SZ,X000786.SZ,X600516.SH,X002271.SZ,X002460.SZ,X600489.SH,X000629.SZ,X002466.SZ,X000883.SZ,X600299.SH,X600219.SH,X000553.SZ,X601158.SH,X600808.SH,X000630.SZ,X600985.SH,X601699.SH,X600583.SH,X000027.SZ,X600426.SH,X000301.SZ,X600339.SH,X000401.SZ,X000825.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.154299143302143,0,0,0.013072468303904,0,0,-0.00448433828323091,0,0,0.042215585579288,0,0,0,0,0,0,0,0,0.0081721866228339,0,0,0,0,0.0237972183608384,0,0,0,0,0,0.0670003160512852,0,0.0254555124741631,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.0015087252356423,0,0
X600028.SH,0,0,0.0550062201177453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256338658529682,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0554316383565349,0,0,0,0,0,0,0,0.194930618957424,0.0102255221137545,0.002897275775148,0,0,0,1.0842021724855e-19,-0.0244409976659676,0,0,0,0.00217377574269592,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105065381698744,0,0.0108282349437812,0,0.16812154208608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00987721805189649,0,0,0,0,0,0,0,0,0.0227228271048163,-0.105790470713984,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.140206704498335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0306621734951474,0.453279081516657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0128307224691963,0,0,0,0,0,0,0,0,0,-0.004973207698724,0,0,0,0,0.0229859213641999,0,0
X600019.SH,0,0,0.135646333796157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0513286038798952,0.211056016869671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00383556326272773,0,0,0,0,0,0,0,0,0,0,-0.0271395551536134,0,0,0,0.0094735962716515,0,0
X600309.SH,0,0,0,0.1598746170503,0,0,0.136155961096669,0,0,0,0,0,0,0,0,0,0,0,0.199235427067313,0.00167235400837708,-0.00139757387605452,0,0,0,0,-3.46944695195361e-18,0,0,0.0648831402131965,0,0,0,0,0,0,-0.0159489419988749,0,0.13313667777128,0,0,0,0,0,-0.0513532301776985,0.39292210202607,0.0568357622750327,0,0,0,0,0,-0.00939621399900033,0,0,0,0,0.0278417234356802,0,0
X600011.SH,0,0,0,0,0,0.0594325814715739,0,0.123713104396786,0.0488613187001305,0,0,0,0,0,0,0,0,0,0.0482992251749101,-8.67361737988404e-19,0.104002414441566,0,0,0,0.247192610936937,0,0,0,0,-0.03162220736304,0,0,0,0,0,0,0,-0.0349223155833993,0,0,0,0,0,0,0,0,0,0.00158564365791223,0,0,0,0.0183338876533396,1.73472347597681e-18,0,-0.0547913392283927,0,0.0390484683479355,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0678372582830507,0,0,0.488144324851567,0,0,0,0,0,0.04644352815066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0278511839938466,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0.306085159010187,0,0,0,0,0,0.138577911069749,0,0,0,0.120676496009593,-0.057177183624878,0.144984141843229,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0473060640575378,0,0,0,0,-0.0116245527305451,0,0,0,-0.0135854818658338,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153203715138667,0,0,0,0.0176089890768801,0,0.0621609191653609,0,0,0,0,0,0,0.119179712988233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285397232375422,0,0,0,0,0,-0.00153704651456342,-0.0240561496603029,0,0,0,0,0,0
