,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X601600.SH,X600309.SH,X600011.SH,X601898.SH,X002466.SZ,X600688.SH,X601992.SH,X600795.SH,X002460.SZ,X600362.SH,X600188.SH,X600111.SH,X600660.SH,X601991.SH,X600547.SH,X600516.SH,X300072.SZ,X000792.SZ,X600886.SH,X000898.SZ,X000709.SZ,X600157.SH,X600027.SH,X000807.SZ,X600339.SH,X000408.SZ,X600219.SH,X600489.SH,X000959.SZ,X600549.SH,X600808.SH,X000723.SZ,X000983.SZ,X600352.SH,X002271.SZ,X002092.SZ,X601158.SH,X000553.SZ,X000883.SZ,X000630.SZ,X600299.SH,X600176.SH,X600008.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.0290317696190619,0,0,0,0,0.0113622026293893,0,0,0.0127020059608592,0,0,0.0304918871585398,0,0,0,-0.0180775009955945,0,0,0,0,0,0,0,0.0055592192173703,0,0.0158736249028406,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.0221074643002283,0,0,0,0,0,0,-0.0105980894169156,0.0214771797943927,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.125269262760804,0,0,0.0109246670366469,0,0,0,0,0,0,0.00596328516873386,0,0,0,0,0,0.0156002331323846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0762300714224885,0,0,0,0,0,0,-0.0412552579619613,0,0,0,0.0106794116884395,0,0,0,0,0,0,0
X601088.SH,0,0,0,0.074211140682365,0,0,0,0,0,0,0,0,0,0.69819232403461,0,0,0,0.0284434104302216,0,0,0,0.0251277993873608,0,-0.099576820314981,0,0,0,0,0,-2.16840434497101e-19,0,-0.0633472545892789,0,0,0,0.027188181975148,0,0,0,0,0.0164627311636371,0.0816892995485039,0,0,0,0,0,0,0,0,-0.0106700540358618,0,0,0,0,0,0,0
X600019.SH,0,0,0.0383745011258378,0,0,0,0.0682146321540312,0,0,0,0,0,0,0,0,0,0,0.0326008967921817,0,0,0,0,0.0210430553182733,0,0,0.132966782512959,0,0,0,0,0,0,0,0,0,0,0.359208822819476,0,0,0,0,0,0,0,0,0,0,0,0,-0.0588819079663003,-0.0321341374689899,0.0288608283520133,0,0,0,0,0,0
X600585.SH,0,0.409452330543443,-0.116333438319982,0,0,0,0,0,0,0,0,0,0.122748174721437,0,0,0,0,0,0,0,0,-0.0418750886859996,0,-0.168964881355681,0,0,0,0,0,0.138925346962049,0,0.166208059650323,0,0,0,0,0,0,0,0,0,-0.0190887684447749,0,0.0602612419570041,0,0,0,0,0,0,-0.0314817281327416,0.0267559458107126,-0.0716573622473093,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012616510026513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125992806693464,0.173977442518486,0,0.156587773063987,0,0,0.0549592102157171,0,0,0,0,0,0,0,0,-0.000747610280077159,0,0,0,0,0,0,0
X601600.SH,0,0,0,0.0742382267766607,0,0.1525525135232,0,0,0,0,0.0440987989779149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0464436823742264,0,0,0,0,0,0.115026929595724,0.213815741899913,0,0.102170931185073,0,0,0,0,0,0,0,0,0,0,0,-0.0243339640888777,-0.000950692788477362,0,0,0,0,0,0
X600309.SH,0,0,0,0.00502668187102885,0,0,0,0,0,0,0,0,0,0,0,0.157927573092488,0.199465466853513,0,0.134751698897249,0,0,0.0286586275178684,0,-0.114524727396823,0,0,0,0,0,0,0,0,0.0436087186415081,0,0,0,0,0,0,0,0,0.0747612227827557,0,0,0,0,0,0,0,0,-0.00949044108298595,0.0129990003190477,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.0439533509100538,0,0,0,0,0,0,0,0,0,0.000490656248955029,0,0,0.0953904501753197,0,-0.0514094874112612,0,0,0,0,0,0,0,0,0,0.0367567674046184,0,0.012946951962666,-0.0875163976334998,0,0,0,0,0.120270285419332,0,0.0688514121276099,0,0.0173713797616408,0,0,0.0621212800356508,0,0,0,0.00885811205318522,0.00380274681776459,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0.00464537174603892,0,0,0,0,0,0,0,0,0.130037142510821,0,0,0,0,0,0,0,0,0,0.140205845609928,0,0,0,0,0,0,0,0,0,0.116090070040306,0.158495277080924,0,0.0257690681103614,0,0,0,0,0,0,0,0,0,0,0,0,0.0137456702191265,0,0,0,0,0,0
