,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X600688.SH,X601898.SH,X601600.SH,X600795.SH,X601991.SH,X600027.SH,X600623.SH,X002466.SZ,X600157.SH,X600886.SH,X600111.SH,X600362.SH,X600188.SH,X600547.SH,X601992.SH,X600660.SH,X600299.SH,X000792.SZ,X601158.SH,X600309.SH,X600583.SH,X600489.SH,X000709.SZ,X000883.SZ,X300072.SZ,X600352.SH,X000539.SZ,X000898.SZ,X002407.SZ,X000027.SZ,X000723.SZ,X002460.SZ,X600549.SH,X000630.SZ,X002470.SZ,X600176.SH,X600098.SH,X600021.SH,X000012.SZ,X000983.SZ,X600612.SH,X000959.SZ,X000629.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600352.SH,0,0,0,0,0,0,0,0.0729862883390025,0,0,0,0,0,0.0817770318865185,0,0,0,0.269296960456312,0,0,0.0261892495134218,0.0327125153776003,0,0.04418918952141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0487448536233192,0,0,0,0.227175746220274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000539.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00919451223763977,0,0,0,0,0,0,0,0.0502684056198324,0.146621972221028,0,0,0,0,0,0,0,0,0,0,0.000877939679078483,0.0669599902156798,0,0,0,0,0.00999600401165298,0.0385637782380756,0.240371112675296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000898.SZ,0,0,0,0,0,0,0,0.0253704955227055,0,0,0,0,0,0.00150833014252968,0,0,0,0,0,0.0788714218161463,0,0,0,0.172932937594379,0.15105047272867,0,0,0,0,0.0795379774944498,0,0,0.0572107652164153,0,0,0,0,0.141438935068177,0,0,0,0,0,0,0,0,0,0,0.024021212662599,0,0,0,0,0,0,0,0,0,0
X002407.SZ,0,0,0,0,0,0,-0.0568573051248966,0.0996487785339539,0,0,0,0,0,0,0.571877688871791,0.243084041671021,0,0,0,0,-0.0611467894279343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.382946250184509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000027.SZ,0,0,0,0,0,0,0.0534756802184516,0,0,0,0,0,0,0,0,0.0699845114383149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0762929843795085,0,0,0,0,0,0,0,0,0,0,0.21291958882697,0,0.182239922295219,0.104516874539239,0,0,0,0,-0.00229203290410374,0,0,0,0,0,0,0
X000723.SZ,0,0,0,0,0,0,0,0,0.214554616272387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0681617846314934,0.124945727627067,0,0,0,0,0.242447477542866,0,0,0,0,0.0847806382770313,0.00956194262763808,0,0,0.0212885004237031,0.0236552366521543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.410947299878628,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0334688917718688,0,0,0,0,0,0,0.438512247037259,0,0,0,0,0,0,0,0,0,0.0584414122529339,0,0,0,0,0,0.0227784604790906,0,0,0,0,0,0,0
X600549.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0672161831585981,0,0,0,0.366247222725564,0,0.394646890869051,0,0,0,0,0,0,0,0,0,0,0,0.0896492967747498,-0.170215927704716,0,0,0.0191871779338999,0,0.00632588913020023,0,0,0,0.00851643782751489,0,0,0,0,0,0,0.189011202557176,0,0,0,0,0,0,0,0,0,0
X000630.SZ,0,0,0,0,0.225638927918608,0,0,0,0.11001412143274,0,0,0,0,0,0.0508279953017147,0,0,0,0,0.0888922178191488,0,0,0,0.126872490615941,0,0,0,0,0.052155335838112,0,0,0,0.036629464931154,0,0,0,0,0,0,0,0,0,0.00431164662038384,0,0,0,0,0.0909344725686786,0,0,0,0,0.028007538744924,0,0,0,0,0,0
X002470.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0578293845894302,0,0,0,0,0,0,0,0,0,0,0,0.00339818824221225,0,0,0,0.120634367936188,0.148844737078755,0,0.20564430244816,0,0,0.189072164597223,0,0.00778420265945159,0,0,0,0.0577076379100374,0,0,0,0,0,0,0
