,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X600688.SH,X601898.SH,X601600.SH,X600795.SH,X601991.SH,X600027.SH,X600188.SH,X600362.SH,X600111.SH,X600623.SH,X601992.SH,X600886.SH,X600157.SH,X600299.SH,X600547.SH,X002466.SZ,X600660.SH,X601158.SH,X600352.SH,X000792.SZ,X600583.SH,X000709.SZ,X600489.SH,X600309.SH,X000883.SZ,X000539.SZ,X000898.SZ,X000027.SZ,X000629.SZ,X000630.SZ,X002075.SZ,X300072.SZ,X000060.SZ,X600021.SH,X000959.SZ,X000983.SZ,X002470.SZ,X600176.SH,X600098.SH,X600578.SH,X600022.SH,X000012.SZ,X600160.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.171667618811624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0651266584025043,0,0,0,0,0,0,0,0,0,0.0961655559262021,0,0,0.0473248877775163,0,0,0,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.0380935242100043,0.296041565712811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0172097428976374,0,0,0,0,0,0,-2.16840434497101e-19,0,0.00427899173139178,0,0,0,0,0,0,0,0,0,0,0,0,0.0422528989925173,0,0,0.00122144380417394,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.103014543612971,0,0.231997252240823,0,0,0,0,0.00121079092436445,0,0,0,0,0,0.0500769805007751,6.93889390390723e-18,0,0,0,0,0,0,0.1107252000739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148336812819494,0,0,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0.186684005346763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0146118457852951,0.0138573299794064,0.113045416196115,0,0,0,0,0,0,0,0.000711386760860428,0,0,0,0,0,0,0,0,0,0.0583379315614422,0,0,0.0573371704222829,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0.023829504691276,0,0,0,0.0252276615350968,0,0.331497631169551,0,0,0,0.0882773004487702,0,0,0,0,0,0,0,0,0.0491398352247476,0,0,0,0,0,0.00875952477571503,0.101303626637225,0,0,0,0.0830431178941596,0,-8.67361737988404e-19,0,0,0,0,0,0.000918221982737582,0,0.125317707247044,0,0.0143697335919653,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0.171006629449314,0,0,0,0,0,0,0,0,0,0,0.0151679791963374,0,0,0,0,0,0,0,0,0,0,0,0,0,0.383764931123378,0,0,0,0,0,0.0365494225919851,0,0.0463196506309304,0,0,0,0,0,0.22443541818236,0,0,0,0.0191336299952944,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,1.73472347597681e-18,0,0,0.0398852778780393,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000150255139966305,0,0,0.148038440639257,0,0,0,0,0,0,0,0,0,0.132196726720512,0,0,0,0,0,0.0382735212491247,0,0,0,0,0,0.175455870827696,0.0588267406754364,0,0,-0.0488360046372171,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112911155389078,0,0,0,0,0,0,0.0401976545926141,0,0.0634918309920029,0,0,0,0.0946393797737911,0,0.106283983085516,0,0,0,0,0.072106426848251,0,0,0,0,0,0.17870411379806,0.131485280046249,0,0.0887495404200899,0,0,0,0,0,0,0,0,-0.0106402002963415,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0.0532694263058171,0,0,0,0,0,0,0,0,0,0,0.0111397244554064,0,0,0.145478703607273,0.111688733933384,0,0,0,0,0,0.0506476829094214,0,0,0,0,0,0,0.177462840027011,0,0.0781511537750511,0,0,0,0,0,0,0,0,0,0.123336191609763,0,0,0.107289401108424,0.00838747639809618,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0.0174330009562692,0,0,0,0,0.138386748771913,0,0,0,0,0,0.148863474853114,1.73472347597681e-18,0,0,0,0,0.14699688792373,0,0,0,0,0,0,0,0,0,0.147841961123371,0,0,0,0.0200466985089455,0,0,0,0,0,0,0,0.0708170024925075,0,0.143949635698837,0,-0.0179666438448211,0,0,0,0,0,0,0
