,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X601600.SH,X600309.SH,X600011.SH,X601898.SH,X002466.SZ,X600688.SH,X601992.SH,X600795.SH,X600660.SH,X600188.SH,X002460.SZ,X600362.SH,X601991.SH,X300072.SZ,X600547.SH,X600111.SH,X600886.SH,X600516.SH,X000792.SZ,X000709.SZ,X000898.SZ,X600157.SH,X600027.SH,X600339.SH,X000408.SZ,X600489.SH,X000959.SZ,X600219.SH,X000723.SZ,X002271.SZ,X600176.SH,X000553.SZ,X600808.SH,X600549.SH,X600352.SH,X601158.SH,X000883.SZ,X000807.SZ,X000786.SZ,X000983.SZ,X000630.SZ,X600299.SH,X002092.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.0291102476929356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0452290575643389,0,-0.0326374196932408,0,0,0,0,0,0,0.0244400042177013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0140084855233729,0.0147791686688575,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.113030091962861,0,0,0.0196708798224331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0173273894332118,0,0,0,0,0,0,0,0,-0.0360438752986446,0,0,0,0,0,0,0,0.108327062035629,0,0,0,0,0,0,0,-0.00819577878161067,0,0,0.0018435020074328,0,0,0,0,0,0
X601088.SH,0,0,0,0.179525224565416,0,0,0,0,0,0,0,0,0,0.187793540384057,0,0,0,0,0,0,0,0,0,0.0143500811805655,-0.0607901479081211,0,0,0,0,0,0,0,0,0,0,0,-0.0879330153498847,0,-3.46944695195361e-18,0,0,0,0,0,0,0.0922378347142459,0,0,0.00450134340193928,0,0,-0.00426218482002097,0,0,0,0,0,0
X600019.SH,0,0,0.0527334625037106,0,0,0,0,0.101559751103814,0,0.240664206023075,-0.0121624020329231,0,0,0,0,0,0,0,0,0.0305424770805391,0,0,0,0,0,0,0.203547220238175,0,0,0,0,0,0,0,0,0,0,0,0.2307175865389,0,0,0,0,0,0,0,0,0,0,0,-0.00134963261626824,-0.00327287491079643,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,-0.0475567851985872,0.109306117341989,0,0,0,0,0,0,0,0,0.0889885821438045,0,0,0,0,0,0,-0.120317724227265,-0.123606270855237,0,0,0,0,0,0.109602500970127,0,0,0,0,0,0,0.0312394787132933,-0.00817366991120794,0,0,0,0,0.203027900724462,-3.46944695195361e-18,0,0,0,0,-0.0628100536327251,-0.0126685763545011,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126504868496643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173961132155431,0.125832530267657,0,0,0,0,0,0.156795298835297,0,0,0.0549306888165528,0,-0.000753525523907403,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0.137449978425458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012626609974145,0,0,0,0,0,0,0,0,0,0,0,0.0959135862720332,0.14381746627251,0,0,0,0.0575854571905055,0,0.179970103597838,0,0,0,0,-0.0727328401142906,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0.0648369554272324,0,0,0,0,0,0,0,0,0.320806328336612,0,0.0421778960215448,0.0914036014509167,0,0,0,0,0,0.078297642180505,-0.0637221092565119,0,0,0,0,0,0,0,0,0,0.0426600854117105,0,0,0,-0.0448233236120006,0,0,0,0,0.0734669536686081,0,0,0,0,0.217050011824163,0,0.0155662047198359,0,0.0531412131003689,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.00122936744016481,0,0,0,0,0,0,0,0,7.16450281518272e-05,0,0,0.0265813169696303,0,0,0,0,-0.0626406369398443,0,0.116915614917659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132200682077127,0,0,0,0,0,0,0,0.00783804762609799,0,0,0.010230187683996,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0.0896556695465278,0,0,0,0,0,0,0,0,0.0535628884677932,0,0,0,0,0,0,0,0,0,0,0.207456767618696,0,0,0,0,0,0,0,0,0,0,0,0.0382164964288701,0.093797074248496,0,0,0,0,0,0.151830719908326,0,0,0,0,0,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.603643666779087,0,0,0,0,0,0,0,0.0393598298493872,0,0,0,0,0,0.0436756739387257,0,0,0,0,0,0,0,0,0.0741711826494496,0,0,0,0,0,0,0,0,0,0,-0.0128814644027188,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0.0451131872900721,0,0,0,0,0,0,0,0,0,0,0,0,-0.101159915443609,0,0,0,0,0,0,-0.0447428591274058,0,0,0,0,0,0,0,0.0319806835160575,0,0,0,0,0.127620387300687,0,-0.01027264532277,0,0.0627157359416382,0,0,-0.0582876840559865,0.0146882984634203,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0718553881479312,0,0,0,0,0.0944430273880672,0,0.00639939983649651,0,0,0,0,0,0,0,0,0.00158293042464426,0,0,0,0.0739441385195013,0.455837448347048,0,0,0,0,0,0,0,0,0,0.169728918899277,0,0,0.043086137500578,-0.046401709237894,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00757847272915012,-0.0247895903051012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0165425131268396,0,0.075053980888278,-0.09274443786292,0,0,0,0,0,0
X600660.SH,0,0,0,0,0.0662285824409629,0,0.0263033440246648,0.0740892947684388,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0.0331183056294579,0,-0.116705425582158,-0.00936582537332348,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0218451868943506,0,0,0,0,0,0,-0.0431521752102489,0.0562207850404968,0,0,0,0,0,0
