,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601600.SH,X601898.SH,X600688.SH,X600795.SH,X601991.SH,X600027.SH,X600623.SH,X600362.SH,X600111.SH,X600188.SH,X600157.SH,X600886.SH,X601992.SH,X600299.SH,X002466.SZ,X000792.SZ,X600660.SH,X601158.SH,X600547.SH,X000709.SZ,X600583.SH,X600309.SH,X000539.SZ,X000898.SZ,X000883.SZ,X600489.SH,X002075.SZ,X000027.SZ,X600352.SH,X000959.SZ,X000630.SZ,X000629.SZ,X002470.SZ,X000983.SZ,X000060.SZ,X000012.SZ,X300072.SZ,X600098.SH,X601699.SH,X600160.SH,X600021.SH,X600176.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0.00184832064436258,0,0,0.0733276631151092,0.0250329966915785,0,0,0,0,0.0136300229835655,0,0,0,0,0,0,0,0.0615925107612036,0,0,0,0,0,0,0,0.0460136047538603,0,0,0,0.0138173746083708,0,0,0,0.0895695534679523,0,0,0.0704794511697723,0.00649970619408864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.192919018648723,0.0324001482390388,0,0,0,0,0,0,0,0,0,0,0,0,0.0436923613347614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0753516491472401,0,0,0,0.0316819193451797,0,0,0.0136841592758657,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0.328395769405978,0,0,0,0,0,0,0,0,0.0884774012998375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0523353294157431,0.00652400392775787,0,0,0.0924857892193545,0.0315328282885419,0,0,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.000716617850994591,0,0,0.0889147134645568,0,0,0,0,0,0,0,0.0302616508052028,0,0,0,0,0,0.00796193229877831,0,0,0,0.051316020345719,0,0,0,0.0516618091670532,0,0,0,0.153627763023305,0,0,0,0,0,0,0.00648751282891048,0.0480487884999366,0,0.0572352924157191,0,0,0.0235952313013018,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0.0919769010769822,0,0,0,0,0,0,0,0.0294445412089402,0.000412743811466693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150678315422827,0.354309854160949,0.106559131285688,0,0,0.115764413648886,0,0,0,0,0.0347499124005388,0,0,0,-0.0240220329898072,-0.00829180542529226,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0.260501386859443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.413990682480531,0,0,0,0,0.0818451695587221,0.119569495522399,0,0,0,0,0.0550323446869229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0.0068599626522145,0.00537554171564377,0,0,0,0,0,0,0,0,0.119118074562122,0,0.0331985440162906,0,0,0,0,0,0,0.0722741521247164,0,0,0,0.101079593015357,0,0,0,0.214357526588623,0,0,0,0,0,0,0,0.0197926189706392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0.180565391941662,0,0,0,0,0,0,0,0,0.134302815120817,0,0.0302509953128282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0236899258515572,0,0,0,0.18613966690112,0,0,0.0651383119814577,0,0,0,0,0.0790559187819835,0,0.0514667736345552,0,0,-0.0154451864900679,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0.0932875619371603,0,0.169262269158374,0,0,0,0,0,0,0.160541600530863,0,0,0,0,0,0,0,0.0931019457938113,0,0,0,0,0,0,0,0.027249638733396,0,0,0,0.0105860677671178,0,0,0,0.0467044130953016,0,0,0.096169800425421,0.116804396723872,0,0,0,0.0365297047326266,0,0,0,0,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0.134595332587404,0.0132514202381865,0,0,0,0,0,0,0,0,0.155183383362879,0,0,0.0496600688562925,0,0.132509742393383,0,0,0.0784080192860989,0,0,0,0,0,0,0,0,0,0,0.0484252559457405,0,0,0,0,0.137866814858553,0.0224189485039369,0,1.38777878078145e-17,0,0.0613964089746279,0,0,0,0,0.0143188640159077,0,0,0,0,0,0
X600795.SH,0,0,0,0,0.0845495500321665,0,0,0,0,0,0,0,0,0,0,0,0.0283974679971014,0.0827526177979977,0,0,0,0,0,0,0,0,0.0312887412751976,0,0,0,0,0,0,0,0,0,0,0,0.0534587633385819,0,0,0.0102384587512391,0,0,0.115498433752599,0,0,0.236114060905634,0,0,0,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0.049892698328516,0,0,0,0,0,0,0,0,0,0.22198512249833,0,0,0,0.00258195071429269,0,0,0,0,0,0,0,0,0,0,0,0.00933210130639578,0,0.0467722712487462,0,0,0.00274479035409605,0,0,0.0714270555980848,0.0380820294624183,0,0,0,0.0227274803520442,0.297865478715074,0,0,0,0,0,0,0,0,0,0
