,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600660.SH,X601898.SH,X600019.SH,X600188.SH,X601600.SH,X600585.SH,X600886.SH,X600547.SH,X600011.SH,X000792.SZ,X600010.SH,X600111.SH,X600795.SH,X600362.SH,X002460.SZ,X600160.SH,X600489.SH,X600803.SH,X000708.SZ,X000301.SZ,X000807.SZ,X002466.SZ,X000786.SZ,X600027.SH,X601991.SH,X000408.SZ,X600219.SH,X600176.SH,X000983.SZ,X600426.SH,X002128.SZ,X000630.SZ,X601168.SH,X601699.SH,X000933.SZ,X600378.SH,X600096.SH,X002353.SZ,X000877.SZ,X600985.SH,X600157.SH,X600299.SH,X000831.SZ,X600549.SH,X600352.SH,X600995.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.105742523996928,0.51366873894382,0,0,0.068405992763597,0,0,0,0,0,0,0,0,0.0357484553706543,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00743723808735382,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.00479664883207763,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0.00613364687231478,0,0,0,0.0178368112145131,0,0
X601088.SH,0,0,0,0,0,0.410175353868609,0.0296026658354008,0,0.0028030027703341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0156315894649573,0,0.0563864305920922,0,0,0,0,0,0,0,0,0,0,0,0,0.00218758107716732,0,0,0,0,0,0,0,0,0,0.0244950628088805,-0.0109220423519977,0,0,0,0,0,0
X600028.SH,0.137289710099243,0.0103474098104091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0301963857922593,0,0,0,0,0.00337568906176307,0,0,0,0,0,0.239594842533273,0,0,0,0,0.0177993736039516,0,0,0,0,0,0,0,4.33680868994202e-19,0.0181629916319673,-0.00649620616521538,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107930412023361,0,0,0.151916700245395,0,0,0.0560576211434947,0,0,0.00980097225746832,0,0,0,0,0.136179221361876,0,0.0976652895720049,0,0,0,0,0,0,0.0495457115285268,0,-2.16840434497101e-19,0.00549496828936556,0,0,0,0,-0.0577982945744843,-2.16840434497101e-19,0,0,0,0,-0.0232877087002298,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0952449858702114,0,0.162958237624152,0,-0.0313585738160336,0.299138901211613,0,0.172957096217846,0,0.0765931047971884,0,0,-0.0319815689588978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139141726263155,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,-0.00453767505239579,-0.0534773617106609,0.01940077905703,0,0,0,0
X601898.SH,0,0.512661247567461,0,0,0,0,0.103205751578918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19135889081927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125983509149145,0,0,0,0,0,0,0,0,0,0,0,0,0.0206763541861312,0,0,0,0,-0.00396530463799651,0,0
X600019.SH,0,0.200421874274509,0,0,0,0.0743465044612495,0,0,0.198047421870875,0,0,0,0,0,0,0,0,0,0,0,0,0.0626263584241018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0623312993874613,0,0.0161505219324669,0,0,0,0,0,0,0.00420111795192668,-2.16840434497101e-19,0,0,0,-0.029965364948521,0,0
X600188.SH,0,0,0,0,0,0.0465803323681447,0,0,0,0,0,0,0,0,0,0.0454845611231951,0,0,0,0,0,0,0,0,0,0,0,0.131052868001457,0.107113332368191,0,0,0,0.0621650152725141,0.0588450010664465,0,0,0.0728191712262867,0.0502597675951561,0,0,0,0,0,0.0460946552998693,0.0491804733953549,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0.0558587712049175,0,0,0,0,0,0,0.608871804400958,0,-0.16126840826545,0,0,0,0,0.337877429675246,0,0.0509062939843402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0623430151028387,0.0460340844032813,0,0,0,0,0,0,0,0,0.0684374893744603,0,-0.066644869181465,0,0
X600585.SH,0,0,0,0.0470596322502933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0568216102588938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256401028643427,0.0736401084647934,-0.0183709630345307,0,0,0,0,0,0,-0.0107655122292077,0.00695913645921337,0,0,0,0,0,0
