,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600309.SH,X600011.SH,X600188.SH,X601898.SH,X600688.SH,X600660.SH,X600362.SH,X300072.SZ,X601992.SH,X002466.SZ,X600795.SH,X600516.SH,X600547.SH,X601991.SH,X600111.SH,X002460.SZ,X600176.SH,X600886.SH,X000898.SZ,X000786.SZ,X000709.SZ,X000792.SZ,X600157.SH,X600352.SH,X000553.SZ,X000408.SZ,X601699.SH,X600027.SH,X002271.SZ,X600219.SH,X600339.SH,X000983.SZ,X600489.SH,X002110.SZ,X600808.SH,X600299.SH,X002092.SZ,X000959.SZ,X601158.SH,X000883.SZ,X000630.SZ,X600583.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.564452173445023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0388295377323742,-0.0972061115891901,0,0,0,0,0,0,0.00969379934061774,0,0.0159624999925304,0,0,0,0,-0.000676998995287622,0,0.0700236373162984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00839626502226519,0,0,0,0,0,0,0
X600028.SH,0.595431713528615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0599855539826413,0,0,1.73472347597681e-18,0,0.002933603279558,0,0,0,0,0,0,-0.0107310439397937,0,0,0,0,0,-0.122777659881571,0,0,0,0,0,0,0,0,0,-0.00654594704441898,0,0,0,0.0184537496256089,0,0
X601088.SH,0,0,0,0.114190366813821,0.25025545254939,0,0,0,0,0,0,0,0,0,-0.0343890042051588,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.0516453439348275,0,0,0,0,0,0,0.0629689633997276,0,0.0670176485835401,0,0,0,0,0,0,-0.056932152756138,0,0,0,0,0,0,0,0,0.0118425674187894,0,0,0,0,0,0
X600019.SH,0,0,0.149262660173208,0,0.199459245763329,0,0,0,0,0,0,0,0,0,0,0,0,0.132819365908682,0,0,0,-0.0980271767890147,0,0,0.28526576210256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00299066187288248,0,0,0,0,0,0,0,0,0,0.0204395531947216,-0.0280907789444447,0,0,0,0,0,0
X600585.SH,0,0,0.410341351685507,0,0,0,0,0,0,0,0,0,0,0,0,0.225575807878766,0,0.0250138452206013,0,0,0,0,0.0701107790131254,0,0,0,0,-0.214705365575339,0,0,0,0,0,0,0,0,0,0,0,0.0171143770124701,0,0,0,0,0,0,0,0,0,-0.0108131682683181,0.0214348351673001,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0.00562174225760246,0,0,0,0,0,0,0,0,0,0,0,0.155900185365719,0.0405841644667247,0,0,0,0.0442927715025949,0,0.0318426183731534,0,0,0.0305297904931815,0,0,0,0,0,0,0,0,0,0.308516234463598,0.00825928207250673,0.0109364494700833,0.0429614007923996,0,0,0,0,0,-0.00539166649820942,0,0,0,0,0,0,0
X600309.SH,0,0,0.0340077454798864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02366664807,0,0,0,0,0.0501105095135947,0,0,0,0,0,0,0,-0.168655898063067,0,-0.0153538672113926,0,0,0,0.0500602012971574,0,0,0,0,0,0.15664884738046,0,0,0,0,0,0,-0.047968013832492,0,0,0,0,0,0,0
X600011.SH,0,0,0,-0.0690754449301129,0,0,0,0,0,0,0,0,0,0.117822607658285,0.115810275779017,0,0,0,0,0,0,-0.0350849495781077,-0.0560808719504666,0,0,0.0394882312835666,0,0,0,0,0,0,0,0,0,0,-0.00683381701255963,0,0,0,0,0.0406441179707277,0,0,0,0,0,0,0,-0.00470031090002362,-0.00683752968508468,0,0,0,0,0,0
X600188.SH,0,0,0,0,0.0190303745756815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174917429800605,0.105834951145208,0,0,0,0,0,0,0,0,0,0.17817692383728,0,0,0,0,0,0,0,0.370480105046187,0,0,0,0,0,0,0,0,0.0138046187837958,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,-0.00141869235506874,0,0,0,0,0,0,0,0,0,0,0.00149055147930219,0,0.0519760133757044,0,0,0,0,0,0,0,0,0,0.0327543711384313,0,0,0.037241846793486,0,0.0657499596403553,0,0,0,0,0.173804874704643,0,0,0.185191483663185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
